File Name	Fitness Score	Protein Count	Interaction Count
biogrid_1	0.7472168905950096	2513	15364
biogrid_2	0.7468973298232419	2531	16129
biogrid_3	0.7462729357798165	2530	15368
biogrid_4	0.746099695585997	2455	14070
biogrid_5	0.7460085669781932	2311	13115
biogrid_6	0.745987772258311	2533	15261
biogrid_7	0.7456513335910321	2303	12690
biogrid_8	0.7453563305534496	2417	14502
biogrid_9	0.7453315548780488	2337	12604
biogrid_10	0.7451741105223315	2394	13719
biogrid_11	0.745031871016123	2428	13821
biogrid_12	0.7450248756218906	2322	12296
biogrid_13	0.745	2529	16427
biogrid_14	0.7449664429530202	2550	15750
biogrid_15	0.7449095022624435	2406	13518
biogrid_16	0.7448295672156262	2438	14110
biogrid_17	0.7447955390334573	2561	15553
biogrid_18	0.7446070878274268	2382	13199
biogrid_19	0.7445106066244883	2402	13222
biogrid_20	0.7444237918215614	2609	17343
biogrid_21	0.7443502824858758	2556	15686
biogrid_22	0.7443308550185873	2561	15588
biogrid_23	0.7440231602540157	2480	13939
biogrid_24	0.7439984996249063	2533	14893
biogrid_25	0.7439862542955327	2336	13020
biogrid_26	0.7439804364183596	2427	13565
biogrid_27	0.7439024390243902	2531	15413
biogrid_28	0.7438556067588326	2326	12670
biogrid_29	0.7438086303939963	2437	13836
biogrid_30	0.7437523665278304	2535	15668
