YMR207C	YNR016C
YIL135C	YMR139W
YNL316C	YOL082W
YLR075W	YNL110C
YGL173C	YKL139W
YPL115C	YPL161C
YEL002C	YKL008C
YML009C	YNL284C
YDR167W	YDR392W
YDR212W	YLL019C
YDL060W	YNL207W
YLL039C	YLR113W
YMR004W	YPL031C
YGR055W	YPL058C
YBL072C	YOR078W
YKL059C	YNL255C
YGL122C	YJR138W
YBL032W	YCL028W
YML001W	YOL112W
YDL181W	YNL250W
YEL039C	YJL164C
YAL017W	YOL045W
YKL126W	YNR047W
YGR281W	YHR114W
YBR160W	YLR455W
YDR383C	YIR010W
YHR027C	YOL133W
YJL164C	YKL079W
YGL091C	YIL129C
YNL255C	YOR210W
YGL191W	YLL039C
YDL226C	YPR183W
YFR014C	YJL146W
YGL122C	YKL016C
YGL106W	YLR274W
YGL122C	YIR010W
YDR392W	YLR113W
YBR159W	YIL005W
YDR047W	YOR361C
YGL122C	YOR221C
YIR037W	YLR216C
YGR105W	YML012W
YKL139W	YOL012C
YDR059C	YPL037C
YIL075C	YOL117W
YBR052C	YLL028W
YBR142W	YNL110C
YNL250W	YOR261C
YDR100W	YJL178C
YGL076C	YNL178W
YJL128C	YMR319C
YNL125C	YNL130C
YBL007C	YDL206W
YFR014C	YIL167W
YKR081C	YOR294W
YML085C	YNL223W
YJR048W	YKL195W
YJR032W	YNL330C
YGR026W	YPL031C
YDL088C	YDR159W
YER131W	YGL180W
YBR031W	YEL034W
YKL079W	YNL154C
YNL113W	YPR010C
YOR047C	YOR358W
YBR193C	YLR071C
YBL050W	YPL232W
YDR225W	YDR510W
YDR427W	YER012W
YML096W	YNL154C
YFR010W	YLR246W
YHR196W	YMR229C
YBL032W	YKL198C
YBR234C	YNL040W
YMR202W	YNL280C
YLL028W	YLR332W
YHR005C-A	YKL195W
YGL122C	YPL211W
YHR188C	YJR015W
YBL079W	YFR002W
YOL041C	YPL131W
YHR027C	YMR186W
YDL116W	YDR113C
YDR388W	YOR117W
YBR202W	YDL029W
YDR225W	YOR005C
YIR033W	YLL039C
YGL150C	YGR274C
YBR095C	YNL097C
YGL116W	YJL111W
YIL021W	YOR210W
YHR081W	YNL255C
YDR224C	YDR227W
YJL041W	YJL063C
YBR002C	YBR177C
YFL004W	YNL255C
