YNL316C	YOL082W
YJL125C	YNL062C
YJL092W	YOR281C
YPL115C	YPL161C
YJL019W	YOL104C
YDR167W	YDR392W
YOR261C	YPR103W
YDR212W	YLL019C
YHR165C	YNR053C
YHR037W	YPL240C
YNL301C	YOR096W
YCR021C	YJL151C
YJR047C	YPL141C
YDR507C	YMR086W
YKL122C	YPL210C
YLR018C	YPL075W
YGL190C	YNL255C
YGL137W	YJR070C
YHR085W	YNR053C
YDR320C	YJR135C
YGR252W	YOR290C
YGR281W	YHR114W
YDR383C	YIR010W
YDR392W	YOL148C
YJL052W	YOL013C
YFR004W	YFR052W
YGL191W	YLL039C
YDL226C	YPR183W
YBR048W	YJL177W
YDR303C	YML065W
YML005W	YNR046W
YIR026C	YPR029C
YKL180W	YLR075W
YDR167W	YHR099W
YDR047W	YOR361C
YHR060W	YLR447C
YLL023C	YPR028W
YDR012W	YMR194W
YER159C	YOL012C
YFR004W	YMR314W
YAL018C	YCL025C
YER094C	YOR157C
YDR429C	YGL137W
YCR073C	YMR117C
YDR059C	YPL037C
YIL075C	YOL117W
YJL148W	YOL041C
YGL207W	YGR116W
YDR326C	YIR010W
YDR100W	YJL178C
YER036C	YKL180W
YNL125C	YNL130C
YBL007C	YDL206W
YBR106W	YML075C
YFR014C	YIL167W
YCR012W	YGL137W
YKR081C	YOR294W
YDR324C	YEL055C
YGR012W	YPR161C
YKL095W	YPL151C
YER131W	YGL180W
YBR031W	YEL034W
YBL016W	YEL053C
YNL113W	YPR010C
YOR047C	YOR358W
YBR193C	YLR071C
YBL050W	YPL232W
YDR194C	YML065W
YGL073W	YKL062W
YDR427W	YER012W
YPL086C	YPL101W
YDR097C	YIR002C
YIR010W	YJL065C
YHR196W	YMR229C
YNL007C	YNL255C
YDR176W	YHR041C
YDL207W	YKL068W
YHR188C	YJR015W
YGL200C	YLL039C
YDL014W	YHR052W
YBR106W	YCR028C
YJR002W	YLL011W
YDL031W	YLL045C
YAR007C	YCR066W
YIR033W	YLL039C
YGL150C	YGR274C
YGL116W	YJL111W
YCL014W	YMR186W
YHR081W	YNL255C
YDR364C	YLL036C
YDR224C	YDR227W
YCL011C	YLL045C
YDR116C	YKR006C
YMR233W	YOL006C
YMR168C	YPL018W
YHR083W	YNL026W
YDR318W	YJR112W
YJL177W	YOR204W
YHL009C	YLR336C
YEL039C	YLL039C
YDR224C	YLL039C
YDL203C	YGR058W
YEL002C	YML075C
YNR064C	YOL045W
YDR405W	YNL255C
YEL032W	YNL273W
YDR407C	YOR115C
YGR054W	YKR048C
YBR010W	YJL168C
YER012W	YLR058C
YOL021C	YPR190C
YDR440W	YLR429W
YGR199W	YPL026C
YFL045C	YJL092W
YML064C	YOR373W
YMR229C	YOR340C
YBR049C	YOR341W
YEL009C	YHR041C
YBR183W	YOL132W
YEL034W	YJL177W
YNR046W	YOL124C
YAL034W-A	YNL154C
YKR093W	YOR153W
YDR101C	YDR412W
YIR005W	YMR240C
YBL039C	YJL138C
YLR238W	YMR052W
YBL072C	YNL055C
YDR124W	YPR049C
YER165W	YML056C
YGR013W	YPL178W
YKL109W	YOR358W
YNL121C	YOL045W
YER103W	YGR192C
YER013W	YPR101W
YBR031W	YBR142W
YGL246C	YKL180W
YBR031W	YLL045C
YLL060C	YOR074C
YER036C	YOR204W
YFL038C	YPR176C
YHR058C	YNL255C
YNL027W	YPL141C
YBL003C	YDL208W
YDL200C	YGL137W
YBL072C	YJR145C
YJL081C	YLR399C
YLR208W	YNL307C
YFR022W	YNL307C
YEL034W	YNL004W
YEL039C	YGL078C
YHR169W	YPR121W
YGR167W	YJL057C
YHR016C	YPL249C
YFR004W	YLR043C
Q0085	YKL016C
YBL003C	YBL052C
YHR020W	YKL104C
YDR032C	YHR135C
YER159C	YNL255C
YER165W	YML065W
YHR135C	YOR344C
YNL112W	YNL255C
YGL180W	YIL091C
YDR244W	YML042W
YNL039W	YNL255C
YGL098W	YGL145W
YJL187C	YJR082C
YJL096W	YNL255C
YDL116W	YLR018C
YFR004W	YHR098C
YDR256C	YOL045W
YCR020W-B	YMR033W
YGL179C	YMR304W
YKL068W	YMR308C
YBR198C	YHR099W
YGR116W	YLL039C
YLR251W	YNL255C
YML008C	YNL280C
YEL011W	YLL039C
YLR435W	YNL255C
YJL106W	YMR165C
YGL180W	YJR019C
YBL023C	YEL032W
YBR056W	YFR004W
YAL005C	YFR019W
YDL168W	YNL061W
YBR194W	YPR152C
YIL019W	YNL075W
YCL056C	YDR142C
YGR038W	YJL187C
YGL246C	YNL069C
YFR014C	YNL218W
YDR142C	YGR077C
YNL092W	YOR159C
YDR246W	YKR068C
YHR007C	YHR190W
YJL187C	YLR132C
YER040W	YER118C
YHR197W	YLR449W
YER165W	YHR086W
YJL052W	YLL060C
YCL054W	YKR081C
YMR242C	YOL120C
YAR007C	YIR010W
YDL075W	YGL147C
YER103W	YOR304W
YHR052W	YOL127W
YMR146C	YPL081W
YLR350W	YMR238W
YDL055C	YPR034W
YHR174W	YOL135C
YMR049C	YMR229C
YKL014C	YOL127W
YLR044C	YNL127W
YFR030W	YIL094C
