File Name	Fitness Score	Protein Count	Interaction Count
biogrid_1	0.8457359573595736	2059	9935
biogrid_2	0.8451178451178452	2149	10581
biogrid_3	0.8447061191626409	2193	11611
biogrid_4	0.8445146818923328	2248	10979
biogrid_5	0.8414504466184602	2246	11537
biogrid_6	0.8408053134080531	2140	10424
biogrid_7	0.8407407407407408	2287	13596
biogrid_8	0.8385983263598327	2179	10597
biogrid_9	0.8383611467693625	2125	10097
biogrid_10	0.8364661654135338	2233	12272
biogrid_11	0.8363445378151261	2075	9974
biogrid_12	0.8360672757475083	2150	10820
biogrid_13	0.834652228238234	2154	10369
biogrid_14	0.8334367245657568	2230	11624
biogrid_15	0.8325630252100841	2174	10556
biogrid_16	0.832546786004882	2315	12246
biogrid_17	0.8324763471822295	2306	12018
biogrid_18	0.8320847602739726	2032	10015
biogrid_19	0.832002457002457	2121	10721
biogrid_20	0.8315865187011919	2270	11999
biogrid_21	0.8315065763252292	2193	11134
biogrid_22	0.8313978040540541	2121	9876
biogrid_23	0.8312345169281585	2217	11475
biogrid_24	0.831228595890411	2089	10464
biogrid_25	0.8306988352745425	2162	11161
biogrid_26	0.8306900985855122	2201	11427
biogrid_27	0.830028328611898	2177	10821
biogrid_28	0.8300083998320034	2138	10409
biogrid_29	0.8299874529485571	2189	11397
biogrid_30	0.8297027687296417	2230	10928
