YIL135C	YMR139W
YER125W	YHR135C
YEL002C	YKL008C
YJL019W	YOL104C
YML009C	YNL284C
YHL047C	YHR079C
YOR261C	YPR103W
YMR240C	YOR308C
YIR010W	YJR009C
YMR102C	YOR174W
YMR004W	YPL031C
YDR477W	YLR132C
YDR507C	YMR086W
YKL059C	YNL255C
YGL190C	YNL255C
YGL137W	YJR070C
YDL181W	YNL250W
YGR252W	YOR290C
YDR145W	YGL158W
YGR281W	YHR114W
YDR383C	YIR010W
YJR009C	YMR186W
YDL028C	YMR114C
YFR004W	YFR052W
YDR409W	YLR303W
YHR027C	YOL133W
YDR423C	YGL158W
YGL191W	YLL039C
YIR038C	YKL008C
YER133W	YLR002C
YER018C	YPR083W
YML005W	YNR046W
YGL106W	YLR274W
YFL007W	YLL039C
YER112W	YER124C
YER151C	YLR208W
YDR059C	YNL031C
YNR051C	YPL061W
YDR481C	YNL006W
YJL129C	YML016C
YCR002C	YNL233W
YGL001C	YGR060W
Q0085	YDL004W
YFR004W	YMR314W
YDR059C	YPL037C
YGL207W	YGR116W
YER177W	YPR030W
YNL250W	YOR261C
YDR100W	YJL178C
YER074W	YNL255C
YDR482C	YLR275W
YDR062W	YJR077C
YFR014C	YIL167W
YGL158W	YOR018W
YCR012W	YGL137W
YLR197W	YNR024W
YGR026W	YPL031C
YJR045C	YLR166C
YOR275C	YPL031C
YLR097C	YMR303C
YBR212W	YPL037C
YBL050W	YPL232W
YDR427W	YER012W
YER177W	YPR152C
YBR195C	YNL031C
YBL055C	YGL180W
YIR010W	YJL065C
YHR198C	YML064C
YDL140C	YNL251C
YDR354W	YFR014C
YGL115W	YPR007C
YNL230C	YPL004C
YHR027C	YMR186W
YDR388W	YOR117W
YLR029C	YNL255C
YNL037C	YNL255C
YDR225W	YOR005C
YGL150C	YGR274C
YBR095C	YNL097C
YGL116W	YJL111W
YCL014W	YMR186W
YBR126C	YDR074W
YER177W	YPR080W
YMR081C	YPL203W
YMR233W	YOL006C
YBR177C	YJL153C
YDR159W	YHR127W
YHR083W	YNL026W
YDR318W	YJR112W
YER012W	YGL048C
YDL134C	YOR073W
YEL002C	YML075C
YDR405W	YNL255C
YMR191W	YOR261C
YCL024W	YKL181W
YMR317W	YNL255C
YGL158W	YOR290C
YBR055C	YLR275W
YIR010W	YOL051W
YER026C	YPL274W
YML064C	YOR373W
YBR055C	YML046W
YLR197W	YNL308C
YPL070W	YPR152C
YJR017C	YLR216C
YBR120C	YNL255C
YNR046W	YOL124C
YCR093W	YOL133W
YKL207W	YML048W
YDR155C	YIL112W
YDR124W	YPR049C
YDL215C	YLL001W
YER103W	YGR192C
YDR130C	YHL034C
YKL203C	YOR035C
YNL027W	YPL141C
YER177W	YOR220W
YJL081C	YLR399C
YLR208W	YNL307C
YFR022W	YNL307C
YDL045W-A	YNL306W
YHR114W	YLR078C
YER125W	YJR051W
YBR102C	YML097C
Q0085	YKL016C
YBL003C	YBL052C
YHR020W	YKL104C
YDR032C	YHR135C
YBR069C	YPR198W
YFR004W	YHR098C
