YPL115C	YPL161C
YOR261C	YPR103W
YDR477W	YOR027W
YKL113C	YOR144C
YMR004W	YPL031C
YCL035C	YMR059W
YDR507C	YMR086W
YKL104C	YKL211C
YGL137W	YJR070C
YEL039C	YJL164C
YGR252W	YOR290C
YDR145W	YGL158W
YGR281W	YHR114W
YDR383C	YIR010W
YBR221C	YML059C
YDL028C	YMR114C
YFR004W	YFR052W
YDR409W	YLR303W
YDR423C	YGL158W
YDL226C	YPR183W
YFR014C	YJL146W
YDR259C	YHR082C
YML005W	YNR046W
YAL026C	YPR129W
YBR031W	YJL109C
YGR119C	YNL189W
YGL158W	YHR185C
YHR082C	YPL207W
YLL023C	YPR028W
YER094C	YOR157C
YDL126C	YDL190C
YIL075C	YOL117W
YBR052C	YLL028W
YIR010W	YJL109C
YER177W	YPR030W
YML123C	YNR041C
YBR106W	YML075C
YMR029C	YMR052W
YGL158W	YOR018W
YML048W	YML123C
YCR012W	YGL137W
YDR224C	YKL103C
YHR121W	YPR120C
YGR012W	YPR161C
YCR100C	YDR414C
YDL088C	YDR159W
YOR244W	YPL004C
YBR031W	YEL034W
YGR092W	YJL005W
YIR010W	YKR083C
YJL154C	YKL171W
YGL073W	YKL062W
YER177W	YPR152C
YML096W	YNL154C
YHR082C	YKL197C
YIR010W	YJL065C
YLR419W	YMR117C
YDL185W	YKL029C
YGR198W	YKL049C
YKR014C	YMR231W
YLL028W	YLR332W
YDR354W	YFR014C
YDL207W	YKL068W
YBR106W	YCR028C
YCL043C	YIR001C
YBR202W	YDL029W
YAR007C	YCR066W
YCL014W	YMR186W
YBR126C	YDR074W
YDR364C	YLL036C
YDR251W	YJR059W
YJR011C	YLR368W
YBR177C	YJL153C
YJR132W	YML085C
YDR175C	YOR158W
YDR190C	YGR086C
YKR018C	YPR106W
YGL134W	YJL165C
YLR208W	YPR181C
YGR054W	YKR048C
YGL158W	YOR290C
YBR010W	YJL168C
YBR109C	YJL115W
YBR049C	YOR341W
YPL070W	YPR152C
YEL034W	YJL177W
YNR046W	YOL124C
YAL034W-A	YNL154C
YCR093W	YOL133W
YDL117W	YPL038W
YLR238W	YMR052W
YKL207W	YML048W
YDR124W	YPR049C
YJR077C	YLR259C
YML085C	YMR048W
YER103W	YGR192C
YBR031W	YBR142W
YLR350W	YMR272C
YBR031W	YLL045C
YJR022W	YNL147W
YDR130C	YHL034C
YGR059W	YLR314C
YKL203C	YOR035C
YGL025C	YHR041C
YDL200C	YGL137W
YJL164C	YKL171W
YDR130C	YLR340W
YLR377C	YNL059C
YBR114W	YKR001C
YLR208W	YNL307C
YGL229C	YLL022C
YHR016C	YPL249C
YBL003C	YBL052C
YBR069C	YPR198W
YCR061W	YNR066C
YDR448W	YGL066W
YLR310C	YPL038W
YDR244W	YML042W
YGR235C	YJL164C
YDL028C	YDL203C
YBR060C	YPR120C
YNL075W	YNL102W
YEL034W	YLR069C
YNL067W	YNL246W
YBR170C	YKL213C
YBR114W	YLR044C
YML008C	YNL280C
YBL030C	YLR203C
YBR056W	YFR004W
YOR117W	YPL031C
YBR194W	YPR152C
YHR041C	YIL021W
YIL019W	YNL075W
YHR206W	YIL147C
YCL056C	YDR142C
YJL124C	YPL152W
YFR014C	YNL218W
YMR264W	YOR045W
YKL214C	YMR004W
YDR043C	YDR477W
YFR004W	YOR168W
