YJL092W	YOR281C
YGL173C	YKL139W
YPL115C	YPL161C
YHL047C	YHR079C
YOR261C	YPR103W
YHR037W	YPL240C
YDR477W	YOR027W
YIR010W	YJR009C
YMR102C	YOR174W
YLL039C	YLR113W
YJR047C	YPL141C
YMR004W	YPL031C
YDR477W	YLR132C
YER174C	YOL016C
YKL104C	YKL211C
YDR448W	YHR058C
YAL017W	YOL045W
YGR281W	YHR114W
YLR113W	YNL236W
YJR009C	YMR186W
YBR221C	YML059C
YDR409W	YLR303W
YHR027C	YOL133W
YDR423C	YGL158W
YIL133C	YLR150W
YGL191W	YLL039C
YBR060C	YPL008W
YFR014C	YJL146W
YIR038C	YKL008C
YER133W	YLR002C
YDR259C	YHR082C
YGR238C	YHR158C
YGL158W	YHR185C
YFL007W	YLL039C
YER151C	YLR208W
YDR283C	YER172C
YDR392W	YLR113W
YDR059C	YNL031C
YHR082C	YPL207W
Q0085	YDL004W
YLL023C	YPR028W
YDR448W	YOR257W
YOR310C	YPL131W
YBL032W	YLL031C
YIL075C	YOL117W
YBR052C	YLL028W
YML123C	YNR041C
YER159C	YNR065C
YGL158W	YOR018W
YML048W	YML123C
YGL030W	YGR281W
YBL032W	YBR215W
YKL095W	YPL151C
YGR026W	YPL031C
YGR092W	YJL005W
YLR097C	YMR303C
YBR193C	YLR071C
YBL050W	YPL232W
YER126C	YGL237C
YDR427W	YER012W
YBR195C	YNL031C
YBR122C	YOL027C
YBL032W	YKL198C
YLR419W	YMR117C
YDL185W	YKL029C
YDR176W	YHR041C
YGL200C	YLL039C
YOL041C	YPL131W
YHR027C	YMR186W
YDR388W	YOR117W
YHR204W	YMR304W
YCL043C	YIR001C
YIR033W	YLL039C
YCL014W	YMR186W
YGR224W	YLR080W
YBR081C	YPL129W
YJR011C	YLR368W
YLL039C	YOR014W
YHR083W	YNL026W
YDR510W	YER047C
YER012W	YGL048C
YGL075C	YMR111C
YBL076C	YOR117W
YAL001C	YDR510W
YIR010W	YLR430W
YHR124W	YOR181W
YMR191W	YOR261C
YLR208W	YPR181C
YGL158W	YOR290C
YBR010W	YJL168C
YER012W	YLR058C
YJL115W	YPL153C
YGR126W	YPR175W
YML064C	YOR373W
YGL172W	YKL057C
YEL023C	YJL203W
YBR183W	YOL132W
YCR093W	YOL133W
YHR137W	YOR310C
YBL032W	YLR466W
YLR238W	YMR052W
YKL207W	YML048W
YGR183C	YNL197C
YDR124W	YPR049C
YDL033C	YLR259C
YKL104C	YMR213W
YJR152W	YPL240C
YNL121C	YOL045W
YDR510W	YML041C
YBL003C	YER092W
YKL139W	YLR438W
YFL038C	YPR176C
YLR455W	YOR310C
YBL003C	YDL208W
YGL025C	YHR041C
YDR130C	YLR340W
YJL081C	YLR399C
YBR114W	YKR001C
YLR208W	YNL307C
YDL045W-A	YNL306W
YHR114W	YLR078C
YIL133C	YOL041C
YGR167W	YJL057C
Q0085	YKL016C
YDR457W	YNL031C
YBL003C	YBL052C
YJR010C-A	YLR004C
YDR448W	YGL066W
YDR244W	YML042W
YDR256C	YOL045W
YCL009C	YKL010C
YBR060C	YPR120C
YBR103W	YDR227W
YEL015W	YPR080W
YBR170C	YKL213C
YKR027W	YLL039C
YEL011W	YLL039C
YDR328C	YLR399C
YBR159W	YML067C
YDR252W	YJR011C
YOR117W	YPL031C
YBR112C	YNL167C
YGL245W	YOR014W
YBR010W	YNL030W
YER151C	YOR310C
YFR014C	YNL218W
YMR264W	YOR045W
YDR246W	YKR068C
YDL155W	YGR086C
YDR130C	YGL093W
YDR043C	YDR477W
YCL054W	YKR081C
YHR052W	YOL127W
YDR164C	YKL130C
YDL164C	YDR100W
YDR252W	YGR134W
YBR154C	YER139C
YCR073W-A	YER151C
YBR194W	YIR006C
YKL014C	YOL127W
YLR150W	YPL131W
YHR200W	YPL240C
YLL039C	YLR039C
YDR247W	YKL193C
YBL105C	YER151C
YKL210W	YOR339C
YDR309C	YNL298W
YGL130W	YNL030W
YNL030W	YPR052C
YDR170C	YER100W
YJL123C	YOL128C
YDR129C	YMR246W
YDR374C	YNR052C
YDL212W	YJR015W
YDL097C	YDR427W
YGR281W	YJR066W
YDR189W	YIL107C
YGL146C	YOR005C
YLR026C	YOR036W
YDL132W	YJL047C
YKL008C	YMR215W
YNL044W	YNL189W
YGL181W	YNL243W
YGR072W	YMR080C
YLR427W	YPL031C
YJL203W	YMR213W
YNL047C	YPL231W
YGL215W	YPL031C
YFR017C	YNL197C
YER098W	YOR267C
YGL181W	YGR241C
YGL105W	YLR138W
YBR158W	YGR285C
YJL042W	YOL069W
YBL032W	YGR021W
YDR510W	YJL140W
YBR200W	YLR318W
YLR372W	YLR378C
YBL023C	YLL004W
YCR034W	YHR140W
YBR151W	YNL126W
YDR071C	YER151C
YCR065W	YML051W
YDL084W	YDR510W
YDL175C	YPR191W
YAL028W	YLR378C
YGL011C	YLR211C
YNL118C	YOR093C
YKL127W	YOL045W
YER016W	YGL061C
YBR152W	YER172C
YCR061W	YIL134W
YAR035W	YBL032W
YDR381W	YLL039C
YGL075C	YIL056W
YDL139C	YOL091W
YBR200W	YKR001C
YMR110C	YNL121C
YBL105C	YIL143C
YCR061W	YER001W
YIL051C	YKL142W
YLR026C	YML067C
YML074C	YOR341W
YHR079C	YNL097C
YBR183W	YFL041W
YIL027C	YPL070W
YHR205W	YPL031C
YLR258W	YPL141C
YCL054W	YER133W
YBL032W	YCR066W
YHR052W	YPL141C
YGL158W	YGR223C
YBL032W	YHL044W
YFL039C	YLL039C
YBR122C	YPL132W
YFR014C	YLR102C
YDL155W	YNL076W
YER133W	YKL166C
YGR180C	YOL045W
YLL039C	YOL081W
YKL057C	YLL039C
YDL100C	YDR451C
YCL011C	YJL006C
YML117W	YPL031C
YBR179C	YJL092W
YHR027C	YPR165W
YJR095W	YLL039C
YJL057C	YML117W
YML057W	YPR115W
YJL222W	YML048W
YKL049C	YOR116C
YIL126W	YPR034W
YBL093C	YGR104C
YJL176C	YPR034W
YER151C	YOR361C
YJL171C	YLL039C
YGL059W	YOL070C
YDR060W	YHR066W
YIR010W	YPR129W
YLL039C	YOR261C
YIL133C	YPL093W
YDL097C	YLL039C
YER090W	YJR070C
YOR064C	YPL129W
YGL173C	YLL039C
YMR049C	YOR361C
YHR082C	YKL049C
YKR002W	YNL189W
YGL094C	YKL054C
YDR307W	YKL065C
YAL032C	YBR194W
YLL039C	YPR120C
YKL029C	YOR181W
YDR323C	YPL031C
YBL061C	YDR247W
YER179W	YNR016C
YBR059C	YHR161C
YDR016C	YGL061C
YKL064W	YLR138W
YDR486C	YLR181C
YLL039C	YPL019C
YDR099W	YLR177W
YNL236W	YOR174W
YDR238C	YOR363C
YBR114W	YJR052W
