YMR207C	YNR016C
YER125W	YHR135C
YPL115C	YPL161C
YML010W	YNL248C
YML009C	YNL284C
YHL047C	YHR079C
YHR165C	YNR053C
YMR240C	YOR308C
YGL103W	YKL172W
YLL039C	YLR113W
YMR004W	YPL031C
YER174C	YOL016C
YKL104C	YKL211C
YBL016W	YER082C
YAL017W	YOL045W
YKL126W	YNR047W
YDR392W	YOL148C
YLR113W	YNL236W
YDL028C	YMR114C
YIL118W	YKL130C
YHR027C	YOL133W
YGL191W	YLL039C
YDL117W	YKR009C
YDL226C	YPR183W
YAL026C	YPR129W
YIR026C	YPR029C
YEL034W	YIL148W
YFL007W	YLL039C
YCL028W	YNL288W
YDR283C	YER172C
YDR392W	YLR113W
YGL103W	YJL177W
YHR060W	YLR447C
YDR448W	YOR257W
YGR105W	YML012W
YDR424C	YGL153W
YDR059C	YPL037C
YIL075C	YOL117W
YGL207W	YGR116W
YER177W	YPR030W
YHL003C	YJR010C-A
YPL218W	YPR181C
YDR060W	YOR206W
YJL128C	YMR319C
YER159C	YNR065C
YJR048W	YKL195W
YJR032W	YNL330C
YLR113W	YLR248W
YGR026W	YPL031C
YBL016W	YEL053C
YLR097C	YMR303C
YGL073W	YKL062W
YDR225W	YDR510W
YER126C	YGL237C
YER177W	YPR152C
YFR010W	YLR246W
YBR122C	YOL027C
YHR198C	YML064C
YDL179W	YOR083W
YGR198W	YKL049C
YDL140C	YNL251C
YMR202W	YNL280C
YHR005C-A	YKL195W
YHR188C	YJR015W
YGL200C	YLL039C
YDL140C	YMR125W
YDL116W	YDR113C
YDR143C	YER023W
YDR406W	YLR055C
YCL043C	YIR001C
YDR225W	YOR005C
YDR012W	YOR206W
YGL116W	YJL111W
YBR126C	YDR074W
YGR224W	YLR080W
YER074W	YGL103W
YER177W	YPR080W
YDR251W	YJR059W
YMR081C	YPL203W
YNL251C	YOR001W
YDL220C	YLR233C
YBR177C	YJL153C
YDR318W	YJR112W
YJL164C	YJL218W
YBR049C	YDR510W
YDR143C	YMR229C
YDR175C	YOR158W
YFR015C	YPL204W
YDR190C	YGR086C
YEL002C	YML075C
YDR311W	YKL028W
YGL134W	YJL165C
YDR510W	YMR190C
YML064C	YOR373W
YER074W	YFR032C-A
YGL244W	YOR123C
YPL070W	YPR152C
YEL034W	YJL177W
YDR060W	YMR229C
YIR005W	YMR240C
YAL029C	YMR139W
YKL207W	YML048W
YDR124W	YPR049C
YDL215C	YLL001W
YOR056C	YPL031C
YKL109W	YOR358W
YNL121C	YOL045W
YJL041W	YLR312W-A
YDR510W	YML041C
YLR350W	YMR272C
YGL003C	YPR119W
YDR189W	YPR105C
YJR145C	YMR290C
YGR059W	YLR314C
YER177W	YOR220W
YJL164C	YKL171W
YJL081C	YLR399C
YBR114W	YKR001C
YOL127W	YPR016C
YDR099W	YNL154C
YER125W	YJR051W
YIL094C	YMR012W
YHR169W	YPR121W
YDL015C	YJL117W
YJR059W	YKR092C
YGL106W	YMR304W
YDR032C	YHR135C
YCR016W	YGL213C
YLR215C	YLR386W
YGR235C	YJL164C
YDL116W	YLR018C
YDR256C	YOL045W
YNL154C	YPL191C
YDR264C	YJR040W
YEL015W	YPR080W
YGL179C	YMR304W
YBR198C	YHR099W
YGR116W	YLL039C
YEL011W	YLL039C
YDR328C	YLR399C
YBL030C	YLR203C
YOR117W	YPL031C
YAL005C	YFR019W
YBR112C	YNL167C
YBR194W	YPR152C
YDR342C	YKL203C
YER174C	YGL071W
YDR012W	YGL103W
YDL155W	YGR086C
YDR392W	YLR055C
YAL028W	YLR233C
YDL059C	YDR214W
YFL002C	YKL172W
YBR274W	YLR258W
YHR052W	YOL127W
