File Name	Fitness Score	Protein Count	Interaction Count
collins_1	0.7388307984790875	944	3899
collins_2	0.7382211538461538	908	3500
collins_3	0.7377377377377378	876	3106
collins_4	0.7369024856596559	942	3493
collins_5	0.7356403013182674	962	3720
collins_6	0.7353224254090471	915	3462
collins_7	0.7348409542743539	880	3541
collins_8	0.7328959700093721	948	3935
collins_9	0.7319767441860465	926	3033
collins_10	0.7318095238095238	933	3854
collins_11	0.7316425120772947	909	3430
collins_12	0.7315157116451017	980	3800
collins_13	0.7313780260707635	970	4036
collins_14	0.7310246679316889	928	3504
collins_15	0.7309756097560975	909	3442
collins_16	0.7307616221562809	917	3175
collins_17	0.7307312252964426	908	3308
collins_18	0.7303414634146341	912	3551
collins_19	0.7299809342230696	922	3469
collins_20	0.7299412915851272	920	3448
collins_21	0.7298178331735379	930	3554
collins_22	0.7298136645962733	837	3050
collins_23	0.7296650717703349	927	3766
collins_24	0.7296551724137931	901	3349
collins_25	0.72890625	927	3633
collins_26	0.7287378640776699	915	3441
collins_27	0.7287223823246878	932	3650
collins_28	0.7286686103012634	918	3360
collins_29	0.7286129970902037	929	3654
collins_30	0.7285024154589372	921	3474
