YAL001C	YPL007C
YAL002W	YLR148W
YAL002W	YPL045W
YAL003W	YGR285C
YAL003W	YKL081W
YAL003W	YLR249W
YAL003W	YPL048W
YAL007C	YAR002C-A
YAL007C	YGL200C
YAL007C	YML012W
YAL021C	YCR093W
YAL021C	YNR052C
YAL026C	YLR447C
YAL029C	YBR109C
YAL029C	YGL106W
YAL029C	YHR023W
YAL029C	YKL130C
YAL032C	YDL209C
YAL032C	YDR364C
YAL032C	YDR416W
YAL032C	YGR278W
YAL032C	YHR165C
YAL032C	YLL036C
YAL032C	YML049C
YAL032C	YMR213W
YAL032C	YMR288W
YAL032C	YPL213W
YAL034W-A	YJR112W
YAL034W-A	YPL233W
YAL053W	YOR153W
YAR002C-A	YGL200C
YAR002C-A	YML012W
YAR003W	YBR175W
YAR003W	YHR119W
YAR007C	YHR164C
YAR007C	YJL173C
YAR007C	YML032C
YAR007C	YNL312W
YAR014C	YER133W
YBL002W	YGL241W
YBL002W	YML069W
YBL002W	YOL012C
YBL008W	YBR215W
YBL008W	YOR038C
YBL018C	YBR257W
YBL018C	YNL221C
YBL018C	YNL282W
YBL021C	YGL237C
YBL026W	YBR055C
YBL026W	YDL098C
YBL026W	YDL160C
YBL026W	YER029C
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YGL173C
YBL026W	YGR074W
YBL026W	YGR075C
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJR022W
YBL026W	YLR275W
YBL026W	YNL147W
YBL026W	YPR178W
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YDR322W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKL167C
YBL038W	YKR006C
YBL038W	YKR085C
YBL038W	YLR439W
YBL038W	YMR024W
YBL038W	YNL005C
YBL038W	YNL284C
YBL041W	YER012W
YBL041W	YER021W
YBL041W	YER094C
YBL041W	YFL007W
YBL041W	YGL011C
YBL041W	YGR135W
YBL041W	YGR253C
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YOR157C
YBL041W	YPR103W
YBL052C	YPR031W
YBL056W	YDR071C
YBL067C	YOL087C
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YGR084C
YBL090W	YGR165W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YKL155C
YBL090W	YMR158W
YBL090W	YNL137C
YBL090W	YNR037C
YBL090W	YOR158W
YBL090W	YPL013C
YBL090W	YPL118W
YBL103C	YOL067C
YBL105C	YGR254W
YBR011C	YDL203C
YBR011C	YPL066W
YBR017C	YEL022W
YBR017C	YGL122C
YBR017C	YOR160W
YBR025C	YDL185W
YBR025C	YGL195W
YBR025C	YJR121W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YBR142W
YBR031W	YBR189W
YBR031W	YBR191W
YBR031W	YCR031C
YBR031W	YDL075W
YBR031W	YDL082W
YBR031W	YDL083C
YBR031W	YDR012W
YBR031W	YDR382W
YBR031W	YDR471W
YBR031W	YGL103W
YBR031W	YGR085C
YBR031W	YJL177W
YBR031W	YJR123W
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLL045C
YBR031W	YLR029C
YBR031W	YLR287C-A
YBR031W	YLR441C
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR242C
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL096C
YBR031W	YNL112W
YBR031W	YNL178W
YBR031W	YOL077C
YBR031W	YOL120C
YBR031W	YOL127W
YBR031W	YOR096W
YBR031W	YPL012W
YBR048W	YBR189W
YBR048W	YCL011C
YBR048W	YCL059C
YBR048W	YCR031C
YBR048W	YDL014W
YBR048W	YDL060W
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR012W
YBR048W	YDR064W
