File Name	Fitness Score	Protein Count	Interaction Count
collins_1	0.9974137931034482	482	2182
collins_2	0.9973451327433628	465	1976
collins_3	0.9969618055555556	467	2108
collins_4	0.9969618055555556	470	2256
collins_5	0.9969512195121951	466	2100
collins_6	0.9968971631205674	463	1827
collins_7	0.9968814968814969	385	2229
collins_8	0.9964139344262295	398	1939
collins_9	0.9962374581939799	493	2415
collins_10	0.9962121212121212	495	2421
collins_11	0.9961928934010152	469	2638
collins_12	0.9961928934010152	488	2276
collins_13	0.9961005199306759	470	2172
collins_14	0.9959216965742251	503	2275
collins_15	0.9958949096880131	512	2308
collins_16	0.9958471760797342	497	2534
collins_17	0.9957983193277311	388	2106
collins_18	0.9957698815566836	477	2061
collins_19	0.9957555178268251	485	2151
collins_20	0.9954470198675497	502	2575
collins_21	0.9953125	384	1917
collins_22	0.9952667814113597	477	2126
collins_23	0.9950166112956811	486	2285
collins_24	0.9950083194675541	496	2307
collins_25	0.9949832775919732	494	2313
collins_26	0.9947916666666666	307	944
collins_27	0.994724025974026	526	2778
collins_28	0.9946192052980133	503	2208
collins_29	0.9946192052980133	504	2348
collins_30	0.9945759368836292	410	2080
