YAL001C	YPL007C
YAL002W	YLR148W
YAL003W	YEL034W
YAL003W	YHR064C
YAL003W	YPL048W
YAL013W	YBR095C
YAL013W	YIL084C
YAL013W	YMR263W
YAL013W	YNL097C
YAL013W	YPL139C
YAL013W	YPL181W
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YMR273C
YAL024C	YHR158C
YAL033W	YBL018C
YAL033W	YBR257W
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL035W	YDL082W
YAL035W	YDR418W
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL035W	YPR041W
YAL042W	YML067C
YAL047C	YHR172W
YAL047C	YNL126W
YAR002C-A	YML012W
YAR002W	YLR347C
YAR003W	YBR175W
YAR003W	YHR119W
YAR014C	YER133W
YBL002W	YBL003C
YBL002W	YKR048C
YBL002W	YMR072W
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YKR048C
YBL003C	YMR072W
YBL003C	YNL030W
YBL008W	YBR215W
YBL008W	YOR038C
YBL018C	YBR257W
YBL018C	YHR062C
YBL018C	YNL221C
YBL018C	YNL282W
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDL098C
YBL026W	YDR378C
YBL026W	YDR473C
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YGR074W
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YJR022W
YBL026W	YKL173W
YBL026W	YLR147C
YBL026W	YMR268C
YBL026W	YOR308C
YBL026W	YPR178W
YBL027W	YBR191W
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR012W
YBL027W	YDR064W
YBL027W	YFR032C-A
YBL027W	YGL014W
YBL027W	YGL123W
YBL027W	YHL001W
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR150W
YBL027W	YLR448W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR242C
YBL027W	YNL069C
YBL027W	YNL178W
YBL027W	YOL127W
YBL027W	YOR063W
YBL027W	YOR096W
YBL027W	YPL090C
YBL027W	YPL249C-A
YBL035C	YIR008C
YBL035C	YKL045W
YBL035C	YNL102W
YBL038W	YCR046C
YBL038W	YDR116C
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YGR220C
YBL038W	YKR006C
YBL038W	YLR439W
YBL038W	YNL005C
YBL038W	YOR150W
YBL045C	YPR191W
YBL047C	YCR030C
YBL072C	YCL059C
YBL072C	YDL060W
YBL072C	YDL082W
YBL072C	YDL083C
YBL072C	YDL148C
YBL072C	YDR064W
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YGL120C
YBL072C	YGR054W
YBL072C	YHL001W
YBL072C	YJL177W
YBL072C	YJL190C
YBL072C	YJR145C
YBL072C	YKL180W
YBL072C	YLL045C
YBL072C	YLR129W
YBL072C	YLR197W
YBL072C	YLR340W
YBL072C	YLR448W
YBL072C	YML063W
YBL072C	YML073C
YBL072C	YMR116C
YBL072C	YMR146C
YBL072C	YMR229C
YBL072C	YMR242C
YBL072C	YMR290C
YBL072C	YNL178W
YBL072C	YNL308C
YBL072C	YOL127W
YBL072C	YOR063W
YBL072C	YOR096W
YBL072C	YOR361C
YBL072C	YPL012W
YBL072C	YPL090C
YBL072C	YPL126W
YBL072C	YPL198W
YBL074C	YBR055C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YKL173W
YBL074C	YOR308C
YBL074C	YPR178W
YBL079W	YMR153W
YBL084C	YDR118W
YBL084C	YLR127C
YBL084C	YOR249C
YBL087C	YDR361C
YBL087C	YMR290C
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YGR084C
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YJR113C
YBL090W	YKL155C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YPL118W
YBL097W	YLR272C
YBL103C	YOL067C
YBR010W	YEL056W
YBR011C	YLR425W
YBR011C	YPL066W
YBR025C	YDL185W
YBR025C	YGL195W
YBR025C	YJR121W
YBR055C	YBR152W
YBR055C	YCR077C
YBR055C	YDL098C
YBR055C	YDR378C
YBR055C	YDR473C
YBR055C	YER112W
YBR055C	YER146W
YBR055C	YGR013W
YBR055C	YGR074W
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YKL173W
YBR055C	YLL036C
YBR055C	YLR147C
YBR055C	YLR424W
YBR055C	YML046W
YBR055C	YMR240C
YBR055C	YMR268C
YBR055C	YMR288W
YBR055C	YOR159C
YBR055C	YOR308C
YBR055C	YPL213W
YBR055C	YPR178W
YBR055C	YPR182W
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPL151C
YBR065C	YPR101W
YBR081C	YCL010C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR392W
YBR081C	YGR274C
