YAL011W	YLR085C
YAL013W	YBR095C
YAL013W	YIL084C
YAL013W	YMR263W
YAL013W	YNL330C
YAL013W	YOL004W
YAL013W	YPL139C
YAL013W	YPL181W
YAL021C	YCR093W
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YNR052C
YAL024C	YHR158C
YAL027W	YPL022W
YAL029C	YBR130C
YAL029C	YHR023W
YAL029C	YOR326W
YAL032C	YDR364C
YAL032C	YDR416W
YAL032C	YGL128C
YAL032C	YHR165C
YAL032C	YLL036C
YAL032C	YLR117C
YAL032C	YMR213W
YAL032C	YMR288W
YAL032C	YPL213W
YAL032C	YPR101W
YAL033W	YHR062C
YAL033W	YNL221C
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR418W
YAL035W	YDR496C
YAL035W	YFR031C-A
YAL035W	YJL190C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YPR041W
YAL047C	YNL126W
YAR002W	YLR347C
YAR003W	YHR119W
YAR003W	YKL018W
YAR007C	YML032C
YAR007C	YOL090W
YAR073W	YGR085C
YAR073W	YLR432W
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YBL002W	YBL003C
YBL003C	YBR010W
YBL003C	YBR245C
YBL003C	YNL030W
YBL003C	YPL082C
YBL004W	YBR048W
YBL004W	YCL059C
YBL004W	YDL014W
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YER082C
YBL004W	YGR128C
YBL004W	YGR145W
YBL004W	YHR148W
YBL004W	YJL109C
YBL004W	YKR060W
YBL004W	YLL011W
YBL004W	YLR129W
YBL004W	YLR186W
YBL004W	YLR222C
YBL004W	YMR229C
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL012W
YBL004W	YPL043W
YBL004W	YPL126W
YBL004W	YPL217C
YBL004W	YPL266W
YBL004W	YPR137W
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDL098C
YBL026W	YDR378C
YBL026W	YDR473C
YBL026W	YGR075C
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YLR147C
YBL026W	YOR308C
YBL027W	YBL092W
YBL027W	YBR048W
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDR064W
YBL027W	YER074W
YBL027W	YFR031C-A
YBL027W	YFR032C-A
YBL027W	YGL014W
YBL027W	YGL123W
YBL027W	YGL147C
YBL027W	YGR085C
YBL027W	YHL001W
YBL027W	YJL177W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YMR242C
YBL027W	YNL096C
YBL027W	YNL178W
YBL027W	YOL040C
YBL027W	YOR096W
YBL027W	YPL090C
YBL027W	YPL249C-A
YBL037W	YOL062C
YBL045C	YPR191W
YBL046W	YNL201C
YBL047C	YCR030C
YBL052C	YPR031W
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YMR188C
YBL090W	YPL013C
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDR064W
YBL092W	YER074W
YBL092W	YFR031C-A
YBL092W	YFR032C-A
YBL092W	YGL014W
YBL092W	YGL147C
YBL092W	YGR085C
YBL092W	YHL001W
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YNL096C
YBL092W	YOL040C
YBL092W	YOR096W
YBR010W	YEL056W
YBR011C	YPL066W
YBR025C	YDL185W
YBR025C	YJR121W
YBR048W	YCL059C
YBR048W	YDL014W
YBR048W	YDL060W
YBR048W	YDR064W
YBR048W	YDR418W
YBR048W	YER025W
YBR048W	YER074W
YBR048W	YFR031C-A
YBR048W	YGR085C
YBR048W	YHL001W
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YLR340W
YBR048W	YML063W
YBR048W	YML073C
YBR048W	YMR194W
YBR048W	YMR229C
YBR048W	YMR242C
YBR048W	YMR290C
YBR048W	YNL096C
YBR048W	YNL178W
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOR096W
YBR048W	YOR204W
YBR048W	YPL012W
YBR048W	YPL090C
YBR048W	YPL217C
YBR052C	YDR032C
YBR055C	YCR077C
YBR055C	YDL098C
YBR055C	YDR378C
YBR055C	YDR473C
YBR055C	YGR075C
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YLL036C
YBR055C	YLR147C
YBR055C	YLR424W
YBR055C	YML046W
