YAL001C	YOR110W
YAL003W	YEL034W
YAL003W	YHR064C
YAL011W	YDR190C
YAL011W	YPL235W
YAL013W	YBR095C
YAL013W	YNL097C
YAL013W	YNL330C
YAL013W	YOL004W
YAL013W	YPL139C
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YNR052C
YAL024C	YHR158C
YAL026C	YLR447C
YAL027W	YPL022W
YAL043C	YDR301W
YAL043C	YER133W
YAL043C	YJR093C
YAL043C	YKL018W
YAL043C	YKL059C
YAL043C	YKR002W
YAL043C	YMR061W
YAL043C	YOR179C
YAR002C-A	YGL200C
YAR002C-A	YML012W
YAR003W	YBR175W
YAR003W	YBR258C
YAR003W	YKL018W
YAR003W	YPL138C
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YJR123W
YAR073W	YML056C
YAR073W	YMR242C
YAR073W	YOR096W
YAR073W	YPL198W
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YER082C
YBL004W	YGR090W
YBL004W	YHR148W
YBL004W	YKR060W
YBL004W	YLR129W
YBL004W	YLR197W
YBL004W	YMR093W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOR096W
YBL004W	YPL217C
YBL004W	YPR144C
YBL018C	YGR030C
YBL018C	YHR062C
YBL018C	YNL282W
YBL026W	YDL098C
YBL026W	YDL160C
YBL026W	YDR378C
YBL026W	YER146W
YBL026W	YGL173C
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJR022W
YBL026W	YLR438C-A
YBL026W	YMR268C
YBL026W	YNL147W
YBL026W	YPR082C
YBL035C	YIR008C
YBL035C	YKL045W
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YCR071C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YDR322W
YBL038W	YMR024W
YBL038W	YNL284C
YBL038W	YOR150W
YBL041W	YER012W
YBL041W	YER094C
YBL041W	YFR050C
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YMR314W
YBL041W	YOR157C
YBL041W	YPR103W
YBL045C	YPR191W
YBL056W	YDR071C
YBL084C	YHR166C
YBL084C	YLR127C
YBL093C	YBR253W
YBL093C	YDL005C
YBL093C	YGL127C
YBL093C	YGL151W
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YNR010W
YBL093C	YOL051W
YBL093C	YOR174W
YBL093C	YPR070W
YBL099W	YJR121W
YBL103C	YOL067C
YBR011C	YPL066W
YBR025C	YGL195W
YBR025C	YJR121W
YBR081C	YCL010C
YBR081C	YDR145W
YBR081C	YDR167W
YBR081C	YDR176W
YBR081C	YDR392W
YBR081C	YDR448W
YBR081C	YGL112C
YBR081C	YGR252W
YBR081C	YGR274C
YBR081C	YML015C
YBR081C	YMR236W
YBR081C	YPL011C
YBR084W	YDR471W
YBR084W	YFR031C-A
YBR084W	YHR010W
YBR084W	YLR075W
YBR084W	YLR340W
YBR087W	YNL290W
YBR087W	YOR217W
YBR094W	YEL015W
YBR095C	YNL097C
YBR095C	YNL330C
YBR095C	YOL004W
YBR095C	YPL139C
YBR103W	YDR155C
YBR103W	YGL194C
YBR103W	YIL112W
YBR103W	YKR029C
YBR105C	YGL227W
YBR105C	YIL017C
YBR105C	YMR135C
YBR107C	YBR211C
YBR107C	YDR254W
YBR107C	YDR318W
YBR122C	YCR046C
YBR122C	YCR071C
YBR122C	YDR116C
YBR122C	YDR237W
YBR122C	YDR322W
YBR122C	YHR147C
YBR122C	YMR024W
YBR122C	YOR150W
YBR125C	YDR071C
YBR130C	YGL106W
YBR135W	YBR160W
YBR135W	YDL155W
YBR135W	YKR091W
YBR135W	YMR199W
YBR142W	YDR496C
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YLL008W
YBR142W	YLL045C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YPL198W
YBR142W	YPL249C-A
YBR152W	YDL098C
YBR152W	YGR091W
YBR154C	YDL115C
YBR154C	YDL150W
YBR154C	YDR156W
YBR154C	YGR005C
YBR154C	YGR186W
YBR154C	YIL021W
YBR154C	YJL148W
YBR154C	YKR025W
YBR154C	YNL113W
YBR154C	YOR340C
YBR154C	YPR010C
YBR160W	YDL155W
YBR175W	YKL018W
YBR175W	YPL138C
YBR196C	YLR044C
YBR196C	YMR186W
YBR196C	YOL086C
YBR211C	YDR254W
YBR211C	YDR318W
YBR211C	YDR383C
YBR211C	YGR179C
YBR215W	YJR140C
YBR215W	YOR038C
YBR225W	YGL197W
YBR225W	YLR310C
YBR245C	YCR052W
YBR245C	YDR190C
YBR245C	YFR037C
YBR245C	YIL126W
YBR245C	YKR008W
YBR245C	YLR033W
YBR245C	YLR357W
YBR245C	YMR072W
YBR245C	YNL030W
YBR245C	YOL017W
YBR245C	YOR304W
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YDR347W
YBR251W	YGR165W
YBR251W	YHL004W
YBR251W	YIL093C
YBR251W	YJR113C
YBR251W	YKL003C
YBR251W	YKL155C
YBR251W	YMR158W
YBR251W	YNL306W
YBR251W	YPL013C
YBR253W	YDL005C
YBR253W	YDR448W
YBR253W	YGL127C
YBR253W	YGL151W
YBR253W	YHR041C
YBR253W	YHR058C
YBR253W	YNR010W
YBR253W	YOL051W
YBR253W	YOR174W
YBR253W	YPR070W
YBR254C	YDR246W
YBR254C	YDR407C
YBR254C	YGR166W
YBR254C	YOR115C
YBR258C	YKL018W
YBR258C	YPL138C
YBR282W	YCR046C
YBR282W	YDR116C
YBR282W	YDR237W
YBR282W	YDR322W
YBR282W	YMR024W
YBR289W	YDR073W
YBR289W	YNR023W
YBR289W	YOR290C
YBR289W	YPR034W
YCL010C	YDR145W
YCL010C	YDR167W
YCL010C	YDR176W
YCL010C	YDR392W
YCL010C	YDR448W
YCL010C	YGL112C
YCL010C	YGR252W
YCL010C	YMR236W
YCL016C	YHR191C
YCL043C	YHR204W
YCR002C	YHR107C
YCR002C	YJR076C
YCR004C	YDR032C
YCR020W-B	YCR052W
YCR020W-B	YFR037C
YCR020W-B	YIL126W
YCR020W-B	YKR008W
