YAL002W	YLR148W
YAL003W	YGR285C
YAL003W	YLR249W
YAL003W	YPL048W
YAL007C	YML012W
YAL011W	YDR190C
YAL011W	YLR085C
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YGL190C
YAL016W	YML109W
YAL016W	YMR273C
YAL021C	YNR052C
YAL027W	YML095C
YAL027W	YPL022W
YAL029C	YBR130C
YAL029C	YFL039C
YAL029C	YGL106W
YAL029C	YHR023W
YAL029C	YKL130C
YAL029C	YOR326W
YAL034C	YER110C
YAR003W	YBR258C
YAR003W	YDR469W
YAR003W	YHR119W
YAR003W	YKL018W
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YML069W
YBL002W	YMR072W
YBL003C	YBR010W
YBL003C	YBR245C
YBL003C	YGL241W
YBL003C	YMR072W
YBL003C	YNL030W
YBL003C	YPL082C
YBL004W	YBL072C
YBL004W	YBR048W
YBL004W	YCL059C
YBL004W	YDL014W
YBL004W	YDR299W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YGR145W
YBL004W	YJL109C
YBL004W	YJR002W
YBL004W	YKR060W
YBL004W	YLL011W
YBL004W	YLR186W
YBL004W	YLR222C
YBL004W	YLR409C
YBL004W	YMR128W
YBL004W	YMR229C
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL012W
YBL004W	YPL217C
YBL004W	YPR137W
YBL004W	YPR144C
YBL021C	YGL237C
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDL160C
YBL026W	YDR378C
YBL026W	YDR473C
YBL026W	YER146W
YBL026W	YER172C
YBL026W	YGL173C
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YKL173W
YBL026W	YLR147C
YBL026W	YLR275W
YBL026W	YLR438C-A
YBL026W	YOR308C
YBL027W	YBL092W
YBL027W	YBR048W
YBL027W	YCR031C
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDR382W
YBL027W	YER074W
YBL027W	YFR031C-A
YBL027W	YGL014W
YBL027W	YGL103W
YBL027W	YGL147C
YBL027W	YHL001W
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YLL045C
YBL027W	YLR150W
YBL027W	YLR344W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YNL069C
YBL027W	YNL096C
YBL027W	YNL178W
YBL027W	YOL040C
YBL027W	YOR096W
YBL027W	YPL249C-A
YBL046W	YML010W
YBL046W	YNL201C
YBL047C	YCR030C
YBL072C	YBR048W
YBL072C	YCL037C
YBL072C	YCL059C
YBL072C	YCR031C
YBL072C	YDL014W
YBL072C	YDL060W
YBL072C	YDL082W
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YER074W
YBL072C	YFR031C-A
YBL072C	YGL103W
