File Name	Fitness Score	Protein Count	Interaction Count
collins_1	0.9985955056179775	423	1808
collins_2	0.9985928705440901	427	1791
collins_3	0.998587570621469	434	2012
collins_4	0.9982638888888888	458	1954
collins_5	0.9981308411214953	434	1677
collins_6	0.9980769230769231	416	1703
collins_7	0.9978813559322034	373	1902
collins_8	0.9978108581436077	463	2160
collins_9	0.9978031634446397	469	2300
collins_10	0.9977718360071302	450	1848
collins_11	0.9977718360071302	447	2033
collins_12	0.9977477477477478	444	1921
collins_13	0.9977355072463768	441	1915
collins_14	0.9977355072463768	457	2001
collins_15	0.9977231329690346	445	2075
collins_16	0.9976808905380334	428	1851
collins_17	0.9974271012006861	475	2255
collins_18	0.9973913043478261	466	2230
collins_19	0.9973776223776224	464	1997
collins_20	0.9973776223776224	481	2125
collins_21	0.9973739495798319	381	1729
collins_22	0.9973730297723292	466	1811
collins_23	0.9973591549295775	462	2185
collins_24	0.9973572938689218	370	2067
collins_25	0.9973544973544973	460	1967
collins_26	0.9973451327433628	458	2381
collins_27	0.9973404255319149	460	1789
collins_28	0.9973404255319149	470	2077
collins_29	0.9973309608540926	443	1896
collins_30	0.9973309608540926	450	1843
