File Name	Fitness Score	Protein Count	Interaction Count
dip_1	0.7566170388751033	1965	3891
dip_2	0.7563316993464052	1990	4175
dip_3	0.7557544757033248	1900	3951
dip_4	0.7554690786705932	1923	3772
dip_5	0.7551892551892552	2001	3840
dip_6	0.7551709582102153	1931	3910
dip_7	0.755144897102058	1928	3801
dip_8	0.7551419169066228	2009	4363
dip_9	0.7550515463917525	1947	3989
dip_10	0.7549682875264271	1890	3686
dip_11	0.7548605240912933	1906	3704
dip_12	0.7546220213640099	2010	4293
dip_13	0.7545155993431856	1956	3791
dip_14	0.7544679966749792	1974	3823
dip_15	0.7543823038397329	1928	3851
dip_16	0.7543013008812421	1939	3728
dip_17	0.7542680324370465	1892	3795
dip_18	0.754232039636664	1962	3956
dip_19	0.7540966816878328	2040	4113
dip_20	0.7540289256198347	1961	3827
dip_21	0.7540041067761807	2007	4090
dip_22	0.7539159109645507	1929	3850
dip_23	0.7538525614327364	1881	3678
dip_24	0.7537831021437579	1872	3644
dip_25	0.7537531276063386	1895	3661
dip_26	0.7537267080745341	1943	3744
dip_27	0.7537123462028001	1845	3816
dip_28	0.7537029200169276	1927	3809
dip_29	0.7536488740617181	1932	3647
dip_30	0.7536397670549085	1962	3927
