YMR056C	YLL013C
YBR085W	YBR217W
YBR085W	YOR181W
YBR085W	YHR002W
YBR085W	YJL173C
YBR085W	YML058W
YBR085W	YHR135C
YFL056C	YOL018C
YHR047C	YLR148W
YLR027C	YLR314C
YKL112W	YIL035C
YKL112W	YOR061W
YKL112W	YGL019W
YMR072W	YGL127C
YNR033W	YPR154W
YLR131C	YBR160W
YLR131C	YGR218W
YLR131C	YPR086W
YLR131C	YMR304W
YAL054C	YHR041C
YAL054C	YNL189W
YAL054C	YLR049C
YFL039C	YMR092C
YFL039C	YJL081C
YFL039C	YBR200W
YFL039C	YNL271C
YFL039C	YLL050C
YFL039C	YDL178W
YFL039C	YGL240W
YFL039C	YML126C
YFL039C	YCL027W
YFL039C	YCL040W
YFL039C	YPL242C
YFL039C	YOR181W
YFL039C	YHR023W
YFL039C	YAL029C
YFL039C	YDL002C
YFL039C	YHR179W
YFL039C	YLR196W
YFL039C	YMR061W
YFL039C	YER125W
YFL039C	YDR129C
YFL039C	YNL243W
YFL039C	YNL079C
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YDR448W	YDR216W
YDR448W	YOR023C
YDR448W	YHR166C
YDR448W	YDL165W
YDR448W	YPL181W
YDR448W	YBR278W
YDR448W	YPL248C
YDR448W	YEL009C
YDR448W	YDR176W
YDR448W	YER148W
YDR448W	YHR041C
YDR448W	YER022W
YDR448W	YDR167W
YDR448W	YBR198C
YDR448W	YMR236W
YDR448W	YHR099W
YOR128C	YPR111W
YOR128C	YEL018W
YOR128C	YBR021W
YOR128C	YGL154C
YOR128C	YCR012W
YOR128C	YCR066W
YOR128C	YGL127C
YOR128C	YMR236W
YOR128C	YBR134W
YOR128C	YDR271C
YOR128C	YPR045C
YDR408C	YCR063W
YDR408C	YOR174W
YDR408C	YGL127C
YOL086C	YFR021W
YOL086C	YBR207W
YOL086C	YAL034C
YOL086C	YAL029C
YOL086C	YDL042C
YOL086C	YBR058C
YOL086C	YAL027W
YMR303C	YLR229C
YMR303C	YLR216C
YMR303C	YLR097C
YMR303C	YKL189W
YMR303C	YDR386W
YMR303C	YKL108W
YMR303C	YHR135C
YMR303C	YFL042C
YBR145W	YDR034C
YBR145W	YMR047C
YDR226W	YDR177W
YCR011C	YBR290W
YCR011C	YGL098W
YCR011C	YBR159W
YCR011C	YNL154C
YDR216W	YER177W
YDR216W	YBR017C
YDR216W	YER148W
YDR216W	YPR086W
YDR216W	YDR167W
YDR216W	YBR198C
YLR397C	YMR047C
YER017C	YBR247C
YER017C	YBR034C
YER017C	YFL018C
YER017C	YMR089C
YBR132C	YHR042W
YDR214W	YBR217W
YDR214W	YDL101C
YDR214W	YJL030W
YDR214W	YDL200C
YDR214W	YOL052C
YDR214W	YDR523C
YOR023C	YNL118C
YOR023C	YDL030W
YOR023C	YCR082W
YOR023C	YLR424W
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YLR340W
YLR109W	YDR369C
YLR109W	YHR135C
YMR092C	YLL050C
YMR092C	YBR101C
YIL079C	YNL004W
YIL079C	YDR432W
YIL079C	YOL115W
YDR264C	YPL242C
YDR264C	YJR086W
YDR264C	YDR103W
YDR264C	YHR135C
YDR264C	YNL154C
YOR335C	YPR111W
YOR335C	YNL135C
YOR335C	YBR055C
YOR374W	YLR447C
YER073W	YEL042W
YER073W	YGL181W
YER073W	YPR086W
YER073W	YPL257W
YNL148C	YML124C
YGL065C	YER103W
YOL130W	YGL025C
YOL130W	YGL024W
YGR225W	YKL022C
YML035C	YLR191W
YBR211C	YBR107C
YBR211C	YDR394W
YBR158W	YGR163W
YBR158W	YHR064C
YEL036C	YBR290W
YEL036C	YJR075W
YEL036C	YPL050C
YPR128C	YNL121C
YPR128C	YGL114W
YLR127C	YDR118W
YLR127C	YKL022C
YLR127C	YHR166C
YLR127C	YGL240W
YDR118W	YHR166C
YDR118W	YGL240W
YBR286W	YPL200W
YBR286W	YDR311W
YBR217W	YGL105W
YBR217W	YDR127W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YNR007C
YBR217W	YLR216C
YBR217W	YGR218W
YBR217W	YIL125W
YBR217W	YFR030W
YBR217W	YIL128W
YBR217W	YMR047C
YBR217W	YEL060C
YBR217W	YAR031W
YBR217W	YLR059C
YBR217W	YFR004W
YBR217W	YER021W
YBR217W	YDL147W
YBR217W	YDL097C
YBR217W	YPR108W
YBR217W	YKL145W
YBR217W	YDR394W
YBR217W	YBR080C
YBR217W	YHR020W
YBR217W	YHR033W
YBR217W	YLR424W
YBL037W	YOL062C
YBL037W	YNL118C
YGR261C	YBR288C
YGR261C	YHR174W
YGR261C	YOR106W
YPL259C	YLR170C
YPL259C	YHR052W
YPL259C	YPR159W
YPL259C	YNL308C
YPL259C	YLR328W
YPL259C	YPL093W
YPL259C	YLR196W
YPL259C	YOL010W
YPL259C	YLR329W
YPL259C	YOR187W
YHL019C	YLR170C
YHL019C	YFR045W
YBR288C	YPL016W
YBR288C	YBR014C
YOL062C	YFR049W
YIL040W	YER149C
YIL062C	YLR370C
YIL062C	YKL013C
YIL062C	YNR035C
YLR370C	YKL013C
YLR370C	YNR035C
YKL013C	YNR035C
YGL105W	YCR002C
YGL105W	YBR017C
YGL105W	YKL205W
YNR035C	YHR114W
YNR035C	YLR429W
YNR035C	YGL208W
YNR019W	YOR381W
YNR019W	YDL006W
YNR019W	YBR159W
YDL192W	YDL137W
YDL192W	YPR176C
YDL192W	YLR078C
YDL192W	YHR188C
YDL192W	YDL200C
YDL192W	YLR268W
YDL137W	YHR188C
YOL058W	YBR160W
YOL058W	YNL189W
YJL088W	YDL017W
YHR018C	YNL189W
YDR173C	YDL017W
YDR173C	YMR043W
YDR376W	YCR093W
YPL051W	YER044C
YPL051W	YGL183C
YPL051W	YKR030W
YPL051W	YPR086W
YPL051W	YKL206C
YDR127W	YJL008C
YDR127W	YAL007C
YDR127W	YMR186W
YDR127W	YOR136W
YDR127W	YHR082C
