File Name	Fitness Score	Protein Count	Interaction Count
dip_1	0.8718852844381758	1639	3247
dip_2	0.8707096474953617	1589	2883
dip_3	0.8703790360318203	1722	3517
dip_4	0.8691914498141264	1698	3473
dip_5	0.8683378500451672	1796	3621
dip_6	0.8682620817843866	1711	3381
dip_7	0.8658932714617169	1746	3392
dip_8	0.8646258503401361	1802	3649
dip_9	0.8634816159782115	1741	3428
dip_10	0.8624539594843462	1741	3329
dip_11	0.8611245173745173	1544	2854
dip_12	0.8598926738217452	1704	3561
dip_13	0.8572101790763431	1665	3444
dip_14	0.8571428571428571	1734	3429
dip_15	0.8561276794035415	1692	3474
dip_16	0.8537757437070939	1738	3443
dip_17	0.8515089163237312	1724	3308
dip_18	0.8514781792585641	1664	3157
dip_19	0.8514319809069213	1517	2907
dip_20	0.8512478108581436	1822	3584
dip_21	0.8508624820316243	1705	3303
dip_22	0.850854898336414	1721	3367
dip_23	0.8501621120889301	1657	3038
dip_24	0.8499298737727911	1714	3434
dip_25	0.8497679814385151	1728	3332
dip_26	0.8497397065783246	1612	3049
dip_27	0.8496762257169288	1705	3272
dip_28	0.8495841035120147	1763	3607
dip_29	0.8494002665482008	1798	3731
dip_30	0.8493429995468963	1755	3488
