YMR056C	YNR056C
YBL074C	YDR283C
YCR088W	YFL039C
YCR088W	YNL020C
YCR088W	YPL204W
YCR088W	YDR342C
YCR088W	YMR109W
YCR088W	YIL095W
YCR088W	YDR388W
YCR088W	YDR129C
YCR088W	YBL007C
YCR088W	YNL243W
YCR088W	YNL138W
YCR088W	YCR084C
YCR088W	YIR003W
YNR033W	YPR154W
YER045C	YGR247W
YER045C	YGR123C
YNR016C	YER179W
YNR016C	YPR110C
YNR016C	YDL047W
YNR016C	YLR386W
YBL015W	YJR035W
YBL015W	YPR110C
YLR304C	YOR005C
YLR304C	YPL204W
YLR304C	YBR136W
YLR304C	YJR035W
YLR304C	YAR007C
YLR304C	YOL006C
YLR304C	YLR262C
YAL054C	YNL189W
YFL039C	YJL081C
YFL039C	YNL271C
YFL039C	YLL050C
YFL039C	YJL005W
YFL039C	YFL024C
YFL039C	YML126C
YFL039C	YOR244W
YFL039C	YCL027W
YFL039C	YOR181W
YFL039C	YOR122C
YFL039C	YLR196W
YFL039C	YER125W
YFL039C	YDR388W
YFL039C	YDR129C
YFL039C	YNL243W
YFL039C	YNL138W
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YFL039C	YLR337C
YLR028C	YLR373C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YGL154C
YOR128C	YPL169C
YOR128C	YMR236W
YOR128C	YML064C
YOR128C	YBR134W
YOR128C	YDR271C
YOR128C	YML011C
YOR128C	YPR045C
YOR128C	YPR085C
YMR303C	YDL175C
YMR303C	YLR074C
YMR303C	YKL189W
YMR303C	YPR110C
YMR303C	YFL042C
YMR318C	YJR035W
YMR318C	YLR442C
YCR011C	YBR159W
YDR216W	YER177W
YDR216W	YOL133W
YDR216W	YGR123C
YDR216W	YPR110C
YDR216W	YER118C
YDR216W	YPR086W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YML042W
YDL239C	YLR098C
YDL239C	YPL049C
YDL239C	YBR072W
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YOR373W
YDL239C	YHR184W
YDL239C	YNR012W
YDL239C	YGR268C
YDL239C	YKL023W
YDL239C	YMR124W
YLR397C	YLR074C
YLR397C	YAR044W
YDR214W	YJL030W
