YHR047C	YLR148W
YBL074C	YDR283C
YKL106W	YLR447C
YKL112W	YIL035C
YKL112W	YBR114W
YJR108W	YHR114W
YCR088W	YFL039C
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YPL204W
YCR088W	YDR342C
YCR088W	YNL106C
YCR088W	YMR109W
YCR088W	YIL095W
YCR088W	YDR388W
YCR088W	YDR129C
YCR088W	YOR367W
YCR088W	YNL243W
YCR088W	YNL138W
YCR088W	YCR084C
YCR088W	YHR199C
YCR088W	YIR003W
YCR088W	YHR016C
YNR033W	YPR154W
YER045C	YGL181W
YER045C	YGR123C
YNR016C	YER179W
YNR016C	YDL047W
YNR016C	YLR386W
YLR131C	YPR086W
YLR131C	YNL157W
YBL015W	YJR035W
YBL015W	YMR059W
YLR304C	YOR005C
YLR304C	YPL204W
YLR304C	YBR136W
YLR304C	YJR035W
YLR304C	YMR059W
YAL054C	YNL189W
YAL054C	YLR049C
YFL039C	YJL081C
YFL039C	YNL271C
YFL039C	YLL050C
YFL039C	YJL005W
YFL039C	YFL024C
YFL039C	YML126C
YFL039C	YOR244W
YFL039C	YCL027W
YFL039C	YDL226C
YFL039C	YPL242C
YFL039C	YOR181W
YFL039C	YHR023W
YFL039C	YMR061W
YFL039C	YER125W
YFL039C	YDR388W
YFL039C	YDR129C
YFL039C	YOR367W
YFL039C	YNL243W
YFL039C	YNL138W
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YFL039C	YLR337C
YLR359W	YBR276C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YGL154C
YOR128C	YCR012W
YOR128C	YCR067C
YOR128C	YPR054W
YOR128C	YGL127C
YOR128C	YPR088C
YOR128C	YMR236W
YOR128C	YML064C
YOR128C	YDR271C
YOR128C	YMR323W
YOR128C	YPR045C
YOR128C	YPR085C
YMR303C	YDL175C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YHR135C
YCR011C	YBR290W
YCR011C	YPR079W
YCR011C	YBR159W
YCR011C	YNL154C
YCR010C	YFL055W
YCR010C	YJR040W
YCR010C	YCR061W
YLR227C	YOR089C
YDR085C	YHR107C
YDR085C	YPL242C
YDR085C	YMR059W
YBR132C	YHR042W
YFL055W	YOR076C
YLR109W	YMR022W
YLR109W	YMR059W
YLR109W	YDR369C
YLR109W	YJL141C
YLR109W	YHR135C
YDL175C	YOR204W
YDL175C	YJL124C
YDL175C	YPR191W
YDL175C	YNL189W
YBR059C	YGR199W
YBR059C	YIL095W
YBR059C	YCL032W
YER073W	YEL042W
YER073W	YGL181W
YER073W	YPR086W
YBR243C	YML075C
YNL219C	YGR149W
YOL130W	YGL025C
YOL130W	YNL086W
YGR225W	YKL022C
YBR211C	YDR394W
YGL156W	YOL082W
YGL156W	YKL103C
YGL156W	YOL083W
YEL036C	YBR290W
YEL036C	YJR075W
YEL036C	YPL050C
YEL036C	YPL094C
YPR128C	YMR306W
YPR128C	YNL121C
YPR128C	YAR027W
YPR128C	YAR028W
YPR128C	YGL114W
YPR180W	YIL098C
YPR180W	YER136W
YPR180W	YHR063C
YPR180W	YJL001W
YPR180W	YDR510W
YPR180W	YDR390C
YDR118W	YLR102C
YDR118W	YFR036W
YLR102C	YKL022C
YLR102C	YNL176C
YBR286W	YPL200W
YBR286W	YDR311W
YBR217W	YMR159C
YBR217W	YPL149W
YBR217W	YHR171W
YBR217W	YDL029W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YLR438W
YBR217W	YDR022C
YBR217W	YMR319C
YBR217W	YER025W
YBR217W	YKL104C
YBR217W	YBR011C
YBR217W	YIL125W
YBR217W	YEL060C
YBR217W	YAR031W
YBR217W	YHR200W
YBR217W	YHR027C
YBR217W	YER021W
YBR217W	YPR108W
YBR217W	YKL145W
YBR217W	YDR394W
YBR217W	YBR080C
YBR217W	YHR020W
YBR217W	YHR033W
YBR217W	YLR424W
YBR217W	YNL208W
YMR159C	YPL149W
YMR159C	YGR097W
YMR159C	YPL070W
YMR159C	YDR510W
YMR159C	YML064C
YPL149W	YJL167W
YHR171W	YNL255C
YHR171W	YKL134C
YHR171W	YMR183C
YHR171W	YNL212W
YKL135C	YLR170C
YKL135C	YGL206C
YKL135C	YNL189W
YBL037W	YOL062C
YBL037W	YJR058C
YBL037W	YNL118C
YOL062C	YJR058C
YKL114C	YOR264W
YJL075C	YNL157W
YJR058C	YJR091C
YML022W	YER022W
YML022W	YLR447C
YBR149W	YNL128W
YLR370C	YKL013C
YLR370C	YNR035C
YLR370C	YBR234C
YLR370C	YDL029W
YLR370C	YJR091C
YKL013C	YNR035C
YKL013C	YBR234C
YKL013C	YDL029W
YKL013C	YMR109W
YKL013C	YDR063W
YNR035C	YBR234C
YNR035C	YDL029W
YNR035C	YHR114W
YNR035C	YBR109C
YBR234C	YDL029W
YBR234C	YMR109W
YBR234C	YER022W
YBR234C	YLR241W
YNR019W	YJR117W
YNR019W	YBR159W
YDL137W	YHR188C
YDL137W	YDR007W
YDL137W	YGR052W
YOL058W	YDR388W
YOL058W	YNL189W
YHR018C	YGL137W
YHR018C	YNL189W
YML099C	YNL118C
YML099C	YMR043W
YML099C	YKL145W
YDR173C	YMR043W
YNL020C	YDR259C
YDR380W	YDR038C
YBR249C	YEL047C
YBR249C	YPL150W
YHR137W	YBR198C
YHR137W	YDR092W
YDR106W	YLR222C
YDL029W	YBR039W
YDL029W	YNL271C
YDL029W	YBR202W
YDL029W	YBR208C
YDL029W	YNL084C
YDL029W	YKL104C
YDL029W	YOR181W
YDL029W	YMR109W
YDL029W	YPR178W
YDL029W	YDR032C
YDL029W	YDR394W
YDL029W	YDR143C
YDL029W	YDL047W
YDL029W	YNL189W
YDL029W	YDR260C
YDL029W	YKL211C
YJL081C	YFL024C
YJL081C	YOR244W
YJL081C	YGL237C
YJL081C	YDR225W
YJL081C	YDR224C
YJL081C	YDR146C
YLR085C	YDL237W
YDR101C	YGL099W
YDR101C	YNL110C
YDR101C	YDR192C
YNL159C	YER022W
YNL008C	YJR091C
YNL008C	YBR298C
YNL008C	YNL083W
YNL008C	YNL260C
YGR097W	YKL116C
YKL052C	YKR083C
YKL052C	YMR077C
YLR155C	YLR295C
YLR155C	YNL070W
YPR093C	YNL135C
YPR093C	YOL005C
YPR093C	YGL070C
YPR093C	YDL140C
YPR093C	YDR131C
YOR377W	YGL127C
YOR377W	YHR178W
YPR049C	YGL180W
YPR049C	YGR113W
YPR049C	YDR228C
YPR185W	YGL180W
YPR185W	YGR120C
YPR185W	YEL013W
YPR185W	YNL086W
YBR128C	YPL120W
YLR423C	YGL180W
YLR423C	YMR068W
YLR423C	YDR022C
YLR423C	YGR120C
YLR423C	YPR105C
YLR423C	YKR083C
YLR423C	YGR113W
YLR423C	YNL230C
YLR423C	YBR102C
YLR423C	YGL237C
YLR423C	YHL004W
YLR423C	YHR023W
YLR423C	YDR176W
YLR423C	YNL078W
YLR423C	YDR383C
YLR423C	YDR228C
YLR423C	YOR158W
YLR423C	YJL117W
YLR423C	YAL032C
YLR423C	YJL036W
YLR423C	YGL127C
YLR423C	YPL124W
YLR423C	YKR037C
YLR423C	YBL106C
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YDR311W
YLR423C	YDR259C
YLR423C	YBR270C
YLR423C	YFR008W
YLR423C	YLL049W
YLR423C	YMR124W
YLR423C	YPL159C
YFR021W	YGL190C
YFR021W	YLR094C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YHR103W
YFR021W	YDL047W
YFR021W	YLR222C
YFR021W	YML059C
YLR189C	YBL038W
YDL149W	YKL064W
YDL149W	YLR065C
YDR384C	YNR060W
YDR384C	YBR199W
YDR384C	YPR156C
YDR384C	YMR009W
YNL315C	YBL099W
YNL315C	YDL165W
YJL180C	YLR295C
YJL180C	YBL099W
YJL180C	YHR114W
YLR295C	YBL099W
YLR295C	YMR138W
YLR295C	YIL111W
YLR295C	YHR193C
YLR295C	YIL005W
YLR295C	YLR094C
YLR295C	YJL044C
YLR295C	YGR187C
YLR295C	YNL009W
YLR295C	YKL103C
YLR295C	YJL100W
YLR295C	YBR193C
YLR295C	YIL050W
YLR295C	YJL001W
YLR295C	YJL166W
YLR295C	YJL140W
YLR295C	YDL081C
YLR295C	YLR141W
YLR295C	YGR009C
YLR295C	YML058W
YLR295C	YDR510W
YLR295C	YPR182W
YLR295C	YPL124W
YLR295C	YML034W
YLR295C	YPR086W
YLR295C	YMR039C
YLR295C	YDR007W
YLR295C	YKL080W
YLR295C	YJR102C
YLR295C	YJR133W
YLR295C	YDL233W
YLR295C	YDR319C
YLR295C	YDR445C
YLR295C	YDR455C
YLR295C	YFR017C
YLR295C	YGL010W
YLR295C	YGL250W
