File Name	Fitness Score	Protein Count	Interaction Count
krogan14k_1	0.899171270718232	1056	2393
krogan14k_2	0.8852201257861635	1034	1978
krogan14k_3	0.8758256274768824	1139	2583
krogan14k_4	0.8752380952380953	1213	2856
krogan14k_5	0.8717521652231845	1116	2255
krogan14k_6	0.8711916046039269	1050	2043
krogan14k_7	0.871000680735194	1027	1966
krogan14k_8	0.8701677607585704	1021	2014
krogan14k_9	0.8697360150848523	1215	2887
krogan14k_10	0.8684651474530831	1080	1936
krogan14k_11	0.8679986338797814	1117	2390
krogan14k_12	0.8669491525423729	1075	2323
krogan14k_13	0.8661838790931989	1222	2656
krogan14k_14	0.8644452198185625	1054	2271
krogan14k_15	0.8636209239130435	1077	2168
krogan14k_16	0.8630662020905924	1057	2305
krogan14k_17	0.8623687664041995	1139	2354
krogan14k_18	0.8621336059986366	1060	2089
krogan14k_19	0.8609375	1069	2110
krogan14k_20	0.8595912986156888	1136	2264
krogan14k_21	0.8583106267029973	1115	2229
krogan14k_22	0.8577392421323057	1193	2548
krogan14k_23	0.8569819819819819	1152	2402
krogan14k_24	0.8565600522193212	1140	2563
krogan14k_25	0.8564727954971857	1201	2810
krogan14k_26	0.856081081081081	1098	2307
krogan14k_27	0.8554551772063933	1096	2363
krogan14k_28	0.8551273227804542	1101	2258
krogan14k_29	0.8538121170864533	1107	2329
krogan14k_30	0.8501618122977346	1128	2483
