Q0085	YPR103W
YAL010C	YDR054C
YAL012W	YGL113W
YAL012W	YGR010W
YAL015C	YLR418C
YAL017W	YCR020W-B
YAL017W	YDL100C
YAL017W	YIL071C
YAL017W	YLR150W
YAL017W	YMR237W
YAL019W	YDL147W
YAL019W	YDR381W
YAL019W	YDR448W
YAL019W	YFR052W
YAL019W	YKR071C
YAL019W	YLR027C
YAL019W	YLR418C
YAL019W	YLR429W
YAL019W	YLR435W
YAL019W	YML104C
YAL019W	YOR061W
YAL019W	YPL048W
YAL021C	YBR010W
YAL021C	YBR299W
YAL021C	YCR093W
YAL021C	YDL081C
YAL021C	YDR087C
YAL021C	YDR252W
YAL021C	YEL026W
YAL021C	YER013W
YAL021C	YLR177W
YAL024C	YBL058W
YAL024C	YER162C
YAL027W	YDL014W
YAL027W	YDL147W
YAL027W	YDR341C
YAL027W	YDR381W
YAL027W	YDR507C
YAL027W	YGR237C
YAL027W	YIL095W
YAL027W	YLL018C
YAL027W	YLR429W
YAL027W	YMR078C
YAL027W	YNL106C
YAL027W	YOL077C
YAL027W	YPL004C
YAL027W	YPL146C
YAL027W	YPR169W
YAL027W	YPR171W
YAL028W	YMR186W
YAL032C	YDL043C
YAL032C	YDR074W
YAL032C	YPR101W
YAL034W-A	YDR381W
YAL034W-A	YFR044C
YAL034W-A	YGR032W
YAL034W-A	YMR117C
YAL034W-A	YPL233W
YAL036C	YDR303C
YAL036C	YHL034C
YAL036C	YOR091W
YAL041W	YIL156W
YAL043C	YBL101C
YAL043C	YDL147W
YAL043C	YER133W
YAL043C	YJL052W
YAL043C	YKL059C
YAL043C	YLR303W
YAL043C	YLR442C
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YHR172W
YAL047C	YLR069C
YAL047C	YLR179C
YAL047C	YNL224C
YAL059W	YNR053C
YAL060W	YDR054C
YAL060W	YGL167C
YAL060W	YKR093W
YAL060W	YNL087W
YAR002W	YGR067C
YAR002W	YLR335W
YAR002W	YLR347C
YAR019C	YGR173W
YAR019C	YLR182W
YAR062W	YMR108W
YAR071W	YFR055W
YAR071W	YGL245W
YAR071W	YOR361C
YAR075W	YLR432W
YBL002W	YBR010W
YBL002W	YBR060C
YBL002W	YBR097W
YBL002W	YBR247C
YBL002W	YDL095W
YBL002W	YDR075W
YBL002W	YDR224C
YBL002W	YDR320C
YBL002W	YDR420W
YBL002W	YER060W
YBL002W	YGL207W
YBL002W	YIL043C
YBL002W	YJL001W
YBL002W	YJL042W
YBL002W	YJL109C
YBL002W	YJR010C-A
YBL002W	YJR114W
YBL002W	YKR048C
YBL002W	YLR455W
YBL002W	YML010W
YBL002W	YMR044W
YBL002W	YMR070W
YBL002W	YMR072W
YBL002W	YMR075W
YBL002W	YNL041C
YBL002W	YNL088W
YBL002W	YOL012C
YBL002W	YOL054W
YBL002W	YPR161C
YBL002W	YPR162C
