T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YGR062C	1	1	0	0	0	0	0	0	1	1	1	1
YGL068W	1	1	0	0	0	0	0	0	1	1	1	1
YFR025C	1	1	0	0	0	0	1	1	1	1	1	1
YHR204W	1	0	0	0	0	1	1	1	1	1	1	1
YLR189C	1	1	1	1	1	1	1	1	0	0	0	1
YGL241W	0	1	0	1	1	1	0	0	1	1	1	1
YKR092C	1	1	1	1	1	1	1	1	1	1	1	1
YGL026C	1	0	0	0	1	1	1	1	1	0	1	1
YMR234W	0	1	0	1	1	0	1	1	1	1	1	1
YJR097W	0	0	0	0	1	1	1	1	1	1	1	1
YER089C	1	0	0	1	0	1	1	1	1	1	1	1
YJR080C	1	1	1	0	0	0	0	0	1	1	1	1
YJL199C	1	1	1	1	1	1	1	0	0	0	0	0
YOR025W	1	1	1	1	1	1	0	0	0	0	1	1
YBL101C	1	1	1	1	1	1	1	1	0	0	0	0
YNL134C	0	0	1	1	1	1	1	1	0	0	1	1
YPR152C	1	1	1	1	1	1	1	1	0	0	0	0
YNL239W	1	1	1	1	1	1	1	1	0	0	0	0
YLR050C	1	1	0	1	1	0	1	0	1	1	1	1
YMR127C	0	0	0	0	1	0	1	1	1	1	1	1
YPR055W	1	1	1	1	1	1	1	0	0	0	1	1
YLL005C	1	0	1	1	1	1	0	1	1	1	0	0
YEL022W	1	0	0	0	1	0	1	1	1	1	1	1
YBR267W	0	0	1	1	1	1	1	1	1	1	1	1
YOR321W	1	0	1	1	0	1	1	0	1	1	1	1
YLR033W	1	1	1	0	0	1	0	1	1	0	1	1
YFR029W	1	1	1	0	1	1	1	1	1	0	1	0
YPR030W	1	1	1	1	1	1	1	0	1	1	0	1
YNL242W	1	1	1	1	1	1	1	0	1	1	0	0
YNR043W	1	1	1	1	0	0	0	1	1	0	1	1
YNL230C	0	1	1	1	1	1	1	1	1	0	0	0
YMR289W	1	1	1	1	1	1	0	1	0	1	1	0
YDR263C	1	1	1	0	0	0	0	0	1	1	1	1
YDL197C	1	1	1	1	1	1	1	0	0	1	1	1
YPL116W	1	1	1	1	1	0	0	0	0	1	1	1
YIL050W	1	1	0	1	0	0	1	1	0	1	1	1
YBR081C	0	1	1	1	0	1	1	0	1	1	1	1
YNL175C	1	0	0	1	1	1	1	1	1	1	1	1
YMR021C	1	1	0	0	1	1	1	1	1	0	0	1
YLL035W	0	0	0	1	1	1	1	1	1	1	1	1
YMR116C	1	0	0	0	0	1	1	1	1	1	1	1
YBR189W	0	0	1	1	0	1	1	1	1	1	1	1
YOR219C	1	1	1	1	1	1	1	0	0	1	0	0
YHR084W	1	0	0	0	1	0	1	1	1	1	1	1
YHL014C	1	1	0	0	0	0	1	0	0	1	1	1
YEL051W	1	1	0	1	1	1	1	1	1	1	0	0
YHR156C	1	0	0	1	1	1	1	1	1	0	1	0
YGR094W	1	0	0	0	0	0	1	1	1	1	1	1
YER095W	1	1	1	1	1	1	1	0	0	1	0	0
YCR033W	1	1	1	0	1	0	1	0	1	0	0	1
YLR116W	0	0	1	1	1	1	1	1	1	0	0	0
YNL281W	0	0	0	1	1	1	1	1	1	1	1	1
