YHR047C	YLR148W
YKL112W	YIL035C
YMR072W	YOL004W
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YJR065C
YCR088W	YNL106C
YCR088W	YMR109W
YCR088W	YBL007C
YCR088W	YCR084C
YCR088W	YIR003W
YNR016C	YJR064W
YNR016C	YER179W
YBL015W	YJR035W
YLR304C	YNL192W
YLR304C	YBR136W
YLR304C	YJR035W
YLR304C	YOL006C
YKL192C	YDL239C
YKL192C	YDR084C
YLR153C	YJR091C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YCR012W
YOR128C	YMR236W
YOR128C	YML064C
YOR128C	YBR134W
YOR128C	YPR045C
YOR128C	YPR085C
YMR303C	YDL175C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YDR386W
YMR303C	YHR135C
YMR303C	YFL042C
YMR083W	YLR080W
YMR083W	YML058W
YGL256W	YDL101C
YGL256W	YJR035W
YBR145W	YDR499W
YBR145W	YMR047C
YCR011C	YNL154C
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YML042W
YDL239C	YLR098C
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YAL042W
YDL239C	YDR148C
YDL239C	YAR018C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YOL091W
YDL239C	YCL032W
YDL239C	YGR268C
YDL239C	YKL023W
YDL239C	YLR072W
YDL239C	YOR324C
YLR397C	YPR017C
YLR397C	YJR091C
YLR397C	YMR047C
YLR397C	YAR044W
YER017C	YKR066C
YER017C	YBR034C
YFL055W	YOR076C
YLR109W	YKL011C
YLR109W	YMR022W
YLR109W	YNL312W
YLR109W	YDR369C
YLR109W	YJL141C
YLR109W	YHR135C
YDL175C	YJL124C
YDL175C	YGR165W
YDL175C	YPR191W
YDL175C	YMR125W
YBR059C	YJL039C
YBR059C	YCL032W
YBR059C	YER144C
YBR059C	YMR144W
YOR374W	YHR026W
YER073W	YGL181W
YER073W	YPR086W
YER073W	YPL257W
YNL148C	YJR064W
YNL148C	YML085C
YNL148C	YML124C
YGL021W	YLL015W
YGL021W	YLR133W
YFL050C	YLR453C
YGR225W	YKL022C
YBR211C	YOR269W
YGL156W	YKL103C
YPR128C	YAR027W
YPR128C	YGL114W
YBR231C	YNR030W
YBR231C	YJR091C
YPR180W	YDR390C
YNL172W	YLR127C
YNL172W	YKL022C
YNL172W	YFR036W
YNL172W	YBL084C
YNL172W	YHR135C
YLR127C	YLR102C
YLR127C	YKL022C
YLR127C	YFR036W
YLR127C	YBL084C
YLR127C	YER179W
YLR102C	YKL022C
YLR102C	YNL176C
YKL157W	YJL078C
YLL042C	YJR091C
YMR159C	YPL149W
YMR159C	YGR097W
YMR159C	YLR288C
YMR159C	YPL070W
YMR159C	YML064C
YPL149W	YJL167W
YHR171W	YNR007C
YHR171W	YOR191W
YKL135C	YGL206C
YKL135C	YBL025W
YBR043C	YGR157W
YBR043C	YJL155C
YIL062C	YKL013C
YIL062C	YDL029W
YIL062C	YJR065C
YKL013C	YDL029W
YKL013C	YJR065C
YKL013C	YKL129C
YKL013C	YMR109W
YNR019W	YOR381W
YNR019W	YDL006W
YDL137W	YDR007W
YNL020C	YGR241C
YNL020C	YDR259C
YHL047C	YHR133C
YHR137W	YBR198C
YHR137W	YDR092W
YHR137W	YMR152W
YDL029W	YJR065C
YDL029W	YBR039W
YDL029W	YNL271C
YDL029W	YJR064W
YDL029W	YJL008C
YDL029W	YBR202W
YDL029W	YPR019W
YDL029W	YKL104C
YDL029W	YOR181W
YDL029W	YKL129C
YDL029W	YMR109W
YDL029W	YPR178W
YDL029W	YDR032C
YDL029W	YOR259C
YDL029W	YDR190C
YDL029W	YHR030C
YDL029W	YKL211C
YJR065C	YOR181W
YJR065C	YMR109W
YJR065C	YNR053C
YJR065C	YPR086W
YJL081C	YGL237C
YJL081C	YDR225W
YJL081C	YDL002C
YJL081C	YDR146C
YOR141C	YDL002C
YDL100C	YHR057C
YDL100C	YML101C
YDL100C	YML048W
YDL100C	YOL126C
YDL100C	YKL062W
YDL100C	YNL055C
YDL100C	YIL162W
YDL100C	YDR513W
YDL100C	YDR259C
YDL100C	YDL121C
YDL100C	YDR431W
YDL100C	YOL111C
YDL100C	YOR164C
YLR242C	YDR414C
YGR097W	YKL116C
YKL052C	YDR016C
YKL052C	YLR288C
YPR049C	YGR113W
YBR128C	YPL120W
YLR423C	YMR068W
YLR423C	YDR022C
YLR423C	YMR025W
YLR423C	YGR113W
YLR423C	YDR052C
YLR423C	YNL230C
YLR423C	YBR102C
YLR423C	YGL237C
YLR423C	YMR032W
YLR423C	YDR148C
YLR423C	YDR383C
YLR423C	YJL041W
YLR423C	YGR119C
YLR423C	YOR158W
YLR423C	YAL032C
YLR423C	YJL036W
YLR423C	YMR017W
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YDR259C
YLR423C	YCL063W
YLR423C	YOR164C
YFR021W	YNL242W
YFR021W	YGL190C
YFR021W	YLR094C
YFR021W	YJR140C
YFR021W	YER162C
YFR021W	YHR103W
YFR021W	YCL063W
YFR021W	YML059C
YDL113C	YBL025W
YDL113C	YJL036W
YLR189C	YBL038W
YNR007C	YMR047C
YNL223W	YML085C
YDR384C	YNR060W
YDR384C	YBR199W
YDR384C	YPR156C
YDR384C	YMR009W
YPL271W	YJR121W
YPL271W	YJR091C
YDL004W	YJR121W
YDR377W	YJR121W
YDR377W	YPL078C
YDR377W	YKL016C
YPR020W	YJR121W
YPR020W	YPR194C
YPR020W	YPR086W
YJR121W	YBR039W
YJR121W	YPL078C
YJR121W	YKL016C
YJR121W	Q0130
YJR121W	YLR453C
YBR039W	YFR028C
YBR039W	YDL145C
YBR039W	YGL237C
YBR039W	YML058W
YBR039W	YOL087C
YKL016C	YFR028C
YMR068W	YKL203C
YMR068W	YGL250W
YMR068W	YNL047C
YOR134W	YDR192C
YBR068C	YDR046C
YBR068C	YBL089W
YBR068C	YJR001W
YDR046C	YJR010C-A
YLR399C	YOR338W
YKR068C	YMR218C
YKR068C	YDR246W
YNR056C	YDR456W
YJR025C	YLR288C
YNL271C	YDL126C
YNL271C	YMR032W
YNL271C	YKL129C
YNL271C	YMR109W
YLR078C	YDL145C
YLR078C	YMR047C
YLR078C	YMR257C
YLR078C	YMR297W
YLR078C	YFR051C
YLR078C	YPL218W
YLR078C	YNL287W
YLR078C	YLR268W
YLR078C	YPR181C
YLR078C	YDR238C
YLR078C	YBL007C
YLR078C	YIL162W
YLR078C	YFL038C
YLL015W	YDL138W
YLL015W	YLL023C
YPL084W	YJL124C
YMR014W	YOR264W
YKL092C	YPL095C
YCR063W	YHR165C
YDR423C	YMR047C
YKL007W	YER071C
YKL007W	YIR003W
YPL111W	YKL104C
YPL111W	YBR011C
YPL111W	YGR136W
YPL111W	YKL085W
YPL111W	YMR235C
YPL111W	YML064C
YML042W	YJR091C
YML042W	YDR244W
YJR060W	YKL089W
YHL038C	YDL213C
YKL011C	YBR278W
YKL011C	YDL101C
YKL011C	YGL121C
YKL011C	YEL024W
YKL011C	YGR184C
YKL011C	YHR033W
YPR025C	YOR173W
YPR025C	YKR086W
YKR066C	YJR048W
YIL142W	YGL190C
YIL142W	YGL003C
YIL142W	YJL106W
YIL142W	YDR142C
YIL142W	YNL317W
YIL142W	YBR198C
YJR064W	YGL190C
YJR064W	YDR142C
YJR064W	YNL317W
YJR064W	YBR198C
YJL008C	YAL041W
YJL008C	YOR117W
YFR028C	YGL003C
YFR028C	YJR091C
YFR028C	YGL115W
YFR028C	YML064C
YFR028C	YDR453C
YFR028C	YGR094W
YKL022C	YFR036W
YKL022C	YBL084C
YKL022C	YGL003C
YKL022C	YDR386W
