YFL056C	YOL018C
YNL141W	YBR280C
YNL141W	YKL086W
YHR047C	YLR148W
YLR027C	YLR314C
YKL112W	YIL035C
YKL112W	YGL019W
YKL112W	YOR039W
YMR072W	YOL004W
YNR016C	YER179W
YNR016C	YDR398W
YLR144C	YDR388W
YLR144C	YHR016C
YBL015W	YJR035W
YKL192C	YDL239C
YKL192C	YPL163C
YDR448W	YDR216W
YDR448W	YGR252W
YDR448W	YFL031W
YDR448W	YOL135C
YDR448W	YDR176W
YDR448W	YBR081C
YDR448W	YMR236W
YLR028C	YLR373C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YGL154C
YOR128C	YPL169C
YOR128C	YPR054W
YOR128C	YMR236W
YOR128C	YBR134W
YOR128C	YDR271C
YOR128C	YPR045C
YOR128C	YPR085C
YCR011C	YPR079W
YDR216W	YGR252W
YDR216W	YOL133W
YDR216W	YPR086W
YDL239C	YML042W
YDL239C	YBR160W
YDL239C	YPL049C
YDL239C	YAL042W
YDL239C	YBR072W
YDL239C	YDR148C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YDR176W
YDL239C	YDL030W
YDL239C	YOL091W
YDL239C	YCL032W
YDL239C	YAL028W
YDL239C	YKL023W
YDL239C	YOR324C
YER017C	YBR034C
YFL055W	YOR076C
YDR214W	YKL011C
YDR214W	YJL030W
YDR214W	YDL200C
YDR214W	YDL059C
YDR214W	YOR212W
YLR109W	YKL011C
YLR109W	YDL200C
YLR109W	YMR022W
YLR109W	YDR369C
YDL175C	YJL124C
YDL175C	YPL093W
YDL175C	YDR432W
YDL175C	YPR191W
YDL175C	YMR125W
YDR264C	YOR212W
YDR264C	YDR103W
YOR374W	YLR447C
YNL048W	YKL065C
YNL048W	YPR028W
YNL048W	YBR054W
YGL065C	YER103W
YBR243C	YML075C
YFL050C	YLR453C
YBR211C	YBR107C
YBR231C	YJR091C
YNL172W	YDR118W
YNL172W	YFR036W
YDR118W	YFR036W
YKL157W	YMR307W
YKL157W	YPR168W
YHR171W	YOR191W
YHR171W	YMR183C
YHR171W	YNL212W
YJR005W	YOL062C
YKL135C	YPR029C
YKL135C	YLR170C
YKL135C	YGL206C
YKL135C	YBL025W
YPR029C	YLR170C
YPR029C	YFR043C
YPL195W	YGR261C
YPL195W	YGL019W
YGR261C	YHR174W
YOL062C	YFL045C
YOL062C	YFR049W
YJL075C	YNL157W
YBR043C	YGR074W
YPR192W	YFL062W
YPR192W	YKL065C
YIL062C	YBR234C
YIL062C	YJR065C
YGL105W	YGR264C
YGL105W	YML095C
YBR234C	YJR065C
YBR234C	YKL129C
YBR234C	YMR109W
YBR234C	YML069W
YBR234C	YLR453C
YHR013C	YMR116C
YHR013C	YDL040C
YDL192W	YLR078C
YDL192W	YKL011C
YDL192W	YMR094W
YDL192W	YDL200C
YDL192W	YDR477W
YOL058W	YBR160W
YOL058W	YDR388W
YDR380W	YDR038C
YDR127W	YKL104C
YDR127W	YOR136W
YDR127W	YHR082C
YDR127W	YJR022W
YDR127W	YGR234W
YBR249C	YOR050C
YBR249C	YPL150W
YDR421W	YDL030W
YDR106W	YHR129C
YDR106W	YLR222C
YHR129C	YMR294W
YHR129C	YJR091C
YHR129C	YER100W
YHR129C	YJR008W
YJR065C	YMR109W
YJR065C	YPR086W
YJL081C	YGL237C
YJL081C	YBR010W
YJL081C	YDR225W
YPR201W	YGR174C
YPR201W	YGL200C
YPR201W	YDR039C
YPR201W	YPR079W
YMR116C	YDL040C
YKL185W	YBR160W
YNL008C	YCR098C
YNL008C	YJR091C
YNL008C	YBR298C
YNL008C	YNL260C
YKL052C	YDR016C
YKL052C	YKR083C
YKL052C	YMR077C
YER101C	YBL050W
YOR377W	YHR178W
YPR049C	YGL180W
YPR185W	YGL180W
YPR185W	YGR253C
YPR185W	YNL086W
YBR128C	YHR005C
YBR128C	YDL185W
YFR021W	YGL190C
YFR021W	YLR094C
YFR021W	YDR034C
YFR021W	YER162C
YFR021W	YLR222C
YDL113C	YBR160W
YDL113C	YLR191W
YDL113C	YBL025W
YDL113C	YJL036W
YDL113C	YLR424W
YDR384C	YNR060W
YDR384C	YBR199W
YDR384C	YMR009W
YPL271W	YJR091C
YDR298C	YFR028C
YKL004W	YFL062W
YKL004W	YJL196C
YKL004W	YBR044C
YCL038C	YHR178W
YCL038C	YMR009W
YCL038C	YBR054W
YIL140W	YBR160W
YIL140W	YJL129C
YGR224W	YLR080W
YGR224W	YKL020C
YBR068C	YBL089W
YBR068C	YJR001W
YJR148W	YHR152W
YJL020C	YPR184W
YJL020C	YOL133W
YJL020C	YKL129C
YJL020C	YMR109W
YJL020C	YBL105C
YJL020C	YDR409W
YJL020C	YGR048W
YJL020C	YDL129W
YJL020C	YIR003W
YER167W	YBR160W
YLR399C	YDR328C
YLR399C	YOR338W
YJL031C	YCR041W
YNR056C	YDR456W
YNL271C	YBR160W
YNL271C	YDL126C
YNL271C	YKL129C
YNL271C	YMR109W
YPL221W	YBR012C
YLR267W	YDR328C
YNL042W	YBR160W
YLR078C	YMR257C
YLR078C	YPR181C
YLR078C	YIL076W
YLR078C	YLR026C
YLR078C	YBL007C
YLR078C	YIL162W
YLL015W	YJR022W
YLL015W	YDL138W
YFL025C	YGL053W
YGL174W	YMR012W
YGL174W	YIR005W
YGL174W	YLR016C
YLR074C	YLL050C
YLR074C	YDR036C
YLR074C	YDR225W
YLR074C	YEL034W
YLR074C	YPL093W
YLR074C	YGR103W
YLR074C	YHR197W
YLR074C	YNL002C
YLR074C	YPR016C
YLR074C	YIR003W
YJR092W	YBR160W
YLR353W	YBR027C
YNL278W	YBR160W
YGR134W	YAL021C
YGR134W	YCR093W
YGR134W	YNR052C
YFL028C	YAL021C
YFL028C	YDR443C
YLR438W	YPL204W
YLR438W	YIR005W
YLR438W	YLL019C
YLR438W	YLR328W
YLR438W	YGR010W
YLR438W	YHL025W
YLR438W	YPL150W
YML042W	YGL187C
YML042W	YJR091C
YML042W	YNL046W
YPL178W	YDR034C
YPL178W	YPL190C
YPL178W	YML117W
YPL178W	YHR086W
YPL178W	YDR432W
YPL178W	YNL251C
YPL178W	YML049C
YPL178W	YLR275W
YPL178W	YMR125W
YHL038C	YDL213C
YGR174C	YDL054C
YGR174C	YLL028W
YKL208W	YPR086W
YKL011C	YHR183W
YKL011C	YGL121C
YKL011C	YBR010W
YKL011C	YMR201C
YKL011C	YGR184C
YKL011C	YHR033W
YAL021C	YDR188W
YAL021C	YCR093W
YAL021C	YGL195W
YAL021C	YGR086C
YAL021C	YNR052C
YAL021C	YCL028W
YAL021C	YDR443C
YAL021C	YPL042C
YAL021C	YNL025C
YAL021C	YOR027W
YAL021C	YGR184C
YDR188W	YGL190C
YDR188W	YDR142C
YDR188W	YNL317W
YDR188W	YDR030C
YDR188W	YOR212W
YDR188W	YMR028W
YDR188W	YOR229W
YHR107C	YLR314C
YHR107C	YHR044C
YHR107C	YDR309C
YHR107C	YDR507C
YHR107C	YFL045C
YHR107C	YBR130C
YHR107C	YLR147C
YHR107C	YIL144W
YFR028C	YOR032C
YFR028C	YJR091C
YFR028C	YGL115W
YFR028C	YBR126C
YGL116W	YBR160W
YGL116W	YGL086W
YGL116W	YJL030W
YGL116W	YDR113C
YOR074C	YPL093W
YOR074C	YPR086W
YLR310C	YJL005W
YLR310C	YPL204W
YLR310C	YNL098C
YLR310C	YMR139W
YLR310C	YBR130C
YLR310C	YLL017W
YFR036W	YJR091C
YBR160W	YBR038W
YBR160W	YBR135W
YBR160W	YDL155W
YBR160W	YLR210W
YBR160W	YAL040C
YBR160W	YMR012W
YBR160W	YPR030W
YBR160W	YLR394W
YBR160W	YOR037W
YBR160W	YPR111W
YBR160W	YBR102C
YBR160W	YDR130C
YBR160W	YBL013W
YBR160W	YAL031C
YBR160W	YOR178C
YBR160W	YDR507C
YBR160W	YJR090C
YBR160W	YFR015C
YBR160W	YCR065W
YBR160W	YBR138C
YBR160W	YJL092W
YBR160W	YPL250C
YBR160W	YLR223C
YBR160W	YJR091C
YBR160W	YPR141C
YBR160W	YPL155C
YBR160W	YAL024C
YBR160W	YKR095W
YBR160W	YIL106W
YBR160W	YGL124C
YBR160W	YGL075C
YBR160W	YLR219W
YBR160W	YDR097C
YBR160W	YPL070W
YBR160W	YKL129C
YBR160W	YML065W
YBR160W	YHR118C
YBR160W	YER129W
YBR160W	YDR113C
YBR160W	YKL043W
YBR160W	YDL106C
YBR160W	YOR104W
YBR160W	YBL105C
YBR160W	YOL100W
YBR160W	YDR501W
YBR160W	YIL122W
YBR160W	YJR059W
YBR160W	YJR033C
YBR160W	YER120W
YBR160W	YLL003W
YBR160W	YLR079W
YBR160W	YNL257C
YBR160W	YKR091W
YBR160W	YLR006C
YBR160W	YJL187C
YBR160W	YLR425W
YBR160W	YAL028W
YBR160W	YDL025C
YBR160W	YDR223W
YBR160W	YFR046C
YBR160W	YGR035C
YBR160W	YHL035C
YBR160W	YHL050C
YBR160W	YJR054W
YBR160W	YKR078W
YBR160W	YKR089C
YBR160W	YLR190W
YBR160W	YLR401C
YBR160W	YML119W
YBR160W	YNL058C
YBR160W	YNL321W
YBR160W	YOL036W
YBR160W	YOL070C
YBR160W	YOR315W
YBR160W	YPL267W
YBR160W	YGR270W
YDR054C	YOL133W
YDR054C	YDR328C
YDR054C	YIL148W
YDR168W	YOR027W
YCR093W	YOL133W
YCR093W	YNR052C
YCR093W	YDR443C
YCR093W	YPL042C
YCR093W	YNL025C
YCR093W	YML015C
YCR093W	YOR110W
YLR314C	YDR507C
YLR314C	YDR409W
YDL126C	YBR170C
YDL126C	YBL058W
YDL126C	YIL148W
YDL126C	YGR048W
YCR094W	YJR091C
YGL190C	YMR109W
YGL190C	YDL134C
YGL190C	YDL188C
YGL190C	YLR373C
YGL190C	YHR033W
YGL190C	YDR381W
YGL190C	YMR273C
YDL164C	YLR276C
YDL164C	YHR178W
YDL164C	YOR378W
YLR245C	YPL070W
YMR213W	YLR117C
YMR213W	YGL128C
YMR213W	YAL032C
YMR213W	YML049C
YMR213W	YLR275W
YGL130W	YMR012W
YGL130W	YBR221C
YGL130W	YER103W
YDR301W	YLR115W
YDR301W	YKL059C
YDR301W	YNL317W
YDR301W	YAL043C
YDR301W	YDR195W
YDR301W	YMR061W
YDR301W	YKL018W
YDR301W	YPR107C
YLR115W	YKL059C
YLR115W	YNL317W
YLR115W	YAL043C
YLR115W	YDR195W
YLR115W	YMR061W
YLR115W	YKL018W
YLR115W	YHL035C
YLR115W	YPR107C
YGL206C	YBR169C
YGL206C	YDR320C
YGL206C	YHR161C
YER026C	YLR214W
YER026C	YMR153W
YER026C	YJR010C-A
YER026C	YEL002C
YER026C	YDR307W
YJL099W	YJR091C
YJL099W	YLR424W
YOR028C	YGL154C
YOR028C	YLR373C
YOR028C	YLR447C
YOR028C	YNL092W
YEL061C	YOL069W
YEL061C	YLR453C
YEL061C	YLR454W
YDR022C	YGL237C
YCR005C	YJL042W
YIL035C	YGL019W
YIL035C	YOR039W
YIL035C	YNL112W
YIL035C	YML074C
YIL035C	YBR010W
YIL035C	YMR172W
YIL035C	YDR225W
YIL035C	YNL132W
YIL035C	YPL093W
YIL035C	YGR103W
YIL035C	YCL043C
YIL035C	YML069W
YIL035C	YLR403W
YIL035C	YOL004W
YIL035C	YGL115W
YIL035C	YER161C
YIL035C	YPR016C
YIL035C	YGL104C
YIL035C	YOR229W
YIL035C	YER084W
YIL035C	YHL035C
YIL035C	YPL110C
YIL035C	YDR381W
YGL019W	YOR039W
YGL019W	YOL004W
YGL019W	YGL115W
YGL019W	YER161C
YGL019W	YGR068C
YOR039W	YGL254W
YOR039W	YMR172W
YOR039W	YPL093W
YOR039W	YGR103W
YOR039W	YER103W
YOR039W	YOR302W
YOR039W	YGR270W
YBR135W	YDL155W
YBR135W	YLR210W
YBR135W	YOR080W
YBR135W	YEL034W
YBR135W	YLR079W
YBR135W	YKR091W
YBR135W	YAR027W
YDL155W	YDR034C
YLR117C	YMR240C
YLR117C	YAL032C
YLR117C	YML049C
YLR117C	YBL050W
YGL215W	YPL031C
YAL040C	YJR132W
YAL040C	YNL064C
YMR012W	YAL036C
YMR012W	YDR148C
YMR012W	YBR136W
YMR012W	YDL043C
YMR012W	YIR001C
YMR012W	YDR266C
YMR012W	YGR067C
YOL016C	YOR007C
YML057W	YKL190W
YML057W	YHR082C
YML057W	YPR108W
YML057W	YNL047C
YLL050C	YJL005W
YLL050C	YOR080W
YLL050C	YGL195W
YLL050C	YJR090C
YLL050C	YLR059C
YLL050C	YLR453C
YLL050C	YGL179C
YGL223C	YDR034C
YGL223C	YLR026C
YML110C	YGL115W
YNR075W	YML123C
YNR075W	YJR001W
YNL336W	YNL130C
YBR302C	YML129C
YBR302C	YDR311W
YBR302C	YLL028W
YBR302C	YOR192C
YBR302C	YPL105C
YBR302C	YBR054W
YFL062W	YCR075C
YFL062W	YMR306W
YFL062W	YML048W
YFL062W	YDR307W
YFL062W	YGL042C
YFL062W	YJL059W
YML129C	YOR110W
YIL111W	YAR027W
YHR057C	YJR091C
YHR057C	YLR373C
YHR057C	YKL023W
YNL130C	YGL200C
YNL130C	YHR110W
YNL130C	YNL125C
YNL130C	YER039C
YNL130C	YIL114C
YOR100C	YBR195C
YNL232W	YDL111C
YNL232W	YDR280W
YNL232W	YOR076C
YNL232W	YIR035C
YPL200W	YOR035C
YLR394W	YDR004W
YLR394W	YGL249W
YMR094W	YDR034C
YMR094W	YDR328C
YLR381W	YBR107C
YLR381W	YAR035W
YMR264W	YBR298C
YMR264W	YLR018C
YMR264W	YJR010C-A
YMR264W	YOR045W
YMR264W	YLL028W
YMR264W	YAR027W
YMR264W	YGL104C
YMR264W	YEL002C
YML101C	YJR102C
YGR003W	YOL133W
YGR003W	YLR297W
YHR053C	YKL023W
YGL166W	YLL028W
YGL166W	YJL154C
YGL166W	YOR220W
YPL177C	YGR184C
YMR240C	YBR112C
YMR240C	YGL035C
YMR240C	YDL043C
YMR240C	YDL030W
YMR240C	YML049C
YMR240C	YLR147C
YMR240C	YPR182W
YMR240C	YBR152W
YMR240C	YMR125W
YOL082W	YDR122W
YOL082W	YKL103C
YOL082W	YPL070W
YOL082W	YDR311W
YOL082W	YDR207C
YOL082W	YFR049W
YGL128C	YAL032C
YOR037W	YPR086W
YOR037W	YDL199C
YEL039C	YHR195W
YBR112C	YGL035C
YBR112C	YDR043C
YJL005W	YNL098C
YJL005W	YJL026W
YDR016C	YKR083C
YDR016C	YKR037C
YKR083C	YBR137W
YIR032C	YBR126C
YKR034W	YNL021W
YKR034W	YLR376C
YKR034W	YER047C
YKR034W	YJR066W
YNL314W	YJR066W
YLR037C	YJR091C
YLR037C	YKL130C
YPR111W	YPR160W
YPR111W	YOR136W
YPR111W	YIL106W
YNL112W	YBL032W
YOR046C	YIL115C
YOR046C	YBR027C
YLR276C	YBR269C
YHR144C	YPL070W
YNL118C	YKR054C
YNL118C	YEL015W
YNL118C	YPR160W
YNL118C	YPL204W
YNL118C	YGL173C
YNL118C	YJL124C
YNL118C	YJR022W
YNL118C	YGL014W
YNL118C	YML091C
YNL118C	YKR031C
YNL118C	YCR076C
YNL118C	YIR014W
YNL118C	YJR023C
YNL118C	YKL133C
YOR173W	YHR152W
YER143W	YIL148W
YER143W	YJR141W
YOR080W	YML074C
YOR080W	YNL132W
YOR080W	YKL176C
YOR080W	YBL023C
YOR080W	YPL012W
YOR080W	YDR328C
YOR080W	YPR016C
YPL049C	YDR480W
YPL049C	YBL017C
YPL049C	YFR049W
YPL265W	YCR098C
YPL265W	YLR222C
YER179W	YBR073W
YER179W	YCR027C
YER179W	YOR191W
YER179W	YNL013C
YOR005C	YDR225W
YOR005C	YIL125W
YOR005C	YGR103W
YOR005C	YPR016C
YOR005C	YDR198C
YOR005C	YPL110C
YDR069C	YBR221C
YDR069C	YBL064C
YDR069C	YAR003W
YER088C	YDL076C
YLR172C	YJR091C
YDR284C	YBR298C
YDR284C	YPR079W
YDR284C	YPL147W
YER124C	YEL015W
YOR264W	YFL013C
YOR264W	YBR193C
YOR264W	YIR009W
YOR264W	YOL043C
YOR264W	YGL220W
YOR264W	YJL055W
YOR264W	YJL215C
YOR264W	YKL146W
YOR264W	YOR324C
YBR208C	YOL133W
YBR208C	YBR221C
YKR054C	YDL181W
YPR023C	YDL138W
YPR023C	YOL004W
YLR284C	YPL070W
YHR132C	YLR447C
YBL001C	YER067W
YHL030W	YOL133W
YHL030W	YNL132W
YHL030W	YBL056W
YHL030W	YFR052W
YHL030W	YOR261C
YHL030W	YDR388W
YHL030W	YDL052C
YLR436C	YDR388W
YLR436C	YMR304W
YEL015W	YPL204W
YEL015W	YGL173C
YEL015W	YJR022W
YEL015W	YLR082C
YBL047C	YPL204W
YBL047C	YPL153C
YBL047C	YNL243W
YBL047C	YOL087C
YNL327W	YIL148W
YDR036C	YPL118W
YDR036C	YMR188C
YDR036C	YNL137C
YNL230C	YPL001W
YNL230C	YJR091C
YNL230C	YNL132W
YNL230C	YPL093W
YNL230C	YGR103W
YNL230C	YGR086C
YNL230C	YPL012W
YNL230C	YLR136C
YNL230C	YER077C
YNL230C	YDR381W
YJL196C	YHR110W
YJL196C	YGL053W
YJL196C	YJR010C-A
YJL196C	YDL015C
YJL196C	YDR307W
YJL196C	YKL065C
YJL196C	YNL044W
YJL196C	YPR028W
YGL200C	YHR110W
YGL200C	YML012W
YGL200C	YML048W
YGL200C	YLR208W
YGL200C	YPR181C
YGL200C	YBR069C
YGL200C	YDL015C
YGL200C	YDL210W
YGL200C	YKL065C
YGL200C	YGL051W
YLR080W	YFL048C
YFL048C	YKL065C
