YMR056C	YNR056C
YBR085W	YGL237C
YBR085W	YHR002W
YFL056C	YOL018C
YNL141W	YBR280C
YNL141W	YKL086W
YHR047C	YLR148W
YJR108W	YHR114W
YNR016C	YER179W
YLR131C	YDR295C
YLR131C	YPR086W
YLR131C	YMR304W
YLR131C	YNL157W
YBL015W	YJR068W
YBL015W	YMR059W
YLR304C	YNL192W
YLR304C	YDR480W
YLR304C	YOR005C
YLR304C	YMR049C
YLR304C	YBR136W
YLR304C	YMR059W
YLR304C	YIL007C
YLR304C	YLR262C
YKL192C	YDL239C
YKL192C	YDR084C
YAL054C	YLR049C
YFL039C	YBR200W
YFL039C	YNL271C
YFL039C	YLL050C
YFL039C	YJL005W
YFL039C	YML126C
YFL039C	YCL040W
YFL039C	YPL242C
YFL039C	YHR023W
YFL039C	YDL002C
YFL039C	YOR122C
YFL039C	YER125W
YFL039C	YDR388W
YFL039C	YDR129C
YFL039C	YNL243W
YFL039C	YNL138W
YFL039C	YNL079C
YFL039C	YGR080W
YFL039C	YEL013W
YFL039C	YLR337C
YMR303C	YLR074C
YMR303C	YLR216C
YMR303C	YDR386W
YCR011C	YBR290W
YCR011C	YBR159W
YCR010C	YFL055W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YLR098C
YDL239C	YNL225C
YDL239C	YBR072W
YDL239C	YOR284W
YDL239C	YDR148C
YDL239C	YDL030W
YDL239C	YOL091W
YDL239C	YCL032W
YDL239C	YKL023W
YDL239C	YLR072W
YDL239C	YOR324C
YDR085C	YBL085W
YDR085C	YPL242C
YDR085C	YMR059W
YOR023C	YNL118C
YOR023C	YDL030W
YOR023C	YJL187C
YOR023C	YLR424W
YLR109W	YKL011C
YLR109W	YDL200C
YLR109W	YMR059W
YLR109W	YDR369C
YDR264C	YPL242C
YOR034C	YHR105W
YOR374W	YHR026W
YNL148C	YML124C
YOR067C	YNL130C
YBR158W	YGR163W
YPR128C	YMR306W
YPR128C	YNL121C
YBR231C	YNR030W
YBR231C	YJR091C
YBR231C	YGL070C
YPR180W	YJL001W
YPR180W	YDR510W
YPR180W	YDR390C
YDR530C	YLR295C
YLR127C	YDR118W
YLR127C	YOR249C
YLR127C	YLR102C
YLR127C	YKL022C
YLR127C	YFR036W
YLR127C	YER179W
YDR118W	YOR249C
YDR118W	YLR102C
YDR118W	YFR036W
YOR249C	YLR102C
YOR249C	YKL022C
YOR249C	YFR036W
YLR102C	YKL022C
YLR102C	YML092C
YLL042C	YJR091C
YPL149W	YJL167W
YJR005W	YBL037W
YJR005W	YOL062C
YBL037W	YOL062C
YBL037W	YNL118C
YHL019C	YBR019C
YJL075C	YDL100C
YJL075C	YNL157W
YBR043C	YGR157W
YBR043C	YJL155C
YBR043C	YGR074W
YPR192W	YFL062W
YPR192W	YPL189W
YPR192W	YPR156C
YPR192W	YKL065C
YBR149W	YBR055C
YKL013C	YNR035C
YKL013C	YJR065C
YKL013C	YKL129C
YKL013C	YDR063W
YNR035C	YJR065C
YNR035C	YHR114W
YNR035C	YGL208W
YOL058W	YDR388W
YNL020C	YGR241C
YNL020C	YDR259C
YDR380W	YOR382W
YDR421W	YDL030W
YHR137W	YBR198C
YHR137W	YMR152W
YDR106W	YLR222C
YJR065C	YPR086W
YLR085C	YDL237W
YOR141C	YDL002C
YDL100C	YHR114W
YDL100C	YHR057C
YDL100C	YDR304C
YDL100C	YPR037C
YDL100C	YML048W
YDL100C	YJL153C
YDL100C	YOL126C
YDL100C	YHL004W
YDL100C	YKL062W
YDL100C	YIL162W
YDL100C	YDR513W
YDL100C	YDR259C
YDL100C	YKR100C
YDL100C	YOL111C
YLR242C	YBR023C
YLR242C	YHR007C
YJL170C	YER153C
YJL170C	YGL070C
YNL008C	YJR091C
YNL008C	YBR298C
YNL008C	YNL083W
YNL008C	YNL260C
YKL052C	YDR016C
YKL052C	YMR077C
YLR155C	YLR295C
YLR155C	YNL070W
YER101C	YBL050W
YPR185W	YEL013W
YLR423C	YMR068W
YLR423C	YDR022C
YLR423C	YPR105C
YLR423C	YMR025W
YLR423C	YDR052C
YLR423C	YGL237C
YLR423C	YPR179C
YLR423C	YMR032W
YLR423C	YDR148C
YLR423C	YHL004W
YLR423C	YHR023W
YLR423C	YPL174C
YLR423C	YJL041W
YLR423C	YGR119C
YLR423C	YOR158W
YLR423C	YAL032C
YLR423C	YNL090W
YLR423C	YJL036W
YLR423C	YKR037C
YLR423C	YBL106C
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YGL212W
YLR423C	YDR259C
YLR423C	YKL050C
YLR423C	YLL049W
YLR423C	YMR204C
YLR423C	YPL159C
YDL113C	YPL174C
YDL113C	YLR191W
YDL113C	YBL025W
YDL113C	YJL036W
YDL113C	YLR424W
YNR007C	YBL078C
YNR007C	YHR114W
YNR007C	YMR047C
YNL223W	YBL078C
YNL223W	YAR019C
YNL223W	YFL037W
YDL149W	YKL064W
YDR384C	YBR199W
YDR384C	YPR156C
YDR384C	YMR009W
YLR295C	YIL004C
YLR295C	YJL058C
YLR295C	YLR215C
YLR295C	YDL045C
YLR295C	YLR094C
YLR295C	YML121W
YLR295C	YJL044C
YLR295C	YNL009W
YLR295C	YJL100W
YLR295C	YNL328C
YLR295C	YBR193C
YLR295C	YIL050W
YLR295C	YKL127W
YLR295C	YJL001W
YLR295C	YJL140W
YLR295C	YLR141W
YLR295C	YER116C
YLR295C	YDR510W
YLR295C	YIL143C
YLR295C	YPR086W
YLR295C	YJR009C
YLR295C	YDR007W
YLR295C	YKL080W
YLR295C	YJR102C
YLR295C	YML007W
YLR295C	YAR060C
YLR295C	YDL172C
YLR295C	YDL233W
YLR295C	YDR319C
YLR295C	YDR455C
YLR295C	YFR017C
YLR295C	YFR043C
YLR295C	YGL010W
YLR295C	YGR035C
YLR295C	YGR122W
YLR295C	YHR138C
YLR295C	YIL059C
YLR295C	YIL110W
YLR295C	YMR152W
YLR295C	YIR036C
YLR295C	YJL067W
YLR295C	YJR037W
YLR295C	YJR083C
YLR295C	YJR120W
YLR295C	YJR141W
YLR295C	YKL088W
YLR295C	YLR455W
YLR295C	YMR141C
YLR295C	YMR181C
YLR295C	YNL205C
YLR295C	YOL050C
YLR295C	YOR324C
YLR295C	YPR118W
YPL271W	YJR091C
YDR377W	YML081C-A
YDR377W	YPL078C
YDR377W	YKL016C
YML081C-A	YKL016C
YPL078C	YER100W
YDR298C	YKL016C
YDR298C	YFR028C
YKL016C	YFR028C
YBL078C	YIL004C
YBL078C	YOR100C
YBL078C	YOR106W
YMR068W	YNL006W
YMR068W	YKL203C
YMR068W	YIL105C
YMR068W	YNL047C
YIL140W	YDR468C
YGR224W	YKL020C
YBR068C	YJR001W
YJR148W	YHR152W
YER167W	YOL108C
YLR399C	YOR338W
YBR200W	YBL085W
YBR200W	YJL187C
YBR200W	YEL043W
YPL161C	YHR061C
YPL161C	YDR309C
YPL161C	YNL090W
YPL161C	YGL126W
YPL161C	YIL163C
YPL161C	YLR049C
YIL004C	YFR051C
YIL004C	YPL218W
YIL004C	YIL109C
YIL004C	YGL137W
YIL004C	YLR026C
YIL004C	YDR189W
YJR053W	YFR028C
YJR053W	YMR001C
YJR053W	YML064C
YOR198C	YLR453C
YGR282C	YBR017C
YER016W	YFR050C
YJL058C	YNL006W
YJL058C	YIL046W
YJL058C	YML064C
YJL058C	YKL203C
YJL058C	YLR373C
YJL058C	YGR071C
YJL058C	YNL092W
YDR099W	YNL042W
YDR099W	YPR030W
YDR099W	YBL043W
YDR099W	YDR309C
YDR099W	YNL293W
YDR099W	YBR001C
YDR099W	YNL267W
YDR099W	YAL017W
YDR099W	YLR453C
YDR099W	YGL252C
YDR099W	YLR177W
YNL271C	YMR032W
YNL271C	YKL129C
YNL271C	YOR122C
YNL271C	YML109W
YBL085W	YMR032W
YBL085W	YBR238C
YBL085W	YJR056C
YBL085W	YML109W
YNL042W	YOR014W
YPL084W	YLR438C-A
YBR290W	YPL132W
YBR290W	YJL196C
YBR290W	YGL012W
YBR290W	YGR284C
YBR290W	YMR215W
YBR290W	YML048W
YBR290W	YCL052C
YBR290W	YCR024C-A
YBR290W	YPR156C
YBR290W	YDL015C
YBR290W	YBR159W
YBR290W	YPL087W
YBR290W	YKL065C
YBR290W	YPR028W
YOR026W	YJL013C
YOR026W	YDL193W
YLR074C	YLL050C
YLR074C	YDR155C
