YNL141W	YKL086W
YHR047C	YLR148W
YBL074C	YDR283C
YBL074C	YHR165C
YKL106W	YLR447C
YBR236C	YDL140C
YBR236C	YML010W
YCR088W	YFL039C
YCR088W	YJR065C
YCR088W	YDR342C
YCR088W	YNL106C
YCR088W	YMR109W
YCR088W	YOR367W
YCR088W	YHR199C
YCR088W	YIR003W
YCR088W	YHR016C
YNR033W	YPR154W
YLR131C	YGR218W
YLR131C	YMR304W
YLR131C	YNL157W
YLR153C	YJR091C
YFL039C	YMR092C
YFL039C	YNL271C
YFL039C	YLR319C
YFL039C	YLL050C
YFL039C	YJL005W
YFL039C	YGL240W
YFL039C	YOR244W
YFL039C	YCL027W
YFL039C	YCL040W
YFL039C	YOR181W
YFL039C	YHR023W
YFL039C	YDL002C
YFL039C	YLR196W
YFL039C	YER125W
YFL039C	YOR367W
YFL039C	YHL007C
YFL039C	YNL079C
YFL039C	YIL138C
YFL039C	YGR080W
YFL039C	YEL013W
YLR028C	YLR373C
YOR128C	YNL159C
YOR128C	YPR111W
YOR128C	YCR012W
YOR128C	YPR088C
YOR128C	YML064C
YOR128C	YDR271C
YOR128C	YPR045C
YOR128C	YPR084W
YMR303C	YLR074C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YDR386W
YMR303C	YPR110C
YMR303C	YHR135C
YCR011C	YBR290W
YCR011C	YPR079W
YCR011C	YBR159W
YDR216W	YER177W
YDR216W	YOL133W
YDR216W	YPR110C
YDR216W	YGL112C
YDR216W	YMR106C
YCR010C	YJR040W
YDL239C	YLR242C
YDL239C	YLR423C
YDL239C	YPL255W
YDL239C	YNL225C
YDL239C	YAL042W
YDL239C	YDR148C
YDL239C	YAR018C
YDL239C	YKL103C
YDL239C	YPL070W
YDL239C	YDR176W
YDL239C	YNL201C
YDL239C	YOR127W
YDL239C	YOL091W
YDL239C	YCL032W
YDL239C	YKL023W
YDL239C	YLR072W
YDL239C	YMR124W
YLR397C	YLR074C
YLR397C	YJR091C
YLR397C	YAR044W
YER017C	YKR066C
YER017C	YBR034C
YBR132C	YHR042W
YMR092C	YLR102C
YMR092C	YLL050C
YMR092C	YBR101C
YIL079C	YAL041W
YIL079C	YMR216C
YIL079C	YOL115W
YOR374W	YLR447C
YFL050C	YLL061W
YBR211C	YDR394W
YPR128C	YMR306W
YPR128C	YAR027W
YBR231C	YJR091C
YNL172W	YLR127C
YNL172W	YDR118W
YNL172W	YKL022C
YNL172W	YHR166C
YNL172W	YGL240W
YNL172W	YHR135C
YLR127C	YDR118W
YLR127C	YLR102C
YLR127C	YKL022C
YLR127C	YHR166C
YLR127C	YER179W
YLR127C	YGL240W
YLR127C	YOL133W
YLR127C	YGR052W
YDR118W	YLR102C
YDR118W	YHR166C
YDR118W	YGL240W
YLR102C	YKL022C
YLR102C	YHR166C
YLR102C	YML092C
YMR159C	YPL149W
YMR159C	YGR097W
YMR159C	YLR347C
YMR159C	YPL070W
YMR159C	YML064C
YPL149W	YJL167W
YHR171W	YNL255C
YHR171W	YMR183C
YHR171W	YNL212W
YJR005W	YPL248C
YJR005W	YDR351W
YPL195W	YDR080W
YHL019C	YBR019C
YHL019C	YFR045W
YJL075C	YDL100C
YJL075C	YNL157W
YBR043C	YGR157W
YPR192W	YGR060W
YPR192W	YPL189W
YPR192W	YPR156C
YPR192W	YHR140W
YIL062C	YLR370C
YIL062C	YBR234C
YIL062C	YJR065C
YLR370C	YBR234C
YLR370C	YJR065C
YLR370C	YJR091C
YBR234C	YJR065C
YBR234C	YMR109W
YBR234C	YPL043W
YNR019W	YDL006W
YNR019W	YBR159W
YDL137W	YPR110C
YDL137W	YGR052W
YHR018C	YGL137W
YHR137W	YDR092W
YJR065C	YOR181W
YJR065C	YMR109W
YJR065C	YNR053C
YOR141C	YDL002C
YPR201W	YEL027W
YPR201W	YOR016C
YPR201W	YPR079W
YPR201W	YBR159W
YPR201W	YDR506C
YDL100C	YHR114W
YDL100C	YGR189C
YDL100C	YML101C
YDL100C	YPR037C
YDL100C	YML048W
YDL100C	YJL153C
YDL100C	YKL062W
YDL100C	YNL055C
YDL100C	YER083C
YDL100C	YDR259C
YDL100C	YDR431W
YDL100C	YKR100C
YLR242C	YDR414C
YLR242C	YHR007C
YJL115W	YBR010W
YJL115W	YGR180C
YJL115W	YMR200W
YJL115W	YDR181C
YNL008C	YJR091C
YNL008C	YBR298C
YNL008C	YNL260C
YKL052C	YDR016C
YKL052C	YMR077C
YDL088C	YLR347C
YDL088C	YML031W
YPR093C	YNL135C
YPR093C	YDL140C
YER101C	YBL050W
YPR049C	YGL180W
YPR049C	YDR228C
YPR185W	YGL180W
YPR185W	YGR120C
YPR185W	YGR253C
YPR185W	YEL013W
YPR185W	YNL086W
YBR128C	YDL185W
YBR128C	YPL120W
YLR423C	YGL180W
YLR423C	YMR068W
YLR423C	YMR213W
YLR423C	YDR022C
YLR423C	YGR120C
YLR423C	YMR025W
YLR423C	YDR052C
YLR423C	YHR043C
YLR423C	YBR102C
YLR423C	YPR179C
YLR423C	YMR032W
YLR423C	YDR148C
YLR423C	YER127W
YLR423C	YHR023W
YLR423C	YDR176W
YLR423C	YPL174C
YLR423C	YNL078W
YLR423C	YDR383C
YLR423C	YDR228C
YLR423C	YJL117W
YLR423C	YJL036W
YLR423C	YMR017W
YLR423C	YBL106C
YLR423C	YCL032W
YLR423C	YML064C
YLR423C	YDR259C
YLR423C	YCL063W
YLR423C	YDR357C
YLR423C	YKL050C
YLR423C	YLL049W
YLR423C	YMR124W
YLR423C	YMR204C
