YMR207C	YNR016C
YIL135C	YMR139W
YNL316C	YOL082W
YGL173C	YKL139W
YER125W	YHR135C
YEL002C	YKL008C
YML009C	YNL284C
YDR167W	YDR392W
YOR261C	YPR103W
YDR212W	YLL019C
YDL060W	YNL207W
YCR021C	YJL151C
YGL122C	YML081W
YIR010W	YJR009C
YJR047C	YPL141C
YMR004W	YPL031C
YGR055W	YPL058C
YKL122C	YPL210C
YGL190C	YNL255C
YML001W	YOL112W
YDL181W	YNL250W
YEL039C	YJL164C
YGR252W	YOR290C
YKL126W	YNR047W
YGR281W	YHR114W
YDR383C	YIR010W
YJR009C	YMR186W
YBR221C	YML059C
YFR004W	YFR052W
YHR027C	YOL133W
YJL164C	YKL079W
YNL255C	YOR210W
YGL191W	YLL039C
YBR060C	YPL008W
YBR191W	YIR010W
YFR014C	YJL146W
YGL122C	YOL005C
YER018C	YPR083W
YGL122C	YKL016C
YCL059C	YLR129W
YGL122C	YIR010W
YER112W	YER124C
YCL028W	YNL288W
YDR167W	YHR099W
YDR059C	YNL031C
YMR138W	YOL056W
YER018C	YHR058C
YCR008W	YOR224C
YDR047W	YOR361C
YGL001C	YGR060W
YGL122C	YOR221C
YLL023C	YPR028W
YIR037W	YLR216C
YER159C	YOL012C
YFR004W	YMR314W
YKL139W	YOL012C
YDR424C	YGL153W
YDR059C	YPL037C
YIL075C	YOL117W
YBR052C	YLL028W
YJL148W	YOL041C
YGL207W	YGR116W
YDR326C	YIR010W
YPL218W	YPR181C
YNL250W	YOR261C
YDR100W	YJL178C
YGL122C	YPL173W
YJL128C	YMR319C
YNL125C	YNL130C
YBL007C	YDL206W
YBR106W	YML075C
YFR014C	YIL167W
YBR279W	YLR418C
YKR081C	YOR294W
YML085C	YNL223W
YKL095W	YPL151C
YBR233W	YDR116C
YER131W	YGL180W
YBR031W	YEL034W
YML029W	YMR173W
YBL016W	YEL053C
YKL079W	YNL154C
YJR045C	YLR166C
YBR193C	YLR071C
YBL050W	YPL232W
YER118C	YHR140W
YGL073W	YKL062W
YDR225W	YDR510W
YDR427W	YER012W
YDR347W	YGL129C
YBR290W	YNL255C
YHR196W	YMR229C
YNL007C	YNL255C
YHR198C	YML064C
YDL185W	YKL029C
YDR466W	YLR196W
YHR188C	YJR015W
