YNL316C	YOL082W
YJL125C	YNL062C
YDL014W	YKL125W
YLR448W	YNL096C
YPL115C	YPL161C
YJL019W	YOL104C
YDR167W	YDR392W
YOR261C	YPR103W
YDR212W	YLL019C
YHR165C	YNR053C
YDL060W	YNL207W
YHR037W	YPL240C
YCR021C	YJL151C
YDR412W	YPR143W
YIR010W	YJR009C
YJR047C	YPL141C
YLR018C	YPL075W
YGL190C	YNL255C
YHR085W	YNR053C
YMR121C	YPR143W
YGR252W	YOR290C
YGR281W	YHR114W
YDR383C	YIR010W
YFL023W	YOR355W
YDR392W	YOL148C
YJR009C	YMR186W
YJL052W	YOL013C
YFR004W	YFR052W
YBR191W	YFR031C-A
YDR356W	YPL255W
YDR423C	YGL158W
YGL191W	YLL039C
YDL226C	YPR183W
YBR191W	YIR010W
YLR350W	YNL190W
YDR303C	YML065W
YIR026C	YPR029C
YGL158W	YHR185C
YKL180W	YLR075W
YDL031W	YFL002C
YFL036W	YOR017W
YDR167W	YHR099W
YDR047W	YOR361C
YHR060W	YLR447C
YDR012W	YMR194W
YER159C	YOL012C
YFR004W	YMR314W
YAL018C	YCL025C
YCR073C	YMR117C
YDR059C	YPL037C
YIL075C	YOL117W
YJL148W	YOL041C
YDR326C	YIR010W
YDL014W	YPR143W
YDR100W	YJL178C
YER036C	YKL180W
YNL125C	YNL130C
YBL007C	YDL206W
YBR106W	YML075C
YDR062W	YJR077C
YFR014C	YIL167W
YGL158W	YOR018W
YKR081C	YOR294W
YGR012W	YPR161C
YKL095W	YPL151C
YBR031W	YEL034W
YBL016W	YEL053C
YKL079W	YNL154C
YNL113W	YPR010C
YBR193C	YLR071C
YBL050W	YPL232W
YDL065C	YER148W
YDR194C	YML065W
YGL073W	YKL062W
YDR427W	YER012W
YDR097C	YIR002C
YIR010W	YJL065C
YHR196W	YMR229C
YDR176W	YHR041C
YDL207W	YKL068W
YHR188C	YJR015W
YGL200C	YLL039C
YDL014W	YHR052W
YDR388W	YOR117W
YLR029C	YNL255C
YBR106W	YCR028C
YJR002W	YLL011W
YDR176W	YER148W
YDL031W	YLL045C
YAR007C	YCR066W
YIR033W	YLL039C
YGL150C	YGR274C
YGL116W	YJL111W
YCL014W	YMR186W
YHR081W	YNL255C
YDR364C	YLL036C
YDR224C	YDR227W
YCL011C	YLL045C
YDR116C	YKR006C
YMR233W	YOL006C
YMR168C	YPL018W
YHR083W	YNL026W
YDR318W	YJR112W
YHL009C	YLR336C
YEL039C	YLL039C
YBL076C	YOR117W
YDR224C	YLL039C
YDL203C	YGR058W
YEL002C	YML075C
YNR064C	YOL045W
YDR405W	YNL255C
YEL032W	YNL273W
YCL024W	YKL181W
YGR054W	YKR048C
YGL158W	YOR290C
YER012W	YLR058C
YOL021C	YPR190C
YDR440W	YLR429W
YGR199W	YPL026C
YMR229C	YOR340C
YBR049C	YOR341W
YEL009C	YHR041C
YBR183W	YOL132W
YNR046W	YOL124C
YAL034W-A	YNL154C
YKR093W	YOR153W
YDL087C	YML049C
YDR101C	YDR412W
YBL039C	YJL138C
YBL072C	YNL055C
YDR124W	YPR049C
YER165W	YML056C
YGR013W	YPL178W
YJR077C	YLR259C
YJL187C	YNL272C
YJL041W	YLR312W-A
YER103W	YGR192C
YBR031W	YBR142W
YBR031W	YLL045C
YBR155W	YJR031C
YDR224C	YML112W
YER036C	YOR204W
YFL038C	YPR176C
YHR058C	YNL255C
YNL027W	YPL141C
YBL003C	YDL208W
YGL025C	YHR041C
YBL072C	YJR145C
YJL081C	YLR399C
YLR208W	YNL307C
YFR022W	YNL307C
YBR191W	YLR448W
YEL039C	YGL078C
YHR169W	YPR121W
YGR167W	YJL057C
YHR016C	YPL249C
YFR004W	YLR043C
Q0085	YKL016C
YBL003C	YBL052C
YDR032C	YHR135C
YER159C	YNL255C
YER165W	YML065W
YHR135C	YOR344C
YNL112W	YNL255C
YGL180W	YIL091C
YDR244W	YML042W
YNL039W	YNL255C
YGL098W	YGL145W
YJL187C	YJR082C
YJL096W	YNL255C
YDL116W	YLR018C
YFR004W	YHR098C
YDR256C	YOL045W
YCR020W-B	YMR033W
YCL059C	YGL201C
YKL068W	YMR308C
YBR114W	YLR044C
YDR101C	YKL009W
