YJL092W	YOR281C
YGL173C	YKL139W
YER125W	YHR135C
YEL002C	YKL008C
YML010W	YNL248C
YML009C	YNL284C
YDR167W	YDR392W
YOR261C	YPR103W
YDR212W	YLL019C
YDL060W	YNL207W
YGL122C	YML081W
YJR047C	YPL141C
YMR004W	YPL031C
YDR477W	YLR132C
YGR033C	YNR017W
YGR055W	YPL058C
YER174C	YOL016C
YKL122C	YPL210C
YKL059C	YNL255C
YBL032W	YCL028W
YDL181W	YNL250W
YEL039C	YJL164C
YDR383C	YIR010W
YER142C	YOL041C
YDL028C	YMR114C
YJL052W	YOL013C
YJL164C	YKL079W
YNL255C	YOR210W
YBR060C	YPL008W
YBR191W	YIR010W
YFR014C	YJL146W
YIR038C	YKL008C
YER133W	YLR002C
YDR021W	YLR248W
YIR026C	YPR029C
YGL122C	YKL016C
YBR031W	YJL109C
YGL122C	YIR010W
YEL034W	YIL148W
YDR113C	YHR166C
YDR059C	YNL031C
YMR138W	YOL056W
YDR481C	YNL006W
YBR159W	YIL005W
YDR047W	YOR361C
YGL122C	YOR221C
YIR037W	YLR216C
YER159C	YOL012C
YAL018C	YCL025C
YKL139W	YOL012C
YBL032W	YLL031C
YDR424C	YGL153W
YDR059C	YPL037C
YIL075C	YOL117W
YBR052C	YLL028W
YIR010W	YJL109C
YER177W	YPR030W
YNL250W	YOR261C
YDR100W	YJL178C
YBR106W	YML075C
YMR029C	YMR052W
YFR014C	YIL167W
YCR031C	YLR340W
YML085C	YNL223W
YJR048W	YKL195W
YGL112C	YML098W
YIL046W	YML082W
YKL095W	YPL151C
YCR100C	YDR414C
YHR135C	YLR410W
YDL088C	YDR159W
YJL164C	YNL182C
YBR031W	YEL034W
YKL079W	YNL154C
YDR510W	YGR083C
YBL050W	YPL232W
YDR225W	YDR510W
YML123C	YOR016C
YDR347W	YGL129C
YBL055C	YGL180W
YDR097C	YIR002C
YBR290W	YNL255C
YNL007C	YNL255C
YBL032W	YKL198C
YGL122C	YOR328W
YBR234C	YNL040W
YHL034C	YJL190C
YLL028W	YLR332W
YHR005C-A	YKL195W
YGL122C	YNL213C
YDR381W	YER063W
YHR143W-A	YPL129W
YHR188C	YJR015W
YGL200C	YLL039C
YMR005W	YNR011C
YOL041C	YPL131W
YKL174C	YLL039C
YHR027C	YMR186W
YDL116W	YDR113C
YBR106W	YCR028C
YDR406W	YLR055C
YER175C	YGL122C
YDR225W	YOR005C
YAR007C	YCR066W
YBR095C	YNL097C
YER151C	YGR103W
YDR224C	YDR227W
YJL041W	YJL063C
YER177W	YPR080W
YBR002C	YBR177C
YMR081C	YPL203W
YBL050W	YGL122C
YDR116C	YKR006C
YBR081C	YPL129W
YMR168C	YPL018W
YBR177C	YJL153C
YEL048C	YKR068C
YLL039C	YOR014W
YHR083W	YNL026W
YDR510W	YER047C
YHL009C	YLR336C
YGL234W	YHR027C
YJL164C	YJL218W
YER012W	YGL048C
YBR049C	YDR510W
YHR129C	YPL070W
