YMR207C	YNR016C
YJL092W	YOR281C
YGL173C	YKL139W
YPL115C	YPL161C
YJL019W	YOL104C
YHL047C	YHR079C
YCR038C	YPR122W
YJR047C	YPL141C
YKL122C	YPL210C
YDL126C	YER012W
YGL137W	YJR070C
YDL181W	YNL250W
YLR009W	YNL061W
YEL039C	YJL164C
YAL017W	YOL045W
YCR072C	YPR016C
YKL126W	YNR047W
YGR281W	YHR114W
YDR392W	YOL148C
YBR221C	YML059C
YJL052W	YOL013C
YJL164C	YKL079W
YDR423C	YGL158W
YGL191W	YLL039C
YDL117W	YKR009C
YBR048W	YJL177W
YLR350W	YNL190W
YER133W	YLR002C
YER018C	YPR083W
YCR072C	YER006W
YDR021W	YLR248W
YIR026C	YPR029C
YGL158W	YHR185C
YEL034W	YIL148W
YLL004W	YPR162C
YDL140C	YKL139W
YDR424C	YGL153W
YBR052C	YLL028W
YGL207W	YGR116W
YDL014W	YPR143W
YNL250W	YOR261C
YOR054C	YOR061W
YER036C	YKL180W
YJL128C	YMR319C
YFR014C	YIL167W
YGL158W	YOR018W
YBR279W	YLR418C
YKR081C	YOR294W
YGL030W	YGR281W
YMR128W	YPL217C
YGR026W	YPL031C
YOR244W	YPL004C
YER131W	YGL180W
YJL164C	YNL182C
YJL154C	YKL171W
YNL113W	YPR010C
YBL050W	YPL232W
YGL073W	YKL062W
YER177W	YPR152C
YEL026W	YGL120C
YBR122C	YOL027C
YHR198C	YML064C
YLR419W	YMR117C
YDL185W	YKL029C
YKR014C	YMR231W
YDR354W	YFR014C
YDR381W	YER063W
YDR129C	YNL135C
YNL230C	YPL004C
YDL014W	YJL095W
YBR225W	YJL095W
YDR406W	YLR055C
YHR167W	YJR032W
YDL014W	YGL130W
YIR033W	YLL039C
YBR095C	YNL097C
YGL116W	YJL111W
YIL021W	YOR210W
YBR126C	YDR074W
YJL041W	YJL063C
YDR363W-A	YNL047C
YBR002C	YBR177C
YDR251W	YJR059W
YMR081C	YPL203W
YBR177C	YJL153C
YDR365C	YJL010C
YML063W	YNL124W
YJL164C	YJL218W
YER012W	YGL048C
YGR103W	YMR290C
YGL075C	YMR111C
YDR175C	YOR158W
YEL039C	YLL039C
YDR190C	YGR086C
YEL002C	YML075C
YNR064C	YOL045W
YKR018C	YPR106W
YMR191W	YOR261C
YLR208W	YPR181C
YGL158W	YOR290C
YJL095W	YKL129C
YJL010C	YMR290C
YBR049C	YOR341W
YPL070W	YPR152C
YEL034W	YJL177W
YCR093W	YOL133W
YDR043C	YOR061W
YHR137W	YOR310C
YDL087C	YML049C
YDL117W	YPL038W
YBL039C	YJL138C
YNL121C	YOL045W
YLR350W	YMR272C
YGL003C	YPR119W
YKL139W	YLR438W
YBL023C	YDR473C
YLR455W	YOR310C
YDL097C	YPL082C
YER177W	YOR220W
YDL200C	YGL137W
YJL164C	YKL171W
YJL081C	YLR399C
YBR114W	YKR001C
YLR208W	YNL307C
YCR057C	YJL109C
YHR142W	YJL117W
YHR016C	YPL249C
YDL015C	YJL117W
YBR208C	YOL133W
Q0085	YKL016C
YDL217C	YGR033C
YBL003C	YBL052C
YJR059W	YKR092C
YGL106W	YMR304W
YBR069C	YPR198W
YCR016W	YGL213C
YLL039C	YML063W
YDR244W	YML042W
YGR235C	YJL164C
YDR256C	YOL045W
YKL104C	YPR110C
YIL131C	YJL197W
YGL179C	YMR304W
YBR170C	YKL213C
YBR114W	YLR044C
YGR116W	YLL039C
YKR027W	YLL039C
YGL180W	YJR019C
YDR328C	YLR399C
YOR117W	YPL031C
YDL168W	YNL061W
YCL056C	YDR142C
YFR014C	YNL218W
YDR142C	YGR077C
YDR087C	YFL002C
YDR392W	YLR055C
YHR007C	YHR190W
YJL052W	YLL060C
YFL002C	YKL172W
YBR274W	YLR258W
YOR132W	YPR171W
YLR350W	YMR238W
YGR085C	YLR367W
YER023W	YOR244W
YHL034C	YIL129C
YBR152W	YLL036C
YLR044C	YNL127W
YKL064W	YPL203W
YBR035C	YLL039C
YGR060W	YHR190W
YKL068W	YNL189W
YHR193C	YKL180W
YGL158W	YGR276C
YHR134W	YKL172W
YDR129C	YMR246W
YBR298C	YMR279C
YDL212W	YJR015W
YKL145W	YOR362C
YGL180W	YOL078W
YDR283C	YKL173W
YLL008W	YOR231W
YDR432W	YKL074C
YDR247W	YHL024W
YGR281W	YJR066W
YGL179C	YKR090W
YNL044W	YNL189W
YGL181W	YNL243W
YDR099W	YGL180W
YDL140C	YLR115W
YDL065C	YNL214W
YJL050W	YOL120C
YLR427W	YPL031C
YNL047C	YPL231W
YGL215W	YPL031C
YGL181W	YGR241C
YER036C	YPR036W
YER002W	YLR009W
YGR104C	YNL209W
YBR036C	YPR198W
YLR372W	YLR378C
YLR248W	YPR091C
YMR072W	YPL082C
YKR008W	YLR357W
YBL023C	YLL004W
YHR161C	YMR183C
YKL127W	YOL045W
YMR142C	YOL120C
YCR061W	YIL134W
YKL145W	YOL098C
YDR381W	YLL039C
YDR087C	YKL180W
YBR250W	YNL012W
YKL151C	YPL070W
YMR110C	YNL121C
YHR090C	YOR244W
YHR007C	YLL039C
YHR161C	YNL020C
YIL051C	YKL142W
YLL039C	YLR153C
YCR077C	YDL065C
YHR079C	YNL097C
YGR237C	YML056C
YIL027C	YPL070W
YDR330W	YGR003W
YCL032W	YNL090W
YLR258W	YPL141C
YML046W	YML049C
YJL084C	YMR032W
YDR381W	YDR432W
YDL214C	YGR276C
YFL039C	YLL039C
YPR010C	YPR016C
YER133W	YKL166C
YJL122W	YPR017C
YDL006W	YPL031C
YGR180C	YOL045W
YLL039C	YOL081W
YKL057C	YLL039C
YLL045C	YNL112W
YML117W	YPL031C
YDR190C	YPL240C
YLR153C	YNL178W
YBR247C	YNL096C
YIL021W	YPL203W
YIL126W	YPR034W
YBL093C	YGR104C
YJL176C	YPR034W
YGL059W	YOL070C
YHR035W	YPR119W
YGL030W	YPR016C
YGL053W	YML029W
YLL039C	YOR261C
YDL097C	YLL039C
YER090W	YJR070C
YJR109C	YKL104C
YGL173C	YLL039C
YLL026W	YOL111C
YDR307W	YKL065C
YCR088W	YOR284W
YDR323C	YPL031C
YDL065C	YOL147C
YGL142C	YML012W
YDR486C	YLR181C
YGL140C	YKL117W
YBR052C	YOL105C
YLL008W	YMR216C
YIL020C	YPL031C
YNL124W	YOL040C
