YJL092W	YOR281C
YPL115C	YPL161C
YEL002C	YKL008C
YGL103W	YKL172W
YJR047C	YPL141C
YMR004W	YPL031C
YDR477W	YLR132C
YCL035C	YMR059W
YMR121C	YPR143W
YAL017W	YOL045W
YFL023W	YOR355W
YDL028C	YMR114C
YJL052W	YOL013C
YDR409W	YLR303W
YJL164C	YKL079W
YGL091C	YIL129C
YBR060C	YPL008W
YDR259C	YHR082C
YDR257C	YJR059W
YGR238C	YHR158C
YIR026C	YPR029C
YBL072C	YPL012W
YNR051C	YPL061W
YCR002C	YNL233W
YLL023C	YPR028W
YER159C	YOL012C
YGR105W	YML012W
YDR424C	YGL153W
YDR059C	YPL037C
YGL130W	YMR309C
YPL218W	YPR181C
YDR100W	YJL178C
YNL125C	YNL130C
YML123C	YNR041C
YBR106W	YML075C
YMR029C	YMR052W
YDR062W	YJR077C
YFR014C	YIL167W
YML048W	YML123C
YCR012W	YGL137W
YCR031C	YLR340W
YML085C	YNL223W
YDR324C	YEL055C
YKL095W	YPL151C
YGR092W	YJL005W
YBL016W	YEL053C
YKL079W	YNL154C
YJR045C	YLR166C
YBR212W	YPL037C
YER118C	YHR140W
YDR225W	YDR510W
YML096W	YNL154C
YFR010W	YLR246W
YHR198C	YML064C
YDR354W	YFR014C
YER151C	YIL109C
YKL174C	YLL039C
YER021W	YOR128C
YJL002C	YML019W
YDR225W	YOR005C
YER151C	YGR103W
YDR364C	YLL036C
YGR224W	YLR080W
YDR363W-A	YNL047C
YDR251W	YJR059W
YNL251C	YOR001W
YJR011C	YLR368W
YEL048C	YKR068C
YLL039C	YOR014W
YHR083W	YNL026W
YDR318W	YJR112W
YNL197C	YOR149C
YGR103W	YMR290C
YEL002C	YML075C
YNR064C	YOL045W
YKR018C	YPR106W
YDR407C	YOR115C
YDL153C	YHR082C
YML064C	YOR373W
YGL172W	YKL057C
YBR183W	YOL132W
YNR046W	YOL124C
YER151C	YOL082W
YCR093W	YOL133W
YML131W	YOL154W
YDR216W	YER118C
YBL039C	YJL138C
YHL004W	YNL005C
YBL072C	YNL055C
YKL207W	YML048W
YGR183C	YNL197C
YDL215C	YLL001W
YDL033C	YLR259C
YJR077C	YLR259C
YJL187C	YNL272C
YDR510W	YML041C
YDR498C	YLR440C
YJR145C	YMR290C
YGR059W	YLR314C
YKL203C	YOR035C
YNL027W	YPL141C
YBL072C	YJR145C
YJL164C	YKL171W
YDR130C	YLR340W
YBR114W	YKR001C
YDR312W	YJL164C
YDR099W	YNL154C
YBR102C	YML097C
YIL094C	YMR012W
YHR169W	YPR121W
YGR167W	YJL057C
YHR016C	YPL249C
YDL015C	YJL117W
YBR208C	YOL133W
YDL217C	YGR033C
YJR059W	YKR092C
YGL106W	YMR304W
YDR032C	YHR135C
YLR310C	YPL038W
YDR244W	YML042W
YGR235C	YJL164C
YDL028C	YDL203C
YNL154C	YPL191C
YDR264C	YJR040W
YGL209W	YNL197C
YEL034W	YLR069C
YGL179C	YMR304W
YJL014W	YLR196W
YBR170C	YKL213C
YML008C	YNL280C
YEL011W	YLL039C
YBR106W	YNL101W
YGL180W	YJR019C
YDR080W	YGL025C
YJL164C	YKR094C
YDR342C	YKL203C
YGR038W	YJL187C
YIL035C	YPR143W
YFR014C	YNL218W
YDR012W	YGL103W
YJR145C	YNL132W
YDR246W	YKR068C
YJL187C	YLR132C
YDR130C	YGL093W
YKL214C	YMR004W
YDR043C	YDR477W
YJL052W	YLL060C
YBR274W	YLR258W
YDR264C	YOR233W
YDL164C	YDR100W
YDL008W	YOR249C
YER133W	YJL130C
YHR174W	YOL135C
YDR381W	YML065W
YDR301W	YGR240C
YLL039C	YLR039C
YBL105C	YER151C
YJR145C	YNL055C
YER151C	YJR045C
YBR044C	YKL004W
YMR001C	YPL192C
YGR103W	YOR039W
YHR134W	YKL172W
YBR109C	YDL028C
YDR174W	YGR270W
YBR065C	YNR011C
YDL097C	YDR427W
YDL222C	YHR094C
YBR010W	YNL054W
YHR135C	YKL093W
YDR189W	YIL107C
YKL008C	YMR215W
YDL030W	YMR288W
YGR019W	YHR165C
YDR099W	YGL180W
YDL065C	YNL214W
YLR427W	YPL031C
YGL105W	YLR166C
YIL152W	YJR092W
YNL047C	YPL231W
YKL004W	YMR010W
YGL215W	YPL031C
YFR017C	YNL197C
YIL035C	YLR079W
YER133W	YKL203C
YGR132C	YJL183W
YDR381W	YGR162W
YIL153W	YLR423C
YJL042W	YOL069W
YDR510W	YJL140W
YLR248W	YPR091C
YHR161C	YMR183C
YDR477W	YLR265C
YDL084W	YDR510W
YIL034C	YLR196W
YGL011C	YLR211C
