YIL135C	YMR139W
YER125W	YHR135C
YEL002C	YKL008C
YJL019W	YOL104C
YCR021C	YJL151C
YLL039C	YLR113W
YMR004W	YPL031C
YDR477W	YLR132C
YGR033C	YNR017W
YCL035C	YMR059W
YDR392W	YOL148C
YBR221C	YML059C
YDL028C	YMR114C
YJL052W	YOL013C
YBR191W	YFR031C-A
YGL191W	YLL039C
YBR060C	YPL008W
YIR038C	YKL008C
YDR257C	YJR059W
YCR072C	YER006W
YML005W	YNR046W
YAL038W	YPL031C
YGL158W	YHR185C
YEL034W	YIL148W
YDL031W	YFL002C
YFL007W	YLL039C
YCL028W	YNL288W
YFR004W	YOL038W
YDR392W	YLR113W
YDR059C	YNL031C
YDR047W	YOR361C
Q0085	YDL004W
YFR004W	YMR314W
YER094C	YOR157C
YDR429C	YGL137W
YDR059C	YPL037C
YIL075C	YOL117W
YBR052C	YLL028W
YGL207W	YGR116W
YER177W	YPR030W
YPL218W	YPR181C
YDR100W	YJL178C
YBL007C	YDL206W
YGL158W	YOR018W
YML048W	YML123C
YCR012W	YGL137W
YCR031C	YLR340W
YKL095W	YPL151C
YJR045C	YLR166C
YLR097C	YMR303C
YBR212W	YPL037C
YBL050W	YPL232W
YDR194C	YML065W
YGL073W	YKL062W
YDR225W	YDR510W
YML123C	YOR016C
YER177W	YPR152C
YBR195C	YNL031C
YBR122C	YOL027C
YHR082C	YKL197C
YHR198C	YML064C
YLR419W	YMR117C
YDL140C	YNL251C
YGL115W	YPR007C
YDR381W	YER063W
YGL200C	YLL039C
YDR406W	YLR055C
YCL043C	YIR001C
YBR202W	YDL029W
YDR225W	YOR005C
YIR033W	YLL039C
YBR126C	YDR074W
YDR224C	YDR227W
YDR251W	YJR059W
YMR106C	YMR287C
YMR081C	YPL203W
YNL251C	YOR001W
YBR177C	YJL153C
YLR423C	YPR105C
YDR159W	YHR127W
YLL039C	YOR014W
YGL234W	YHR027C
YEL039C	YLL039C
YAL001C	YDR510W
YDR224C	YLL039C
YEL002C	YML075C
YDL116W	YDR192C
YKR018C	YPR106W
YDR407C	YOR115C
YCL024W	YKL181W
YLR208W	YPR181C
YGL158W	YOR290C
YER012W	YLR058C
YGR126W	YPR175W
YDR418W	YHR027C
YFL045C	YJL092W
YML064C	YOR373W
YGL172W	YKL057C
YGL244W	YOR123C
YPL070W	YPR152C
YNR046W	YOL124C
YLR367W	YML026C
YCL043C	YDL095W
YKL104C	YMR213W
YJL187C	YNL272C
YGR065C	YGR130C
YGL003C	YPR119W
YDR224C	YML112W
YKL161C	YPL089C
YBL003C	YER092W
YDR189W	YPR105C
YGR059W	YLR314C
YHR148W	YMR128W
YER177W	YOR220W
YJL081C	YLR399C
YLR208W	YNL307C
YFR022W	YNL307C
YEL039C	YGL078C
YGR167W	YJL057C
YDL029W	YDR143C
YFR004W	YLR043C
Q0085	YKL016C
YDR457W	YNL031C
YDL217C	YGR033C
YBL003C	YBL052C
YGL106W	YMR304W
YDR032C	YHR135C
YBR069C	YPR198W
YCR016W	YGL213C
