YJL125C	YNL062C
YJL092W	YOR281C
YER125W	YHR135C
YPL115C	YPL161C
YHL047C	YHR079C
YDL060W	YNL207W
YCR021C	YJL151C
YLL039C	YLR113W
YMR004W	YPL031C
YGR033C	YNR017W
YDR164C	YLR166C
YGL137W	YJR070C
YBL032W	YCL028W
YAL017W	YOL045W
YGR252W	YOR290C
YDR145W	YGL158W
YKL126W	YNR047W
YDR392W	YOL148C
YLR113W	YNL236W
YER142C	YOL041C
YDL028C	YMR114C
YFR004W	YFR052W
YDR423C	YGL158W
YGL191W	YLL039C
YDL117W	YKR009C
YDR259C	YHR082C
YNR017W	YOR236W
YIR026C	YPR029C
YBR031W	YJL109C
YGL158W	YHR185C
YEL034W	YIL148W
YBR249C	YDR510W
YFL007W	YLL039C
YFL036W	YOR017W
YDR283C	YER172C
YFR004W	YOL038W
YDR392W	YLR113W
Q0085	YDL004W
YLL023C	YPR028W
YBL032W	YLL031C
YAL011W	YLR085C
YER094C	YOR157C
YBR052C	YLL028W
YGR040W	YML048W
YBR142W	YNL110C
YER177W	YPR030W
YNL125C	YNL130C
YMR029C	YMR052W
YDR482C	YLR275W
YGL158W	YOR018W
YCR012W	YGL137W
YML085C	YNL223W
YBL032W	YBR215W
YLR197W	YNR024W
YDR224C	YKL103C
YLR113W	YLR248W
YGR026W	YPL031C
YBR031W	YEL034W
YML029W	YMR173W
YJR045C	YLR166C
YOR275C	YPL031C
YJL154C	YKL171W
YDR510W	YGR083C
YBR193C	YLR071C
YBR212W	YPL037C
YDR225W	YDR510W
YER126C	YGL237C
YER177W	YPR152C
YEL026W	YGL120C
YHR082C	YKL197C
YDL179W	YOR083W
YHL034C	YJL190C
YDR466W	YLR196W
YOL041C	YPL131W
YDR388W	YOR117W
YJR002W	YLL011W
YDR406W	YLR055C
YDL031W	YLL045C
YJL002C	YML019W
YBR202W	YDL029W
YDR225W	YOR005C
YBR126C	YDR074W
YER074W	YGL103W
YER177W	YPR080W
YMR081C	YPL203W
YLL039C	YOR014W
YDR318W	YJR112W
