YDR143C	YER068W
YMR207C	YNR016C
YJL092W	YOR281C
YER125W	YHR135C
YPL115C	YPL161C
YJL019W	YOL104C
YML010W	YNL248C
YDR167W	YDR392W
YDR212W	YLL019C
YHR037W	YPL240C
YKL104C	YKL211C
YDL126C	YER012W
YDR448W	YHR058C
YML001W	YOL112W
YDR320C	YJR135C
YAL017W	YOL045W
YDR392W	YOL148C
YJR009C	YMR186W
YDL028C	YMR114C
YGL191W	YLL039C
YDL226C	YPR183W
YBR048W	YJL177W
YDR259C	YHR082C
YDR021W	YLR248W
YGR238C	YHR158C
YAL038W	YPL031C
YAL026C	YPR129W
YGL158W	YHR185C
YLL004W	YPR162C
YFL007W	YLL039C
YDR059C	YNL031C
YHR082C	YPL207W
YGL001C	YGR060W
Q0085	YDL004W
YDR424C	YGL153W
YDL126C	YDL190C
YIL075C	YOL117W
YJL148W	YOL041C
YGL207W	YGR116W
YBR142W	YNL110C
YER177W	YPR030W
YHL003C	YJR010C-A
YPL218W	YPR181C
YDR060W	YOR206W
YER159C	YNR065C
YMR029C	YMR052W
YKR060W	YNL110C
YKR081C	YOR294W
YML085C	YNL223W
YCR100C	YDR414C
YCR034W	YMR149W
YOR244W	YPL004C
YML029W	YMR173W
YER118C	YHR140W
YDR427W	YER012W
YML096W	YNL154C
YBR195C	YNL031C
YFR010W	YLR246W
YHR082C	YKL197C
YBL079W	YML031W
YBL032W	YKL198C
YDL179W	YOR083W
YDL185W	YKL029C
YER151C	YIL109C
YDL207W	YKL068W
YNL230C	YPL004C
YHR027C	YMR186W
YDR406W	YLR055C
YGL003C	YKL101W
YBR202W	YDL029W
YGR224W	YLR080W
YER177W	YPR080W
YBR002C	YBR177C
YMR081C	YPL203W
YHR083W	YNL026W
YDR510W	YER047C
YDR335W	YML103C
YJR132W	YML085C
YER012W	YGL048C
YEL039C	YLL039C
YBL076C	YOR117W
YDR224C	YLL039C
YEL002C	YML075C
YDR311W	YKL028W
YBR048W	YDR064W
YKR018C	YPR106W
YCL024W	YKL181W
YGL158W	YOR290C
YDR510W	YMR190C
YLR430W	YMR125W
YDR418W	YHR027C
YGL172W	YKL057C
YEL023C	YJL203W
YBR183W	YOL132W
YEL034W	YJL177W
YER151C	YOL082W
YBL032W	YLR466W
YDL117W	YPL038W
YDL029W	YMR109W
YLR238W	YMR052W
YDR124W	YPR049C
YKL104C	YMR213W
YNL121C	YOL045W
YML085C	YMR048W
YDR192C	YPL093W
YJL187C	YNL272C
YER103W	YGR192C
YDR510W	YML041C
YIL133C	YML063W
YGL003C	YPR119W
YKL161C	YPL089C
YBL003C	YER092W
YJR145C	YMR290C
YKL203C	YOR035C
YER177W	YOR220W
YDR099W	YNL154C
YIL133C	YOL041C
YER125W	YJR051W
YBR102C	YML097C
YHR016C	YPL249C
YDL029W	YDR143C
YKL101W	YNR006W
YDR032C	YHR135C
YBR069C	YPR198W
YLL039C	YML063W
YDR244W	YML042W
YDL028C	YDL203C
YER151C	YJR123W
YNL154C	YPL191C
YJR135C	YLR315W
YKL104C	YPR110C
YEL034W	YLR069C
YEL015W	YPR080W
YPL012W	YPL216W
YGL179C	YMR304W
YBR114W	YLR044C
YGR116W	YLL039C
YKR027W	YLL039C
YJL106W	YMR165C
YDR080W	YGL025C
YDR252W	YJR011C
YOR117W	YPL031C
YAL005C	YFR019W
YDR342C	YKL203C
YGR038W	YJL187C
YJL124C	YPL152W
YDR142C	YGR077C
YJR145C	YNL132W
YDR392W	YLR055C
YDR064W	YHR027C
YBL032W	YLR328W
YBR274W	YLR258W
YHL034C	YIL129C
YCR073W-A	YER151C
YLR044C	YNL127W
YLL039C	YLR039C
YBL105C	YER151C
YJR145C	YNL055C
YBR035C	YLL039C
YIL161W	YJL092W
YGR060W	YHR190W
YBR044C	YKL004W
YMR001C	YPL192C
YDL239C	YGL075C
YDR129C	YMR246W
YNR010W	YPL031C
YBR298C	YMR279C
YLL008W	YOR231W
YHR135C	YKL093W
YAL005C	YPL108W
YBR207W	YPL203W
YDL132W	YJL047C
YGL181W	YNL243W
YER125W	YGL144C
YBL032W	YGR097W
YDL065C	YNL214W
YJL203W	YMR213W
YIL152W	YJR092W
YNL047C	YPL231W
YKL004W	YMR010W
YNL230C	YOL041C
YGL181W	YGR241C
YBL032W	YOL001W
YER036C	YPR036W
YGL105W	YLR138W
YHR135C	YJL148W
YBR080C	YIL004C
YDR510W	YJL140W
YGR225W	YKL022C
YLR248W	YPR091C
YMR072W	YPL082C
YBL023C	YLL004W
YCR034W	YHR140W
YHR161C	YMR183C
YBL032W	YML024W
YKL127W	YOL045W
YIL104C	YOL100W
YAL035W	YJR123W
YCR088W	YNL138W
YLR449W	YOL077C
YAR035W	YBL032W
YDR381W	YLL039C
YDL107W	YGR062C
YAR002C-A	YEL002C
YBR250W	YNL012W
YCL059C	YGR145W
YDL139C	YOL091W
YDL226C	YER118C
YMR110C	YNL121C
YER171W	YMR201C
YBL105C	YIL143C
YDR238C	YKL145W
YHL003C	YOR223W
YHR161C	YNL020C
YDL145C	YNL258C
YAL038W	YER151C
YML074C	YOR341W
YER125W	YGR005C
YLR258W	YPL141C
YML046W	YML049C
YBL032W	YCR066W
YDR394W	YEL037C
YER125W	YMR316W
YAL005C	YGR237C
YGL158W	YGR223C
YML010W	YNL201C
YFL039C	YLL039C
YBR289W	YMR043W
YDL155W	YNL076W
YDL028C	YJR112W
YDL006W	YPL031C
YGR180C	YOL045W
YKL057C	YLL039C
YDL100C	YDR451C
YDL207W	YDR192C
YML117W	YPL031C
YDR190C	YPL240C
YBL032W	YDR438W
YCR012W	YLR044C
YGR126W	YJR084W
YBR179C	YJL092W
YHL047C	YHR133C
YJR095W	YLL039C
YJL057C	YML117W
YML117W	YNL016W
YKL145W	YOR259C
YNL066W	YNL154C
YJR053W	YNL238W
YKL049C	YOR116C
YBL093C	YGR104C
YJL176C	YPR034W
YGL053W	YML029W
YIL133C	YPL093W
YHR082C	YKL049C
YOR244W	YPL260W
YDR307W	YKL065C
YAL032C	YBR194W
YKL029C	YOR181W
YDR323C	YPL031C
YER179W	YNR016C
YNL161W	YPL032C
YCR073C	YMR165C
YLL039C	YOL087C
YBR052C	YOL105C
YDR099W	YLR177W
YDR238C	YOR363C
YAR002C-A	YHR039C
YML010W	YOL145C
YCR069W	YLL039C
YIL125W	YKL198C
YAL005C	YCR009C
YDL212W	YHR140W
YLR430W	YNL073W
YKL049C	YNL246W
YGL058W	YLR377C
YER119C	YPL031C
YGL158W	YLL057C
YKL068W	YKR082W
YDL130W-A	YDL181W
YBL032W	YOR064C
YDR335W	YGL003C
YLR326W	YNL154C
YIL077C	YPL031C
YNL069C	YNL110C
YOR347C	YPL203W
YAR031W	YDL054C
YML132W	YOR192C
YBL032W	YNL186W
YNL154C	YOR208W
YJR010C-A	YKL065C
YDL235C	YOR301W
YIR015W	YNL221C
YHR027C	YJL001W
YMR129W	YPR080W
YKL129C	YPL038W
YFR052W	YIL075C
YER120W	YHR027C
YER151C	YOR206W
YDR510W	YML126C
YDR212W	YOR119C
YER035W	YPL004C
YHR119W	YPL138C
YDL007W	YLL039C
YDR036C	YJR113C
YDL035C	YHR082C
YOR117W	YPL240C
YAR031W	YBR069C
YHR001W-A	YLL039C
YBR161W	YJL014W
YLR009W	YNL110C
YLR407W	YOR294W
YLR370C	YNL138W
YKL035W	YPL240C
YGR192C	YOR117W
YDR077W	YDR143C
YDL029W	YFL039C
YCR024C	YER125W
YFL013C	YNL215W
YDR099W	YPL074W
YHR135C	YPR083W
YLR376C	YMR168C
YHR027C	YLL050C
YLR304C	YMR246W
YHR010W	YPL012W
YBL105C	YMR219W
YBL032W	YJR151C
YJR104C	YPL031C
YDL112W	YLL039C
YBR194W	YCR030C
YLR148W	YMR197C
YEL039C	YNL154C
YGL161C	YHR105W
YBL003C	YBR202W
YIL009W	YML086C
YMR246W	YPL206C
YDL213C	YJR144W
YBR130C	YLR274W
YDR233C	YOR117W
YDR394W	YIL075C
YAL014C	YMR197C
YIL061C	YMR009W
YGR234W	YML085C
YFL039C	YKL196C
YKL029C	YPL235W
YFL037W	YNL212W
YIL034C	YOR181W
YDR101C	YHR010W
YHR114W	YJL203W
YMR041C	YOL100W
YEL037C	YHR027C
YDL029W	YNL161W
YBR041W	YMR313C
YDL145C	YER122C
YDR424C	YKR054C
YBR002C	YKR067W
YDL002C	YFL039C
YNL154C	YNL267W
YAL032C	YGL026C
YDR259C	YNL154C
YDR088C	YHR023W
YER109C	YMR164C
YDR381W	YDR510W
YGL190C	YHR082C
YBL008W	YJL176C
YKL203C	YPL249C
YDR259C	YKL071W
YKL203C	YMR183C
YDR099W	YGL252C
YIL002C	YKL166C
YBL031W	YGL158W
YNL225C	YOL091W
YAL038W	YDL207W
YCL050C	YJR022W
YHR209W	YLL039C
YGR156W	YKL059C
YBR188C	YLR117C
YKL203C	YNL183C
YBL032W	YNL183C
YCR012W	YER151C
YHR135C	YNL272C
YOR250C	YPL203W
YGL059W	YOR083W
YBR093C	YGR282C
YBL032W	YGL237C
YMR165C	YPL031C
YPL210C	YPL243W
YLL039C	YPL094C
YGR241C	YHR016C
YKL173W	YLL036C
YHR186C	YLL039C
YBR044C	YDL093W
YBL032W	YCL068C
YLR312C	YOL088C
YGL059W	YKR100C
YDR381W	YOR206W
YDL207W	YKL057C
YCR034W	YEL063C
YGR268C	YHL002W
YGL058W	YKL210W
YBL032W	YPR040W
YAL016W	YPL152W
YCL010C	YMR236W
YKL161C	YPL031C
YAL032C	YGR071C
YJL122W	YLR074C
YGL190C	YML024W
YER125W	YJL140W
YJR093C	YNL222W
YJL014W	YOR230W
YJL184W	YPL174C
YGR192C	YJL052W
YBR194W	YML010W
YIL061C	YML074C
YGL105W	YJL187C
YHR058C	YNL236W
YJR022W	YMR205C
YAL009W	YJL176C
YJL148W	YMR269W
YGL207W	YPL141C
YKR041W	YLL039C
YML031W	YPL177C
YLL039C	YNL180C
YHR140W	YNL044W
YKL081W	YKL104C
YHR027C	YLR370C
YBL032W	YBR289W
YGR168C	YNL154C
YJR091C	YKL204W
YBR095C	YCR009C
YDR032C	YML016C
YDL212W	YDR307W
YOR083W	YPL240C
YBR126C	YLL019C
YDR311W	YOL082W
YAL035W	YEL054C
YBL032W	YPR132W
YFR015C	YGL134W
YFR013W	YPL082C
YER177W	YNL267W
YCR088W	YPL008W
YLR170C	YPR029C
YER072W	YGL179C
YOL127W	YOR206W
YLL039C	YPR075C
YNL110C	YNL182C
YDL145C	YPL031C
YER151C	YOR253W
YFL023W	YPR080W
YKL013C	YNR035C
YJL014W	YLR259C
YGL158W	YIL004C
YGL077C	YML016C
YDL019C	YJL207C
YEL063C	YER125W
YJR070C	YOL100W
YBL030C	YER182W
YDR381W	YPL169C
YCR066W	YGL058W
YFR010W	YLR106C
YBL058W	YOL128C
YER098W	YKL171W
YGR156W	YKR002W
YLL039C	YOR283W
YBR130C	YLL039C
YJL092W	YOL104C
YPL116W	YPL220W
YKL049C	YNL055C
YLL039C	YMR295C
YDR244W	YNL329C
YDR212W	YJL014W
YCR030C	YKL049C
YDR538W	YMR304W
YDL123W	YLL048C
YDL092W	YER151C
YCR030C	YNR047W
