YHL047C	YHR079C
YMR004W	YPL031C
YDR128W	YMR106C
YDL126C	YER012W
YBL032W	YCL028W
YCR028C-A	YKL114C
YGR252W	YOR290C
YGR281W	YHR114W
YDR383C	YIR010W
YDL028C	YMR114C
YFR004W	YFR052W
YGL091C	YIL129C
YLR350W	YNL190W
YDR257C	YJR059W
YML005W	YNR046W
YAL026C	YPR129W
YFL007W	YLL039C
YER151C	YLR208W
Q0085	YDL004W
YDR424C	YGL153W
YDL126C	YDL190C
YIL075C	YOL117W
YER177W	YPR030W
YDR145W	YIL129C
YML048W	YML123C
YCR012W	YGL137W
YGL030W	YGR281W
YJR048W	YKL195W
YKL095W	YPL151C
YGR092W	YJL005W
YIR010W	YKR083C
YLR097C	YMR303C
YOR047C	YOR358W
YBL050W	YPL232W
YER177W	YPR152C
YML096W	YNL154C
YHR082C	YKL197C
YDL179W	YOR083W
YDL185W	YKL029C
YKR014C	YMR231W
YDL140C	YNL251C
YCL043C	YIR001C
YBR202W	YDL029W
YBR095C	YNL097C
YGL116W	YJL111W
YBR126C	YDR074W
YGR224W	YLR080W
YER177W	YPR080W
YDR251W	YJR059W
YBR218C	YLR430W
YMR081C	YPL203W
YML109W	YMR273C
YBR177C	YJL153C
YLL039C	YOR014W
YER021W	YMR293C
YER012W	YGL048C
YBR049C	YDR510W
YGL123W	YMR131C
YAL001C	YDR510W
YDL134C	YOR073W
YIR010W	YLR430W
YDR224C	YLL039C
YCR052W	YOL100W
YKR018C	YPR106W
YLR208W	YPR181C
YGR126W	YPR175W
YBR055C	YML046W
YAL034W-A	YNL154C
YHL004W	YNL005C
YKL207W	YML048W
YGR183C	YNL197C
YDR124W	YPR049C
YML085C	YMR048W
YER103W	YGR192C
YGL003C	YPR119W
YKL161C	YPL089C
YJR145C	YMR290C
YER177W	YOR220W
YDL200C	YGL137W
YJL081C	YLR399C
YBR114W	YKR001C
YLR208W	YNL307C
YFR022W	YNL307C
YDR099W	YNL154C
YER125W	YJR051W
YGR167W	YJL057C
YHR016C	YPL249C
YDL015C	YJL117W
YFR004W	YLR043C
Q0085	YKL016C
YJR059W	YKR092C
YCR016W	YGL213C
YCR061W	YNR066C
YDR244W	YML042W
YDL028C	YDL203C
YNL154C	YPL191C
YEL034W	YLR069C
YEL015W	YPR080W
YBR170C	YKL213C
YML008C	YNL280C
YEL011W	YLL039C
YDR328C	YLR399C
YBL032W	YML109W
YBL030C	YLR203C
YHR050W	YMR149W
YBL007C	YLR337C
YBR056W	YFR004W
YGR038W	YJL187C
YDR142C	YGR077C
YNL092W	YOR159C
YDL155W	YGR086C
YDL059C	YDR214W
YBL032W	YLR328W
YDR043C	YDR477W
YBR274W	YLR258W
YOR132W	YPR171W
YHL034C	YIL129C
YGR075C	YML051W
YCR073W-A	YER151C
YHR200W	YPL240C
YLL039C	YLR039C
YBL105C	YER151C
YER125W	YGR052W
YJR145C	YNL055C
YKL064W	YPL203W
YBR035C	YLL039C
YER151C	YJR045C
YGL130W	YNL030W
YDR170C	YER100W
YBR298C	YMR279C
YDL222C	YHR094C
YGR281W	YJR066W
YGL146C	YOR005C
YBR207W	YPL203W
YDL065C	YNL214W
YLR427W	YPL031C
YML131W	YPL001W
YFR017C	YNL197C
YIL035C	YLR079W
YER098W	YOR267C
YBL032W	YOL001W
YIR010W	YOR198C
YFR031C-A	YNL175C
YBL032W	YOR247W
YIL153W	YLR423C
YGR225W	YKL022C
YGL066W	YGR252W
YHR161C	YMR183C
YBR151W	YNL126W
YDR071C	YER151C
YBL032W	YML024W
YDL175C	YPR191W
YAL028W	YLR378C
YNL118C	YOR093C
YGL203C	YPR067W
YDR195W	YKL018W
YDR028C	YGR252W
YBR239C	YNL197C
YER177W	YFR017C
YDR171W	YGL120C
YBR200W	YKR001C
YMR110C	YNL121C
YBL105C	YIL143C
YDR238C	YKL145W
YDL088C	YNL154C
YHR079C	YNL097C
YGR237C	YML056C
YER125W	YGR005C
YBR221C	YFR004W
YML046W	YML049C
YDL140C	YGL070C
YBL032W	YCR066W
YDR424C	YIL095W
YBL032W	YHL044W
YOR106W	YPL045W
YFL039C	YLL039C
YDR510W	YLL032C
YDL155W	YNL076W
YLL039C	YOL081W
YKL057C	YLL039C
YLR075W	YML065W
YBL032W	YDR438W
YDR276C	YJL117W
YER125W	YHR200W
YJR095W	YLL039C
YJL222W	YML048W
YBL093C	YGR104C
YAL035W	YMR242C
YBL002W	YER030W
YHR035W	YPR119W
YIR010W	YPR129W
YLR413W	YML072C
YGL173C	YLL039C
YHR082C	YKL049C
YLL026W	YOL111C
YBR123C	YGR252W
YIL124W	YJL151C
YDR307W	YKL065C
YBR169C	YDR171W
YLR423C	YOR357C
YKL029C	YOR181W
YJR046W	YML065W
YDL012C	YFR047C
YDR323C	YPL031C
YGR274C	YNL178W
YDL065C	YOL147C
YGL142C	YML012W
YBR207W	YGL203C
YBR282W	YNL005C
YMR031C	YMR111C
YBL007C	YPR030W
YDR238C	YOR363C
YBR114W	YJR052W
YJR045C	YLR362W
YDR510W	YLR314C
YLR430W	YNL073W
YCR024C-A	YLL023C
YKL049C	YNL246W
YBR049C	YDR145W
YDL200C	YGL121C
YLR278C	YLR442C
YHR030C	YMR276W
YBR234C	YLL039C
YER178W	YIR010W
YBL032W	YOR064C
YAR019C	YFR028C
YJL168C	YNL030W
YHR200W	YNL055C
YDL195W	YIL035C
YBR169C	YKL049C
YIL077C	YPL031C
YOR347C	YPL203W
YER021W	YOL018C
YBL039C	YGL137W
YJR010C-A	YKL065C
YFR004W	YPL262W
YGR238C	YIL144W
YBR207W	YER021W
YBL032W	YJL141C
YGR161C	YMR299C
YKL129C	YPL038W
YFR052W	YIL075C
YIR010W	YOR090C
YDL007W	YLL039C
YDL143W	YKL049C
YAR031W	YBR069C
YIL035C	YMR290C
YDL012C	YHR140W
YNL149C	YNL154C
YBR049C	YGL234W
YDL029W	YFL039C
YDR195W	YML010W
YCR024C	YER125W
YGL092W	YMR047C
YDR293C	YMR105C
YBR055C	YJR059W
YDR300C	YGR092W
YDR477W	YMR102C
YIR010W	YOR267C
YBL105C	YMR219W
YBL105C	YML109W
YGL137W	YML012W
YBL032W	YJR151C
YJR104C	YPL031C
YDR501W	YJL151C
YLR148W	YMR197C
YBL084C	YLR005W
YIL027C	YMR149W
YDL147W	YPR103W
YKR014C	YOR375C
YAL014C	YMR197C
YOL005C	YPL203W
YFL039C	YKL196C
YFL037W	YNL212W
YJR059W	YMR081C
YMR041C	YOL100W
YAR061W	YBL032W
YGL137W	YHR018C
YMR231W	YPL195W
YJL006C	YPL240C
YBR189W	YGL030W
YDR424C	YKR054C
YDR224C	YER030W
YDL002C	YFL039C
YNL197C	YOR269W
YBR200W	YDR306C
YDL047W	YER155C
YFL048C	YOR316C
YDR088C	YHR023W
YER109C	YMR164C
YGL120C	YLL019C
YGL190C	YHR082C
YFR004W	YNL044W
YGR274C	YLR399C
YIL046W	YJL187C
YLL039C	YML072C
YNL118C	YOL149W
YER151C	YGL030W
YDR168W	YJL165C
YDL147W	YER021W
YDR170C	YLL039C
YHR209W	YLL039C
YGR156W	YKL059C
YGL203C	YOR104W
YKR083C	YML105C
YCR012W	YER151C
YIR010W	YNL172W
YDR171W	YPL240C
YDL185W	YDR328C
YGL127C	YNL197C
YHR094C	YKL065C
YGL059W	YOR083W
YBL032W	YGL237C
YMR290C	YPL131W
YPL210C	YPL243W
YNL197C	YPR129W
YGR241C	YHR016C
YDL053C	YIL106W
YPL031C	YPR019W
YBR295W	YIL030C
YLR312C	YOL088C
YIL149C	YNL126W
YBL032W	YML095C
YGL059W	YKR100C
YDL207W	YKL057C
YHR074W	YPL031C
YDR138W	YEL060C
YBL032W	YPR040W
YBL037W	YNL307C
YDR465C	YGR119C
YKL161C	YPL031C
YDL037C	YNL197C
YLR423C	YPR185W
YHR079C	YKR105C
YGL190C	YML024W
YER021W	YHR200W
YBR049C	YPR152C
YGL092W	YML103C
YKL185W	YLL039C
YJL184W	YPL174C
YGR192C	YJL052W
YKR054C	YNL118C
YCR016W	YGL120C
YJL148W	YMR269W
YDL025C	YHR082C
YIR010W	YJL148W
YGL137W	YJL153C
YHR137W	YLR278C
YDL053C	YPL140C
YLL039C	YNL180C
YHR140W	YNL044W
YHR193C	YHR200W
YDR477W	YNL257C
YJR091C	YKL204W
YDR384C	YNR060W
YBR095C	YCR009C
YBR023C	YLR242C
YJR066W	YMR183C
YNL061W	YOR267C
YOR083W	YPL240C
YLR075W	YMR242C
YBR126C	YLL019C
YAR042W	YGR192C
YHR082C	YOR107W
YDL207W	YER107C
YBL016W	YHL019C
YLR170C	YPR029C
YER155C	YPL210C
YLL039C	YPR075C
YDR145W	YHR023W
YNL135C	YPL049C
YDL020C	YHR200W
YGR250C	YPL210C
YDL025C	YJL076W
YFR004W	YMR226C
YER120W	YGR086C
YDL100C	YML048W
YLR201C	YOR125C
YGL222C	YNL118C
YHR033W	YOR212W
YBR189W	YJR145C
YCR076C	YNL118C
YAL032C	YLR386W
YLR386W	YNL041C
YER098W	YKL171W
YHR094C	YIR038C
YLL039C	YOR283W
YGR089W	YLL039C
YDR166C	YLL039C
YKL049C	YNL055C
YLL039C	YMR295C
YCR030C	YKL049C
YFR017C	YGL059W
YLL039C	YMR054W
YCR030C	YNR047W
YDR499W	YGR218W
YFR022W	YPL031C
YNL197C	YPL188W
YBL007C	YOR109W
YAL013W	YKL185W
YDR383C	YKL049C
YDL171C	YLR075W
YDR477W	YKL091C
YIL143C	YOR352W
YFR004W	YPL192C
YAL035W	YIR001C
YLL039C	YNL012W
YBR207W	YHR094C
YBR282W	YML025C
YBR198C	YNL216W
YML096W	YOL016C
YHR101C	YMR200W
YJL187C	YPR139C
YLL039C	YNL074C
YBR142W	YDR170C
YGR295C	YLR343W
YKL143W	YNL178W
YER125W	YKL023W
YDR477W	YHL024W
YER020W	YNL197C
YDR298C	YKL016C
YIL027C	YJL117W
YPL031C	YPL118W
YAL021C	YDR443C
YFR028C	YGR092W
YBL032W	YMR317W
YKL060C	YNL127W
YFR004W	YHR030C
YAR019C	YPL240C
YBR142W	YLR367W
YLL039C	YLR219W
YHR091C	YOL088C
YNL238W	YOL031C
YFL039C	YLR337C
YEL009C	YGL201C
YDL007W	YIL075C
YER139C	YOL005C
YLR396C	YMR231W
YGL092W	YJL039C
YDL065C	YMR047C
YER151C	YML056C
YGL006W	YML018C
YLL040C	YML085C
YBR207W	YGL006W
YIR038C	YML012W
YFR004W	YKL060C
YER151C	YGL173C
YDR288W	YLR007W
YDR138W	YDR280W
YDR063W	YFL039C
YDR145W	YJR060W
YLL039C	YML101C
YDR145W	YMR223W
YBR020W	YPL248C
YLL039C	YNL141W
YDL007W	YKL049C
YFL037W	YKL049C
YBL032W	YKL129C
YCR071C	YPL173W
YDL002C	YGR092W
YAL013W	YBR095C
YKL049C	YKR048C
YIL106W	YPR191W
YKL185W	YPL031C
YJR066W	YMR011W
YEL005C	YLR408C
YKL064W	YPL031C
YKL064W	YNL307C
YDR099W	YPR080W
YLL039C	YML097C
YOR054C	YPL031C
YGL087C	YOL081W
YFR004W	YHR200W
YGL055W	YML012W
YGL120C	YGL130W
YFR004W	YJL052W
YJL020C	YJR115W
YBL032W	YOR322C
YDL239C	YKL042W
YNR007C	YPL031C
YER032W	YHR114W
YHR174W	YKL049C
YDL029W	YLR337C
YFR052W	YGL048C
YOL004W	YPL139C
YGL213C	YGR008C
YGR167W	YLR330W
YCL010C	YGR252W
YDR229W	YPR152C
YDR054C	YIL046W
YHR089C	YML065W
YGR009C	YPL232W
YLL039C	YMR261C
YLR093C	YPL031C
YER120W	YFR004W
YGL003C	YJL106W
YHR193C	YJR011C
YER166W	YOL115W
YCR061W	YNL197C
YIL003W	YPL240C
YHR023W	YKL049C
YCL039W	YDL185W
YER166W	YOR104W
YGL233W	YJL036W
YCL039W	YPL139C
YDL140C	YLR005W
YBR011C	YPL111W
YDR510W	YNL061W
YGL006W	YJL178C
YDL171C	YFR004W
YDL030W	YOR159C
YGR118W	YIR010W
YBL032W	YPR204W
YGL048C	YML012W
YKR072C	YPR113W
YBL032W	YPR119W
YDR022C	YJL165C
YDL185W	YOR270C
YGL137W	YIL136W
YAL025C	YOR267C
YFR004W	YLR060W
YDL134C	YGR161C
YBR200W	YLR362W
YDL207W	YGR192C
YFR037C	YOL004W
YGR111W	YLL039C
YBL002W	YPL001W
YIR010W	YJL008C
YBR285W	YHR079C
YMR106C	YNR016C
YFL026W	YJR066W
YJL013C	YJL030W
YDR146C	YER015W
YMR315W	YNL135C
YHR200W	YLL039C
YDR430C	YER178W
YDL028C	YIL144W
YAL013W	YPL139C
YFR017C	YPL203W
YLR396C	YMR197C
YDR296W	YPL049C
YIL048W	YLL039C
YOL016C	YPL138C
YBL032W	YOR267C
YGR275W	YMR131C
YBR235W	YNR047W
YAR027W	YHR048W
YDR096W	YIR006C
YFR028C	YIL106W
YCR071C	YMR024W
YDL030W	YDR421W
YGL256W	YLR182W
YBL002W	YNL030W
YHL004W	YJR060W
YDL101C	YJR104C
YGL120C	YGR130C
YLR315W	YML056C
YDR039C	YLL039C
YML007W	YPR152C
YIL051C	YPL085W
YDL213C	YNL061W
YKL061W	YNL122C
YGL127C	YPR070W
YIR010W	YJL165C
YDL140C	YJL168C
YBL030C	YOR065W
YML124C	YNL055C
YBL032W	YOR221C
YGR092W	YKL077W
YBL032W	YDR534C
YJL020C	YPL031C
YDL132W	YLR134W
YCL014W	YPR119W
YDR510W	YOR374W
YBR198C	YDR176W
YDR099W	YJL141C
YDR027C	YOR036W
YJR066W	YKL161C
YBR282W	YHL004W
YER021W	YGL004C
YBL032W	YDL020C
YIR010W	YMR145C
YDR510W	YOL116W
YGL059W	YNR039C
YER151C	YKL049C
YCR035C	YOR076C
YLL050C	YLR319C
YGR294W	YPL240C
YER151C	YPL131W
YDR510W	YHR174W
YBL039C	YGL081W
YDR357C	YKL061W
YDR028C	YER129W
YDL190C	YML100W
YDR264C	YOL018C
YFL045C	YOR212W
YGL189C	YML065W
YBR108W	YCR009C
YBR035C	YDL214C
YDL007W	YKL145W
YDR032C	YMR106C
YDR074W	YHR082C
YGL108C	YOL003C
YHL004W	YOR150W
YDL181W	YGR089W
YAL024C	YKR001C
YDL143W	YHR200W
YDR265W	YOL044W
YBL032W	YIL051C
YER015W	YLR098C
YBL032W	YMR069W
YPL240C	YPR181C
YGR056W	YPR034W
YDR477W	YHR189W
YOR070C	YOR089C
YFR004W	YNL141W
YLR330W	YNL045W
YML012W	YPR181C
YKL185W	YNL097C
YLL039C	YPR080W
YBR199W	YOL018C
YHR114W	YPR171W
YBR011C	YDR510W
YDL160C	YPR082C
YDL147W	YHR200W
YJR045C	YLR203C
YDL139C	YJL030W
YBR126C	YDR028C
YDR283C	YLL005C
YDL193W	YPL240C
YCL028W	YER125W
YCR009C	YPR152C
YDL101C	YER125W
YIL075C	YKL029C
YLR425W	YPL066W
YBL032W	YFR017C
YKL211C	YLL039C
YFR052W	YOR181W
YKL171W	YPR160W
YBR200W	YJL187C
YHL024W	YOL100W
YAL043C	YKL018W
YCR068W	YFL062W
YGL190C	YPR154W
YGR205W	YKL168C
YLR223C	YOR039W
YML010W	YOL005C
YAL013W	YPL181W
YAL024C	YHR174W
YBR272C	YDR363W-A
YLR413W	YNL197C
YBL032W	YMR064W
YDL215C	YLL039C
YBR278W	YCL032W
YGL205W	YLL039C
YBL050W	YLR093C
YLR206W	YPL115C
YBL032W	YNR065C
YFR004W	YIL075C
YER155C	YIR010W
YLL019C	YMR102C
YDL200C	YDR224C
YJL151C	YKL140W
YER012W	YPR108W
YHR200W	YOR176W
YGR133W	YOL147C
YAL017W	YMR184W
YBR108W	YIL095W
YBL032W	YKR092C
YCR011C	YNL154C
YDL007W	YGL004C
YCR028C-A	YLR413W
YKL171W	YPL240C
YER178W	YOR090C
YCR042C	YNL222W
YER151C	YPR181C
YKL215C	YLL026W
YBL032W	YBR108W
YCR038C	YLR353W
YDR265W	YPL031C
YOL027C	YPL173W
YDR510W	YPL240C
YBR177C	YFR004W
YIL149C	YNL135C
YCL009C	YNL157W
YAL043C	YBL032W
YBR189W	YML056C
YGR052W	YNL076W
YBR086C	YNL194C
YER023W	YFR004W
YCR030C	YGR241C
YBL015W	YJR035W
YMR172W	YOR039W
YDR510W	YER032W
YGL018C	YPL031C
YBR164C	YPL031C
YIL095W	YPR152C
YKL049C	YNL088W
YLR386W	YNL325C
YBR234C	YDL029W
YBL032W	YOR009W
YDL029W	YMR216C
YKL116C	YPR013C
YBL007C	YER027C
YBR225W	YNL307C
YLR258W	YOL100W
YHR105W	YNL263C
YGR258C	YPL248C
YBR234C	YLR337C
YBR273C	YLL039C
YIR010W	YMR212C
YGL137W	YLL039C
YKL145W	YOL117W
YGL137W	YGL203C
YHR140W	YMR279C
YDR251W	YDR466W
YER151C	YPR080W
YJR066W	YNL243W
YPL031C	YPL201C
YBR138C	YHR082C
YGR270W	YPL115C
YGR252W	YHR008C
YDR028C	YOR267C
YGL211W	YOR251C
YHR018C	YPL240C
YDR122W	YML006C
YGL198W	YNL263C
YFR004W	YMR037C
YBR200W	YNR071C
YDL209C	YNL307C
YMR111C	YPL240C
YDL207W	YPR080W
YKL059C	YPR107C
YBR167C	YIR015W
YHR082C	YOR141C
YGL116W	YPR119W
YJR066W	YLR378C
YCR046C	YML025C
YBL011W	YNL307C
YDL171C	YER151C
YCR073W-A	YGL059W
YDR171W	YOR181W
YFR004W	YMR219W
YBL030C	YGL137W
YDL222C	YIL105C
YLL039C	YML052W
YOL049W	YPL031C
YLR386W	YNR016C
YLL023C	YML048W
YDR368W	YFR004W
YBL032W	YNL003C
YGR089W	YHL010C
YGR130C	YJL165C
YLR131C	YNL135C
YJL117W	YPL264C
YGR136W	YPR081C
YDR176W	YER151C
YLR109W	YNL079C
YBL032W	YOR106W
YJR001W	YPL203W
YJL036W	YOR132W
YDR510W	YML010W
YFR049W	YOR047C
YBL032W	YOR137C
YDR057W	YMR297W
YPL201C	YPR036W
YKL148C	YOL071W
YBL015W	YLL039C
YFR022W	YJR010C-A
YGL070C	YPR093C
YDR122W	YGR009C
YGR008C	YIL143C
YDL126C	YKL049C
YBR020W	YML051W
YEL034W	YKL047W
YDR228C	YKL059C
YDR430C	YFL018C
YLR148W	YPL045W
YPL006W	YPR032W
YGR129W	YOR104W
YBR274W	YDR516C
YGR252W	YPL031C
YFR004W	YJL055W
YBL002W	YKL049C
YMR106C	YPR175W
YJL222W	YKL065C
YER020W	YLL039C
YDL001W	YLL039C
YDL129W	YFR028C
YDR168W	YGL201C
YBR085W	YDL059C
YAR031W	YGL053W
YBL032W	YPR129W
YML010W	YPL228W
YML085C	YML124C
YOR119C	YOR198C
YFR021W	YNL242W
YBR098W	YHR016C
YFR031C-A	YJL191W
YHL023C	YNL307C
YGL106W	YPL004C
YJL141C	YPL247C
YEL034W	YJR047C
YDR490C	YIR044C
YLL039C	YMR183C
YER120W	YML065W
