YGL173C	YKL139W
YPL115C	YPL161C
YEL002C	YKL008C
YJR047C	YPL141C
YBL016W	YER082C
YEL039C	YJL164C
YAL017W	YOL045W
YCR072C	YPR016C
YKL126W	YNR047W
YER142C	YOL041C
YIL118W	YKL130C
YJL164C	YKL079W
YDR423C	YGL158W
YLR350W	YNL190W
YIR038C	YKL008C
YML005W	YNR046W
YBL072C	YPL012W
YGL158W	YHR185C
YLL004W	YPR162C
YDR059C	YNL031C
YLL023C	YPR028W
YFR004W	YMR314W
YER094C	YOR157C
YCR073C	YMR117C
YDR059C	YPL037C
YIL075C	YOL117W
YER177W	YPR030W
YHL003C	YJR010C-A
YNL125C	YNL130C
YGL158W	YOR018W
YDL088C	YDR159W
YOR244W	YPL004C
YGR092W	YJL005W
YJL154C	YKL171W
YLR097C	YMR303C
YBR212W	YPL037C
YHR082C	YKL197C
YHR198C	YML064C
YKR014C	YMR231W
YHR200W	YLR061W
YBR202W	YDL029W
YBR095C	YNL097C
YGL116W	YJL111W
YER177W	YPR080W
YDR251W	YJR059W
YHR029C	YJL146W
YBR177C	YJL153C
YDR318W	YJR112W
YDL203C	YGR058W
YEL002C	YML075C
YLR208W	YPR181C
YGL158W	YOR290C
YBR109C	YJL115W
YJR017C	YLR216C
YNR046W	YOL124C
YML131W	YOL154W
YDL029W	YMR109W
YCL043C	YDL095W
YBL072C	YNL055C
YKL207W	YML048W
YDR124W	YPR049C
YKL104C	YMR213W
YJR077C	YLR259C
YAR007C	YBR215W
YER089C	YPL061W
YGR055W	YML016C
YGR065C	YGR130C
YDR130C	YHL034C
YKL139W	YLR438W
YNL027W	YPL141C
YDL097C	YPL082C
YER177W	YOR220W
YJL164C	YKL171W
YHR114W	YLR078C
YIL133C	YOL041C
YDL015C	YJL117W
YFR004W	YLR043C
YLR237W	YML132W
YJR059W	YKR092C
YBR069C	YPR198W
YCR016W	YGL213C
YCL009C	YKL010C
YDR264C	YJR040W
YKL104C	YPR110C
YBL030C	YLR203C
YJL061W	YMR153W
YDR080W	YGL025C
YDR342C	YKL203C
YAL035W	YBR084W
YDR142C	YGR077C
YMR264W	YOR045W
YHR007C	YHR190W
YDR130C	YGL093W
YKL214C	YMR004W
YDL008W	YOR249C
YHL034C	YIL129C
YBR154C	YER139C
YHR200W	YPL240C
YHR102W	YIL129C
YBL039C	YDL055C
YGL158W	YGR276C
YDL239C	YGL075C
YBR298C	YMR279C
YKL145W	YOR362C
YDL097C	YDR427W
YDL222C	YHR094C
YIR014W	YNL118C
YDR189W	YIL107C
YFL017W-A	YMR213W
YGL181W	YNL243W
YIL152W	YJR092W
YGL181W	YGR241C
YJL042W	YOL069W
YMR072W	YPL082C
YAL028W	YLR378C
YNL118C	YOR093C
YCR088W	YNL138W
YGL203C	YPR067W
YBR250W	YNL012W
YHR090C	YOR244W
YHL003C	YOR223W
YJL059W	YLR022C
YGR237C	YML056C
YIL115C	YLR018C
YGR180C	YOL045W
YLR153C	YNL178W
YHL047C	YHR133C
YER125W	YHR200W
YJL057C	YML117W
YML057W	YPR115W
YJR053W	YNL238W
YIL113W	YNL138W
YAL013W	YPL082C
YGL030W	YPR016C
YER115C	YJL020C
YBR084W	YER036C
YGL055W	YKL088W
YJR109C	YKL104C
YLR423C	YOR357C
YKL029C	YOR181W
YEL013W	YFR035C
YJL061W	YOL069W
YMR117C	YOR156C
YBR207W	YGL203C
YKL203C	YMR011W
YBL007C	YPR030W
YBR114W	YJR052W
YML010W	YOL145C
YDL165W	YKL166C
YKL103C	YOL082W
YDR100W	YGR177C
YDR386W	YNL061W
YGL158W	YLL057C
YDL130W-A	YDL181W
YBL084C	YPR056W
YDR335W	YGL003C
YGL059W	YLR003C
YHR200W	YNL055C
YML132W	YOR192C
YHR027C	YJL001W
YMR129W	YPR080W
YER120W	YHR027C
YAL024C	YPR145W
YER035W	YPL004C
YIL033C	YNL027W
YBR059C	YML014W
YER038C	YIR002C
YJL081C	YML041C
YHR156C	YOR156C
YDR118W	YMR134W
YLR370C	YNL138W
YKL035W	YPL240C
YDR128W	YER182W
YDR100W	YDR479C
YCR024C	YER125W
YKL203C	YNL135C
YGR284C	YLR378C
YDL047W	YGR184C
YAR007C	YLR086W
YDR300C	YGR092W
YHR027C	YLL050C
YLR304C	YMR246W
YOR027W	YPL240C
YGR241C	YLL017W
YGL161C	YHR105W
YBL003C	YBR202W
YBL084C	YLR005W
YMR246W	YPL206C
YDL213C	YJR144W
YDL101C	YHR185C
YKL079W	YPR049C
YFL037W	YNL212W
YJR059W	YMR081C
YIL034C	YOR181W
YNL002C	YPL141C
YBR200W	YDR306C
