YMR207C	YNR016C
YIL135C	YMR139W
YER125W	YHR135C
YOR261C	YPR103W
YCR021C	YJL151C
YER174C	YOL016C
YKL104C	YKL211C
YLR009W	YNL061W
YAL017W	YOL045W
YCR072C	YPR016C
YDL028C	YMR114C
YJL052W	YOL013C
YIL118W	YKL130C
YER018C	YPR083W
YBL072C	YPL012W
YGL106W	YLR274W
YER018C	YHR058C
YBR159W	YIL005W
YFR004W	YMR314W
YGR105W	YML012W
YDR424C	YGL153W
YCR073C	YMR117C
YIL075C	YOL117W
YER177W	YPR030W
YPL218W	YPR181C
YJL128C	YMR319C
YCR012W	YGL137W
YKR081C	YOR294W
YIL046W	YML082W
YKL095W	YPL151C
YML029W	YMR173W
YGR092W	YJL005W
YLR097C	YMR303C
YBL050W	YPL232W
YGL073W	YKL062W
YER126C	YGL237C
YDL140C	YNL251C
YMR202W	YNL280C
YDR466W	YLR196W
YDL140C	YMR125W
YBR225W	YJL095W
YHR167W	YJR032W
YER021W	YOR128C
YGL116W	YJL111W
YER177W	YPR080W
YDR251W	YJR059W
YJL095W	YPL012W
YJL013C	YPL209C
YDR318W	YJR112W
YGL234W	YHR027C
YGR103W	YMR290C
YGL134W	YJL165C
YLR208W	YPR181C
YML064C	YOR373W
YEL009C	YHR041C
YLL008W	YPL211W
YDL029W	YMR109W
YDR155C	YIL112W
YGR183C	YNL197C
YDR124W	YPR049C
YDL215C	YLL001W
YGR013W	YPL178W
YER013W	YPR101W
YBR031W	YBR142W
YJR145C	YMR290C
YDL097C	YPL082C
YGL025C	YHR041C
YER177W	YOR220W
YDL200C	YGL137W
YBL072C	YJR145C
YLR208W	YNL307C
YFR022W	YNL307C
YHR114W	YLR078C
YHR169W	YPR121W
YHR016C	YPL249C
YFR004W	YLR043C
YGL106W	YMR304W
YDR032C	YHR135C
YJL187C	YJR082C
YGR235C	YJL164C
YDL028C	YDL203C
YDR256C	YOL045W
YDR264C	YJR040W
YGL209W	YNL197C
YKL104C	YPR110C
YEL015W	YPR080W
YKL068W	YMR308C
YBR170C	YKL213C
YJL106W	YMR165C
YDR328C	YLR399C
YBL007C	YLR337C
YDR080W	YGL025C
YJL164C	YKR094C
YHR206W	YIL147C
YDR142C	YPL226W
YDR060W	YLL034C
YDR142C	YGR077C
YKL214C	YMR004W
YAL028W	YLR233C
YFL002C	YKL172W
YCL054W	YKR081C
YJL095W	YNL001W
YHL034C	YIL129C
YBR152W	YLL036C
YDR247W	YKL193C
YER125W	YGR052W
YKL210W	YOR339C
YKL064W	YPL203W
YHR102W	YIL129C
YER086W	YKL029C
YDR170C	YER100W
YGR103W	YOR039W
YHR134W	YKL172W
YDL239C	YGL075C
YBR298C	YMR279C
YBL043W	YMR117C
YDL212W	YJR015W
YJR144W	YPL055C
YLR029C	YPL131W
YLL008W	YOR231W
YDL222C	YHR094C
YHR135C	YKL093W
YBR207W	YPL203W
YKL008C	YMR215W
YIL152W	YJR092W
YNL047C	YPL231W
YFR017C	YNL197C
YGL105W	YLR138W
YLL034C	YPL043W
YER002W	YLR009W
YBR080C	YIL004C
YGR225W	YKL022C
YLR248W	YPR091C
YMR072W	YPL082C
YHR161C	YMR183C
YDR477W	YLR265C
YIL034C	YLR196W
YER105C	YML031W
YAL028W	YLR378C
YKL127W	YOL045W
YDR028C	YGR252W
YER177W	YFR017C
YDR171W	YGL120C
YBR200W	YKR001C
YKR035W-A	YML065W
YJL059W	YLR022C
YHR169W	YKL075C
YDR207C	YIL084C
YDR155C	YNL030W
YFR037C	YOR116C
YML048W	YPL076W
YBR221C	YFR004W
YAR007C	YCR092C
YEL017C-A	YNL194C
YDL028C	YJR112W
YBL007C	YBR205W
YDR276C	YJL117W
YER125W	YHR200W
YJL057C	YML117W
YML057W	YPR115W
YJL222W	YML048W
YKL049C	YOR116C
YBL093C	YGR104C
YAL013W	YPL082C
YDR060W	YHR066W
YGL053W	YML029W
YLL034C	YLR449W
YLL026W	YOL111C
YIL124W	YJL151C
YDR307W	YKL065C
YNL197C	YOR147W
YKL029C	YOR181W
YJR046W	YML065W
YOR157C	YPR103W
YKL064W	YLR138W
YCR073C	YMR165C
YDR486C	YLR181C
YIL139C	YPL194W
YHR139C	YPL026C
YLL008W	YMR216C
YBL007C	YPR030W
YFR004W	YGL054C
YBR289W	YKR001C
YER126C	YMR290C
YJR045C	YLR362W
YMR153W	YOL016C
YDL165W	YKL166C
YDL212W	YHR140W
YAR007C	YOR304W
YLR278C	YLR442C
YKL103C	YOL082W
YCL027W	YLR117C
YDR335W	YGL003C
YBR031W	YPL012W
YLL028W	YLR221C
YOR347C	YPL203W
YER021W	YOL018C
YAR031W	YDL054C
YBR159W	YFL062W
YBR207W	YER021W
YER126C	YHR066W
YGR161C	YMR299C
YJR007W	YPL237W
YBL002W	YPR161C
YER035W	YPL004C
YLR191W	YNL025C
YBR031W	YKR081C
YER038C	YIR002C
YCR042C	YKR002W
YLR407W	YOR294W
YAR019C	YCL035C
YDL029W	YFL039C
YDR293C	YMR105C
YBR159W	YHR026W
YHR135C	YPR083W
YBR159W	YLR083C
YDR300C	YGR092W
YDL025C	YGR103W
YIL171W	YML002W
YHR027C	YLL050C
YDR477W	YMR102C
YGL137W	YML012W
YBL002W	YDR110W
YGR241C	YLL017W
YGL161C	YHR105W
YDR060W	YGR085C
YER020W	YOR371C
YBR205W	YDR170C
YDL213C	YJR144W
YHR021C	YOR117W
YDL147W	YPR103W
YEL037C	YHR200W
YAL014C	YMR197C
YBL087C	YPL208W
YCR077C	YDL165W
YDR110W	YML064C
YGL161C	YJL095W
YML065W	YPR016C
YFL039C	YKL196C
YIL034C	YOR181W
YEL037C	YHR027C
YDL149W	YNL242W
YDR424C	YKR054C
YBR200W	YDR306C
YFL048C	YOR316C
YFR024C-A	YPR081C
YGR074W	YLR275W
YFR001W	YKL130C
YIL084C	YKL185W
YIL002C	YKL166C
YML065W	YMR194W
YIL046W	YJL187C
YER157W	YKL196C
YKR081C	YMR049C
YKR009C	YOL147C
YDR168W	YJL165C
YDL147W	YER021W
YBR188C	YLR117C
YHR094C	YKL065C
YJR066W	YKR034W
YBR093C	YGR282C
YBR102C	YBR200W
YMR290C	YPL131W
YNL197C	YPR129W
YGR013W	YPR182W
YGR013W	YKL173W
YLR002C	YLR029C
YGR241C	YHR016C
YKL173W	YLL036C
YBR295W	YIL030C
YDR335W	YLR335W
YLR312C	YOL088C
YGR268C	YHL002W
YNL014W	YOR117W
YJL164C	YOR134W
YAL016W	YPL152W
YDL037C	YNL197C
YER021W	YHR200W
YGL105W	YJL187C
YHR058C	YNL236W
YMR008C	YNL197C
YNL025C	YNL236W
YHR137W	YLR278C
YML031W	YPL177C
YJR059W	YML031W
YEL030W	YKL191W
YDR477W	YNL257C
YJR091C	YKL204W
YDR384C	YNR060W
YJR066W	YMR183C
YDL212W	YDR307W
YAL053W	YCR030C
YDR456W	YNR056C
YFR015C	YGL134W
YDR207C	YOR337W
YGL060W	YLR191W
YAL051W	YPR169W
YLR006C	YNR031C
YLL008W	YNL002C
YFL002C	YNL002C
YHR058C	YOL051W
YDR324C	YOL108C
YDL020C	YHR200W
YER032W	YMR117C
YGL120C	YPL055C
YLL028W	YNL197C
YBL030C	YER182W
YHR033W	YOR212W
YIL143C	YOL090W
YCR093W	YDR293C
YJL033W	YLR043C
YDL214C	YJL051W
YER059W	YLR079W
YKR099W	YNL197C
YDR244W	YNL329C
YCR030C	YKL049C
YAL032C	YLR187W
YCR030C	YNR047W
YNL061W	YPL211W
YNL197C	YPL188W
YBL007C	YOR109W
YAL013W	YKL185W
YDR383C	YKL049C
YFL038C	YPR017C
YBR159W	YNL279W
YHR027C	YMR145C
YFR004W	YPL192C
YGL012W	YMR215W
YJL164C	YNL125C
YBR207W	YHR094C
YKL018W	YLR015W
YBR167C	YLR145W
YML096W	YOL016C
YKL166C	YPL056C
YJL187C	YPR139C
YBR086C	YHR135C
YBR142W	YDR170C
YGR095C	YOL142W
YGR295C	YLR343W
YCR092C	YPL055C
YBR105C	YOR151C
YER020W	YNL197C
YIL027C	YJL117W
YAR027W	YLR214W
YFR009W	YHL039W
YCR038C	YIL140W
YGL011C	YKR070W
YKL172W	YML065W
YBR031W	YDR496C
YJL189W	YML065W
YAR019C	YJL095W
YMR055C	YNL335W
YGR270W	YMR049C
YKL028W	YLR167W
YHR066W	YMR290C
YEL009C	YOL148C
YDR265W	YMR026C
YLR011W	YOR028C
YHL029C	YNL197C
YFL039C	YLR337C
YEL009C	YGL201C
YEL061C	YMR124W
YLL008W	YLR002C
YDR034C	YHR077C
YLL034C	YPL211W
YCR077C	YKL054C
YBR157C	YGL075C
YJR097W	YNL092W
YLR009W	YMR290C
YOL059W	YOR117W
YDR080W	YGR013W
YDR288W	YLR007W
YER013W	YMR125W
YBR159W	YFR004W
YDR063W	YFL039C
YBR107C	YDR318W
YHR027C	YPR108W
YNL175C	YPL220W
YBR020W	YPL248C
YHR096C	YLL028W
YBL047C	YJR134C
YHL002W	YMR109W
YBL002W	YPL047W
YGL141W	YJR059W
YAL013W	YBR095C
YBL007C	YGR227W
YGL234W	YKL166C
YIL106W	YPR191W
YNL197C	YOR058C
YIL147C	YOL113W
YGL206C	YGR241C
YER034W	YHR135C
YJR066W	YMR011W
YJL165C	YMR153W
YEL013W	YFL039C
YFL038C	YHR027C
YDR479C	YLR324W
YKL064W	YNL307C
YBR136W	YIR009W
YHL011C	YOR133W
YGL087C	YOL081W
YDR060W	YPL131W
YFR004W	YHR200W
YDL097C	YFR004W
YDR011W	YPR156C
YIL115C	YMR308C
YFR004W	YJL052W
YFL039C	YOR117W
YAL032C	YER013W
YFR004W	YMR202W
YHR200W	YNL239W
YKR034W	YNL229C
YAL027W	YER049W
YER032W	YHR114W
YHR174W	YKL049C
YFL002C	YMR290C
YHR027C	YMR099C
YDL029W	YLR337C
YER126C	YPL131W
YCL010C	YGR252W
YMR125W	YPR182W
YMR047C	YNL078W
YER126C	YLR009W
YGL023C	YNL183C
YCR012W	YOR117W
YKL049C	YPL086C
YNL162W	YOL097C
YBL097W	YHL002W
YIL004C	YLR093C
YKL206C	YPR103W
YGL003C	YJL106W
YCR061W	YNL197C
YHR023W	YKL049C
YMR314W	YPR103W
YFR024C-A	YJL004C
YDL021W	YKL214C
YBL047C	YOL016C
YML065W	YPL220W
YBR173C	YLR199C
YNL061W	YPL217C
YER040W	YNL229C
YDR041W	YJR113C
YEL013W	YOR316C
YDL171C	YFR004W
YER002W	YGR103W
YDR439W	YER106W
YGL234W	YOR117W
YDR022C	YJL165C
YDL222C	YHL016C
YCL054W	YPR161C
YGL137W	YIL136W
YFR004W	YLR060W
YDR496C	YLR029C
YER126C	YKL172W
YML029W	YNL294C
YHR027C	YOR374W
YBR200W	YLR362W
YEL017C-A	YML048W
YFR004W	YIL133C
YGR074W	YNL092W
YHR135C	YIL115C
YJL013C	YJL030W
YNL175C	YPL043W
YCR077C	YGL173C
YOL091W	YOR373W
YMR109W	YOR181W
YFR017C	YPL203W
YLR396C	YMR197C
YGR275W	YMR131C
YAR027W	YHR048W
YMR077C	YPL065W
YJL164C	YNR019W
YNL244C	YPL028W
YJR086W	YOR212W
YBL002W	YNL030W
YDR328C	YOR057W
YJR091C	YLR156W
YDR308C	YGL025C
YDL213C	YNL061W
YDL214C	YMR165C
YER125W	YJL164C
YKL049C	YPR091C
YBL101C	YER177W
YHR016C	YMR109W
YPL248C	YPR086W
YAL038W	YPR129W
YGR092W	YMR165C
YDL028C	YNL116W
YGR092W	YLL008W
YML057W	YPR108W
YDR122W	YGR097W
YOR294W	YPL180W
YOR151C	YPL137C
YBR152W	YPR178W
YEL037C	YER021W
YER021W	YGL004C
YHR027C	YOR117W
YBR234C	YEL037C
YBL007C	YOR008C
YCR035C	YOR076C
YER054C	YJL164C
YLR153C	YOR117W
YCR093W	YDR378C
YLR117C	YPR101W
YJL146W	YPL154C
YKL172W	YNL061W
YDR264C	YOL018C
YGL189C	YML065W
YJL164C	YLR173W
YBR035C	YDL214C
YDR285W	YKL166C
YER062C	YKL069W
YGL172W	YJL057C
YAL032C	YNL078W
YBL072C	YFR004W
YKR104W	YLR214W
YFR004W	YNL141W
YKL058W	YML015C
YAL038W	YHR027C
YML012W	YPR181C
YDR168W	YGR123C
YCR077C	YKL173W
YBR105C	YIL097W
