YDR143C	YER068W
YDL060W	YNL207W
YCR021C	YJL151C
YDR477W	YLR132C
YKL104C	YKL211C
YMR121C	YPR143W
YLR009W	YNL061W
YGR252W	YOR290C
YCR072C	YPR016C
YKL126W	YNR047W
YLR113W	YNL236W
YDL028C	YMR114C
YFR004W	YFR052W
YDR409W	YLR303W
YJL164C	YKL079W
YER133W	YLR002C
YCR072C	YER006W
YIR026C	YPR029C
YBR103W	YCR033W
YBL072C	YPL012W
YEL034W	YIL148W
YDR099W	YDR348C
YDR481C	YNL006W
YIR037W	YLR216C
YDR059C	YPL037C
YIL075C	YOL117W
YBR142W	YNL110C
YER177W	YPR030W
YPL218W	YPR181C
YDR145W	YIL129C
YER036C	YKL180W
YMR029C	YMR052W
YML085C	YNL223W
YLR113W	YLR248W
YJL164C	YNL182C
YBR212W	YPL037C
YBL050W	YPL232W
YER126C	YGL237C
YDR427W	YER012W
YER177W	YPR152C
YFR010W	YLR246W
YDR097C	YIR002C
YHR198C	YML064C
YBR234C	YNL040W
YDL207W	YKL068W
YDR129C	YNL135C
YNL230C	YPL004C
YDR225W	YOR005C
YHR170W	YOR351C
YBR126C	YDR074W
YGR224W	YLR080W
YHR029C	YJL146W
YDL220C	YLR233C
YGR103W	YMR290C
YHR124W	YOR181W
YDL153C	YHR082C
YGL134W	YJL165C
YCL024W	YKL181W
YHR066W	YKL021C
YLR208W	YPR181C
YJL010C	YMR290C
YDR440W	YLR429W
YHL018W	YNL207W
YCR093W	YOL133W
YDR124W	YPR049C
YDR192C	YPL093W
YER103W	YGR192C
YLR350W	YMR272C
YJR145C	YMR290C
YBL072C	YJR145C
YJL164C	YKL171W
YHL033C	YKR002W
YDR312W	YJL164C
YLR208W	YNL307C
YFR022W	YNL307C
YHR169W	YPR121W
YHR016C	YPL249C
YDL015C	YJL117W
YBR208C	YOL133W
YFR004W	YLR043C
YJR059W	YKR092C
YHR010W	YMR086W
YLR310C	YPL038W
YGR235C	YJL164C
YDL028C	YDL203C
YBR160W	YDR027C
YGL179C	YMR304W
YKL068W	YMR308C
YBR170C	YKL213C
YBL087C	YFR034C
YDL208W	YDL213C
YML008C	YNL280C
YJL106W	YMR165C
YBR056W	YFR004W
YDL168W	YNL061W
YBR194W	YPR152C
YGL245W	YOR014W
YAL035W	YBR084W
YDR142C	YPL226W
YCL056C	YDR142C
YBR171W	YJL034W
YER148W	YPL254W
YAL028W	YLR233C
YDR043C	YDR477W
YJL052W	YLL060C
YER103W	YOR304W
YDL164C	YDR100W
YDR252W	YGR134W
YHL034C	YIL129C
YLR044C	YNL127W
YDR247W	YKL193C
YER125W	YGR052W
YGL112C	YMR236W
YDR170C	YER100W
YHR193C	YKL180W
YDL239C	YGL075C
YDR129C	YMR246W
YBR298C	YMR279C
YKL145W	YOR362C
YLL008W	YOR231W
YIR014W	YNL118C
YJL010C	YPL012W
YDL031W	YNL207W
YFR034C	YML085C
YER148W	YPL235W
YGL105W	YLR138W
YER133W	YKL203C
YGR225W	YKL022C
YGL066W	YGR252W
YLR248W	YPR091C
YDR477W	YLR265C
YAL028W	YLR378C
YGL075C	YIL056W
YBL105C	YIL143C
YBR160W	YPR030W
YDR145W	YKL125W
YFR037C	YOR116C
YDR330W	YGR003W
YBR221C	YFR004W
YIL061C	YMR080C
YCL054W	YER133W
YDL155W	YNL076W
YKL021C	YNL061W
YDL207W	YDR192C
YCR012W	YLR044C
YDR276C	YJL117W
YER125W	YHR200W
YJL057C	YML117W
YKL145W	YOR259C
YKL049C	YOR116C
YBL002W	YER030W
YBR084W	YER036C
YJR109C	YKL104C
YHR082C	YKL049C
YIL124W	YJL151C
YLR423C	YOR357C
YJR046W	YML065W
YER068W	YIL038C
YER179W	YNR016C
YDR016C	YGL061C
YKL064W	YLR138W
YDR486C	YLR181C
YHR139C	YPL026C
YLL008W	YMR216C
YDR099W	YLR177W
