YPL115C	YPL161C
YDR212W	YLL019C
YDR477W	YOR027W
YJR047C	YPL141C
YMR004W	YPL031C
YGL120C	YGR220C
YKL104C	YKL211C
YBL032W	YCL028W
YML001W	YOL112W
YAL017W	YOL045W
YFR027W	YOL094C
YBR221C	YML059C
YDL028C	YMR114C
YDR356W	YPL255W
YDR423C	YGL158W
YDR259C	YHR082C
YDR021W	YLR248W
YAL038W	YPL031C
YBL072C	YPL012W
YGL158W	YHR185C
YLL004W	YPR162C
YDR283C	YER172C
YLL023C	YPR028W
YGR105W	YML012W
YAL011W	YLR085C
YIL075C	YOL117W
YER177W	YPR030W
YDL014W	YPR143W
YER036C	YKL180W
YCR012W	YGL137W
YBL032W	YBR215W
YKL095W	YPL151C
YJL164C	YNL182C
YLR097C	YMR303C
YBR193C	YLR071C
YBR212W	YPL037C
YGL073W	YKL062W
YDR225W	YDR510W
YER177W	YPR152C
YFR010W	YLR246W
YHR082C	YKL197C
YBL032W	YKL198C
YDL140C	YNL251C
YMR202W	YNL280C
YDL207W	YKL068W
YDR381W	YER063W
YDR466W	YLR196W
YDL140C	YMR125W
YML095C	YPL022W
YBR202W	YDL029W
YDR225W	YOR005C
YBR095C	YNL097C
YBR126C	YDR074W
YER177W	YPR080W
YNL251C	YOR001W
YJR011C	YLR368W
YMR233W	YOL006C
YHR083W	YNL026W
YDR318W	YJR112W
YDR510W	YER047C
YJR132W	YML085C
YNL197C	YOR149C
YDR175C	YOR158W
YDR190C	YGR086C
YEL002C	YML075C
YDR311W	YKL028W
YGL134W	YJL165C
YGL158W	YOR290C
YDR510W	YPR133C
YLR430W	YMR125W
YER026C	YPL274W
YGL172W	YKL057C
YAL005C	YBR115C
YML131W	YOL154W
YDL029W	YMR109W
YAL029C	YMR139W
YBL072C	YNL055C
YGR183C	YNL197C
YDR124W	YPR049C
YNL121C	YOL045W
YDR510W	YML041C
YER089C	YPL061W
YDR498C	YLR440C
YDR130C	YHL034C
YJR145C	YMR290C
YKL203C	YOR035C
YER177W	YOR220W
YDL200C	YGL137W
YBL072C	YJR145C
YDR130C	YLR340W
YLR208W	YNL307C
YHR114W	YLR078C
YDL015C	YJL117W
YDR032C	YHR135C
YBR069C	YPR198W
YHR135C	YOR344C
YCR061W	YNR066C
YLR310C	YPL038W
YDR244W	YML042W
YGR235C	YJL164C
YDR256C	YOL045W
YGL209W	YNL197C
YMR001C	YOR372C
YCL059C	YGL201C
YGL179C	YMR304W
YBR170C	YKL213C
YBL032W	YIL023C
YML008C	YNL280C
YJL106W	YMR165C
YDR328C	YLR399C
YER091C	YMR049C
YDR080W	YGL025C
YDR252W	YJR011C
YJL164C	YKR094C
YBR056W	YFR004W
YAL005C	YFR019W
YDR342C	YKL203C
YIL035C	YPR143W
YFR014C	YNL218W
YNL092W	YOR159C
YJR145C	YNL132W
YBL032W	YER086W
YDL155W	YGR086C
YDR064W	YHR027C
YDR043C	YDR477W
YJL052W	YLL060C
YHL034C	YIL129C
YMR049C	YMR229C
YKL014C	YOL127W
YAL005C	YPL106C
YJR145C	YNL055C
YMR001C	YPL192C
YKL068W	YNL189W
YBR298C	YMR279C
YBR109C	YDL028C
YDL212W	YJR015W
YCR093W	YOR209C
YDL222C	YHR094C
YGL146C	YOR005C
YNL044W	YNL189W
YLR427W	YPL031C
YML131W	YPL001W
YFR017C	YNL197C
YIL035C	YLR079W
YGL181W	YGR241C
YBR225W	YPL204W
YGR132C	YJL183W
YGL076C	YMR142C
YBR036C	YPR198W
YJL042W	YOL069W
YBL032W	YGR021W
YBR080C	YIL004C
YDR510W	YJL140W
YDR510W	YPL011C
YLR248W	YPR091C
YMR072W	YPL082C
YBL023C	YLL004W
YHR161C	YMR183C
YDR477W	YLR265C
YER086W	YML085C
YIL151C	YPL204W
YKL127W	YOL045W
YCR061W	YIL134W
YAL035W	YJR123W
YCR088W	YNL138W
YEL054C	YLR097C
YAL005C	YOR027W
YBL032W	YPL011C
YER177W	YFR017C
YFL008W	YLR086W
YGL202W	YHR200W
YHR027C	YOR326W
