YDR143C	YER068W
YER125W	YHR135C
YCR021C	YJL151C
YIR010W	YJR009C
YCL035C	YMR059W
YBR160W	YJL076W
YER103W	YGR128C
YDR145W	YGL158W
YDR383C	YIR010W
YDL028C	YMR114C
YFR004W	YFR052W
YIL118W	YKL130C
YJL164C	YKL079W
YGL091C	YIL129C
YDR423C	YGL158W
YGL191W	YLL039C
YIR038C	YKL008C
YGR238C	YHR158C
YAL038W	YPL031C
YGL158W	YHR185C
YER151C	YLR208W
YDR283C	YER172C
YFR004W	YOL038W
YNR051C	YPL061W
Q0085	YDL004W
YIR037W	YLR216C
YFR004W	YMR314W
YGR105W	YML012W
YAL011W	YLR085C
YDL126C	YDL190C
YIL075C	YOL117W
YPL218W	YPR181C
YDR100W	YJL178C
YDR145W	YIL129C
YOR054C	YOR061W
YDR060W	YOR206W
YNL125C	YNL130C
YBL007C	YDL206W
YMR029C	YMR052W
YGL158W	YOR018W
YML048W	YML123C
YDR224C	YKL103C
YJR032W	YNL330C
YGR026W	YPL031C
YDL088C	YDR159W
YGR092W	YJL005W
YJL154C	YKL171W
YDR225W	YDR510W
YML123C	YOR016C
YER177W	YPR152C
YHR082C	YKL197C
YHR198C	YML064C
YLR419W	YMR117C
YKR014C	YMR231W
YDR337W	YMR188C
YDR381W	YER063W
YER021W	YOR128C
YDR225W	YOR005C
YBR095C	YNL097C
YDR224C	YDR227W
YER177W	YPR080W
YCL011C	YLL045C
YMR081C	YPL203W
YLL039C	YOR014W
YDR318W	YJR112W
YJL164C	YJL218W
YGL075C	YMR111C
YIR010W	YLR430W
YDR224C	YLL039C
YLR208W	YPR181C
YIR010W	YOL051W
YDR388W	YPR110C
YDR043C	YOR061W
YDL087C	YML049C
YLR238W	YMR052W
YGR183C	YNL197C
YER103W	YGR192C
YER089C	YPL061W
YDR145W	YMR227C
YGR065C	YGR130C
YGL003C	YPR119W
YDR130C	YHL034C
YBL003C	YER092W
YML058W	YNL291C
YGR059W	YLR314C
YKL203C	YOR035C
YER177W	YOR220W
YJL164C	YKL171W
YJL081C	YLR399C
YLR208W	YNL307C
YGL229C	YLL022C
YDL015C	YJL117W
YBR208C	YOL133W
Q0085	YKL016C
YBL003C	YBL052C
YJR059W	YKR092C
YDR032C	YHR135C
YHR135C	YOR344C
YLR310C	YPL038W
YFR004W	YHR098C
YCL009C	YKL010C
YLR275W	YPR082C
YMR001C	YOR372C
YBR170C	YKL213C
YEL011W	YLL039C
YGR284C	YNL197C
YBL007C	YLR337C
YDR252W	YJR011C
YBR056W	YFR004W
YCR030C	YHR107C
YDR342C	YKL203C
YBR010W	YNL030W
YCL056C	YDR142C
YDR224C	YIL126W
YFR014C	YNL218W
YDR142C	YGR077C
YMR264W	YOR045W
YNL092W	YOR159C
YDL155W	YGR086C
YAL028W	YLR233C
YFR004W	YOR168W
YHR197W	YLR449W
YAR007C	YIR010W
YOR132W	YPR171W
YHL034C	YIL129C
YNL015W	YOR168W
YDR381W	YML065W
YLL039C	YLR039C
YER125W	YGR052W
YBR035C	YLL039C
YER151C	YJR045C
YNL030W	YPR052C
YMR001C	YPL192C
YKL068W	YNL189W
YDL239C	YGL075C
YBR109C	YDL028C
YDR283C	YKL173W
YIR014W	YNL118C
YBR010W	YNL054W
YBR207W	YPL203W
YGR105W	YPR036W
YNL044W	YNL189W
YDL140C	YLR115W
YLR427W	YPL031C
YIL152W	YJR092W
YGL215W	YPL031C
YBR160W	YOR066W
YER098W	YOR267C
YER133W	YKL203C
YGR132C	YJL183W
YGR225W	YKL022C
YDR510W	YPL011C
YHR161C	YMR183C
YDR071C	YER151C
YDL084W	YDR510W
YBR160W	YNL042W
YDL175C	YPR191W
YNL118C	YOR093C
YGL077C	YPL058C
YDR381W	YLL039C
YBL016W	YHR084W
YDR028C	YGR252W
YHL002W	YIL156W
YDL139C	YOL091W
YBR200W	YKR001C
YDR388W	YMR205C
YGR284C	YOR016C
YHR007C	YLL039C
YHL003C	YOR223W
YHR161C	YNL020C
YDL145C	YNL258C
YIL051C	YKL142W
YLL039C	YLR153C
YAL038W	YER151C
YKR085C	YML065W
YBL003C	YGR252W
YCL032W	YNL090W
YHR205W	YPL031C
YOR106W	YPL045W
YDR510W	YLL032C
YDL155W	YNL076W
YDL028C	YJR112W
YDL006W	YPL031C
YLL039C	YOL081W
YLR075W	YML065W
YLL045C	YNL112W
YDR276C	YJL117W
YCR046C	YNL177C
YJR095W	YLL039C
YML057W	YPR115W
YJL222W	YML048W
YML016C	YPL058C
YIL126W	YPR034W
YJL176C	YPR034W
YIL113W	YNL138W
YGL059W	YOL070C
YHR035W	YPR119W
YDR060W	YHR066W
YIR010W	YPR129W
YHR082C	YKL049C
YGL008C	YLL039C
YKR002W	YNL189W
YLL026W	YOL111C
YBR123C	YGR252W
YIL124W	YJL151C
YNL197C	YOR147W
YKL029C	YOR181W
YDL012C	YFR047C
YDR323C	YPL031C
YBR059C	YHR161C
YGL142C	YML012W
YLL039C	YOL087C
YIL139C	YPL194W
YGL140C	YKL117W
YHR135C	YPR019W
YDR099W	YLR177W
YAL038W	YNR051C
YML015C	YPL011C
YFR004W	YGL054C
YBR289W	YKR001C
YML010W	YOL145C
YIL125W	YKL198C
YDR510W	YLR314C
YLR430W	YNL073W
YKL049C	YNL246W
YJR009C	YKL010C
YCL011C	YMR216C
YBL084C	YPR056W
YDR335W	YGL003C
YGL059W	YLR003C
YLL028W	YLR221C
YBR169C	YKL049C
YIL077C	YPL031C
YBR196C	YER151C
YOR347C	YPL203W
YBL039C	YGL137W
YBR207W	YER021W
YMR129W	YPR080W
YGR161C	YMR299C
YKL129C	YPL038W
YFR052W	YIL075C
YER151C	YOR206W
YGL059W	YLL028W
YBR160W	YML119W
YER035W	YPL004C
YDL007W	YLL039C
YDL125C	YDR388W
Q0130	YLR393W
YBR059C	YML014W
YAR031W	YBR069C
YHR001W-A	YLL039C
YDL012C	YHR140W
YCR042C	YKR002W
YDR118W	YMR134W
YLR370C	YNL138W
YAR019C	YCL035C
YDR077W	YDR143C
YDR195W	YML010W
YDR100W	YDR479C
YGL092W	YMR047C
YDR293C	YMR105C
YFR021W	YFR040W
YDR456W	YGL008C
YJR065C	YLR429W
YBL003C	YIL126W
YGL002W	YOR016C
YIR010W	YOR267C
YGL137W	YML012W
YMR196W	YPL042C
YCR086W	YDR247W
YLR148W	YMR197C
YGL161C	YHR105W
YDR052C	YMR001C
YBL045C	YNL177C
YEL034W	YNR051C
YLR268W	YOL111C
YKR014C	YOR375C
YAL014C	YMR197C
YOL005C	YPL203W
YKL079W	YPR049C
YHL019C	YKL135C
YJR059W	YMR081C
YIL034C	YOR181W
YMR041C	YOL100W
YFR004W	YNL302C
YGL137W	YHR018C
YHL025W	YNR023W
YBR041W	YMR313C
YIL126W	YLR357W
YBR200W	YDR306C
YFL048C	YOR316C
YFR024C-A	YPR081C
YDR088C	YHR023W
YDR381W	YDR510W
YGL190C	YHR082C
YKL203C	YPL249C
YBR260C	YHR107C
YKL203C	YMR183C
YFR024C-A	YMR192W
YDR099W	YGL252C
YFR004W	YNL044W
YNL118C	YOL149W
YKL135C	YLR330W
YBL041W	YGR253C
YIR011C	YNL189W
YHR205W	YMR196W
YCR086W	YDL089W
YHR209W	YLL039C
YBR188C	YLR117C
YAL038W	YDR130C
YIR010W	YNL172W
YHR135C	YNL272C
YHR094C	YKL065C
YGL059W	YOR083W
YNL197C	YPR129W
YKL173W	YLL036C
YDL053C	YIL106W
YPL031C	YPR019W
YBR044C	YDL093W
YBR233W	YHR082C
YBL016W	YDL173W
YGL059W	YKR100C
YDR381W	YOR206W
YGR268C	YHL002W
YBR130C	YKL130C
YHR074W	YPL031C
YDL037C	YNL197C
YJL122W	YLR074C
YDR026C	YPL174C
YLR028C	YNR034W
YIR010W	YOR061W
YBL017C	YMR010W
YJR022W	YMR205C
YAL009W	YJL176C
YDL025C	YHR082C
YGL137W	YJL153C
YBR044C	YIL126W
YLL039C	YNL180C
YDR381W	YNL088W
YHR140W	YNL044W
YJR091C	YKL204W
YMR139W	YMR205C
YDR032C	YML016C
YER161C	YLL022C
YNL197C	YOR288C
YIR010W	YNL059C
YDR150W	YDR247W
YAR042W	YGR192C
YJL143W	YPL173W
YHR082C	YOR107W
YER177W	YNL267W
YBL016W	YHL019C
YER155C	YPL210C
YIL159W	YMR032W
YHL030W	YOL133W
YER029C	YKL173W
YLL039C	YPR075C
YLR259C	YNR051C
YDL145C	YPL031C
YER128W	YFR014C
YDL195W	YOR061W
YBR160W	YLR210W
YDR145W	YHR023W
YKL013C	YNR035C
YJL014W	YLR259C
YGR250C	YPL210C
YGL077C	YML016C
YDL019C	YJL207C
YGL137W	YLR100W
YCL011C	YFR004W
YDL025C	YJL076W
YFR004W	YMR226C
YLL028W	YNL197C
YER120W	YGR086C
YER105C	YLL039C
YGL222C	YNL118C
YER151C	YLR048W
YDR381W	YPL169C
YIL143C	YOL090W
YHR140W	YOR016C
YER098W	YKL171W
YHR094C	YIR038C
YDR207C	YOR355W
YDL214C	YJL051W
YLL039C	YOR283W
YBR130C	YLL039C
YGR089W	YLL039C
YDL195W	YLR429W
YHR007C	YHR042W
YKL049C	YNL055C
YLL039C	YMR295C
YCR030C	YKL049C
YDL092W	YER151C
YIR010W	YMR100W
YLL039C	YMR054W
YCR030C	YNR047W
YDR499W	YGR218W
YNR022C	YPR119W
YBL007C	YOR109W
YDR383C	YKL049C
YDL171C	YLR075W
YDR100W	YGL137W
YIL143C	YOR352W
YFR004W	YPL192C
YJL164C	YNL125C
YBR207W	YHR094C
YBR282W	YML025C
YLR265C	YLR424W
YMR173W	YPL126W
YER133W	YMR140W
YDR224C	YPR052C
YHR152W	YLR132C
YFL022C	YLR060W
YHR135C	YNL055C
YER043C	YMR059W
YER125W	YKL023W
YBR105C	YOR151C
YHR135C	YLR125W
YDR298C	YKL016C
YPL031C	YPL118W
YDR225W	YOR141C
YJL189W	YML065W
YBR160W	YML091C
YGL051W	YJL106W
YJL164C	YLR003C
YKL060C	YNL127W
YDR388W	YML016C
YGR142W	YMR197C
YLL039C	YLR219W
YIL143C	YNL085W
YLR011W	YOR028C
YCR021C	YML016C
YKR024C	YLR233C
YDL007W	YIL075C
YBR160W	YER115C
YLR396C	YMR231W
YBR160W	YFR015C
