YJL218W	YLR291C
YJL092W	YOR281C
YEL002C	YKL008C
YDR167W	YDR392W
YHL047C	YHR079C
YDR477W	YOR027W
YLL039C	YLR113W
YMR004W	YPL031C
YDR477W	YLR132C
YDR507C	YMR086W
YBL032W	YCL028W
YDR320C	YJR135C
YCR028C-A	YKL114C
YDR145W	YGL158W
YKL126W	YNR047W
YDR392W	YOL148C
YLR113W	YNL236W
YBR221C	YML059C
YJL164C	YKL079W
YDR423C	YGL158W
YGL191W	YLL039C
YIR038C	YKL008C
YER133W	YLR002C
YDR259C	YHR082C
YDR257C	YJR059W
YIR026C	YPR029C
YGR119C	YNL189W
YEL034W	YIL148W
YFL007W	YLL039C
YCL028W	YNL288W
YDR392W	YLR113W
YDR059C	YNL031C
YNR051C	YPL061W
YBR159W	YIL005W
Q0085	YDL004W
YIR037W	YLR216C
YDR448W	YOR257W
YER159C	YOL012C
YER094C	YOR157C
YDR100W	YJL178C
YDR145W	YIL129C
YNL125C	YNL130C
YER012W	YMR116C
YBL032W	YBR215W
YDR224C	YKL103C
YJR032W	YNL330C
YLR113W	YLR248W
YDL088C	YDR159W
YGR092W	YJL005W
YGL073W	YKL062W
YBR122C	YOL027C
YHR082C	YKL197C
YHR198C	YML064C
YBL032W	YKL198C
YDL185W	YKL029C
YKR014C	YMR231W
YMR202W	YNL280C
YDL116W	YML103C
YDR381W	YER063W
YNL230C	YPL004C
YDL140C	YMR125W
YKL174C	YLL039C
YGL003C	YKL101W
YAR007C	YCR066W
YIR033W	YLL039C
YBR095C	YNL097C
YDR224C	YDR227W
YDR363W-A	YNL047C
YMR081C	YPL203W
YBR177C	YJL153C
YLR423C	YPR105C
YHR083W	YNL026W
YDR318W	YJR112W
YJL164C	YJL218W
YER012W	YGL048C
YBR049C	YDR510W
YDR224C	YLL039C
YEL002C	YML075C
YMR191W	YOR261C
YDR510W	YMR190C
YFL045C	YJL092W
YBR049C	YOR341W
YJR017C	YLR216C
YNR046W	YOL124C
YHR137W	YOR310C
YBL032W	YLR466W
YDL029W	YMR109W
YKL207W	YML048W
YGR183C	YNL197C
YDL215C	YLL001W
YKL104C	YMR213W
YJL187C	YNL272C
YER103W	YGR192C
YDR510W	YML041C
YAR007C	YBR215W
YDR145W	YMR227C
YDR224C	YML112W
YDR189W	YPR105C
YGR059W	YLR314C
YKL203C	YOR035C
YJL164C	YKL171W
YJL081C	YLR399C
YBR114W	YKR001C
YGR167W	YJL057C
Q0085	YKL016C
YDR457W	YNL031C
YKL101W	YNR006W
YBR069C	YPR198W
YCR061W	YNR066C
YDR448W	YGL066W
YBR160W	YDR027C
YJR135C	YLR315W
YBR103W	YDR227W
YGL209W	YNL197C
YPL012W	YPL216W
YLR275W	YPR082C
YBR170C	YKL213C
YBR114W	YLR044C
YKR027W	YLL039C
YJL106W	YMR165C
YEL071W	YKL103C
YLR330W	YMR116C
YBL032W	YML109W
YAL005C	YFR019W
YBR194W	YPR152C
YDR342C	YKL203C
YBL032W	YGL035C
YCL056C	YDR142C
YGR038W	YJL187C
YDL155W	YGR086C
YDR392W	YLR055C
YJL187C	YLR132C
YKL214C	YMR004W
YDR043C	YDR477W
YBR274W	YLR258W
YDL055C	YPR034W
YHL034C	YIL129C
YER133W	YJL130C
YBR152W	YLL036C
YBR194W	YIR006C
YLR044C	YNL127W
YLL039C	YLR039C
YDR247W	YKL193C
YER125W	YGR052W
YKL064W	YPL203W
YBR035C	YLL039C
YDR263C	YMR291W
YNL030W	YPR052C
YMR001C	YPL192C
YDR283C	YKL173W
YDR247W	YHL024W
YDR189W	YIL107C
YBR207W	YPL203W
YDL030W	YMR288W
YBL032W	YOR028C
YGR019W	YHR165C
YDL140C	YLR115W
YBL032W	YGR097W
YNL007C	YNL229C
YLR427W	YPL031C
YIL152W	YJR092W
YNL047C	YPL231W
YGL215W	YPL031C
YFR017C	YNL197C
YDL055C	YDR510W
YER133W	YKL203C
YGR132C	YJL183W
YDR510W	YJL140W
YDR510W	YPL011C
YLR248W	YPR091C
YBR160W	YNL042W
YCR088W	YNL138W
YGL203C	YPR067W
YAL005C	YOR027W
YDR381W	YLL039C
YBL032W	YPL011C
YBR239C	YNL197C
YDR016C	YDR201W
YDR171W	YGL120C
YBR200W	YKR001C
YJL059W	YLR022C
YCR077C	YDL065C
YHR079C	YNL097C
YHR205W	YPL031C
YJL084C	YMR032W
YDL140C	YGL070C
YBL032W	YCR066W
YDR424C	YIL095W
YDR394W	YEL037C
YEL034W	YPR173C
YGL158W	YGR223C
YBL032W	YHL044W
YOR106W	YPL045W
YFL039C	YLL039C
YBR289W	YMR043W
YDR510W	YLL032C
YBR122C	YPL132W
YDL028C	YJR112W
YDL006W	YPL031C
YKL057C	YLL039C
YML117W	YPL031C
YBR179C	YJL092W
YCR046C	YNL177C
YJL173C	YMR105C
YER125W	YHR200W
YJR095W	YLL039C
YJL057C	YML117W
YML057W	YPR115W
YJL222W	YML048W
YJL176C	YPR034W
YIL113W	YNL138W
YGL059W	YOL070C
YER115C	YJL020C
YLL039C	YOR261C
YGL055W	YKL088W
YKR002W	YNL189W
YAL032C	YBR194W
YNL197C	YOR147W
YLR423C	YOR357C
YKL029C	YOR181W
YCR088W	YOR284W
YDR323C	YPL031C
YDL233W	YER018C
YDL065C	YOL147C
YKL064W	YLR138W
YGL151W	YLL039C
YBR207W	YGL203C
YCR073C	YMR165C
YDR486C	YLR181C
YLL039C	YOL087C
YIL139C	YPL194W
YDR099W	YLR177W
YKL203C	YMR011W
YBR114W	YJR052W
YBR289W	YKR001C
YER154W	YHL034C
YMR153W	YOL016C
YDR510W	YLR314C
YDL212W	YHR140W
YBR049C	YDR145W
YKL103C	YOL082W
YBR234C	YLL039C
YER119C	YPL031C
YGL158W	YLL057C
YJR009C	YKL010C
YBL084C	YPR056W
YBR161W	YMR091C
YER062C	YJL173C
YBR290W	YPL132W
YIL077C	YPL031C
YAR031W	YDL054C
YBR159W	YFL062W
YGR238C	YIL144W
YKL129C	YPL038W
YFR052W	YIL075C
YJR007W	YPL237W
YDR510W	YML126C
YBR160W	YML119W
YBL032W	YOL070C
YDL035C	YHR082C
YIL033C	YNL027W
YBR172C	YNR052C
YAR031W	YBR069C
YHR001W-A	YLL039C
YJL081C	YML041C
YLR291C	YMR004W
YCR042C	YKR002W
YLR370C	YNL138W
YDL029W	YFL039C
YBR141C	YDR372C
YCR024C	YER125W
YKL203C	YNL135C
YFL013C	YNL215W
YDR293C	YMR105C
YFR021W	YFR040W
YBL032W	YLR116W
YJR065C	YLR429W
YPL084W	YPR173C
YBR152W	YHR165C
YGL137W	YML012W
YBL032W	YJR151C
YJR104C	YPL031C
YDR501W	YJL151C
YMR196W	YPL042C
YCR091W	YDL006W
YCR086W	YDR247W
YBR194W	YCR030C
YGR241C	YLL017W
YGL161C	YHR105W
YBL084C	YLR005W
YBL045C	YNL177C
YEL034W	YNR051C
YGR175C	YMR202W
YDR394W	YIL075C
YEL037C	YHR200W
YKR014C	YOR375C
YFR036W	YLR127C
YCR077C	YDL165W
YFL037W	YNL212W
YJR059W	YMR081C
YIL034C	YOR181W
YDR424C	YKR054C
YDR224C	YER030W
YDL002C	YFL039C
YNL197C	YOR269W
YFL048C	YOR316C
YDR088C	YHR023W
YER109C	YMR164C
YDR381W	YDR510W
YGL190C	YHR082C
YKL203C	YPL249C
YJR006W	YNL102W
YKL203C	YMR183C
YDR099W	YGL252C
YBR239C	YDR388W
YBL031W	YGL158W
YDR477W	YKL079W
YNL118C	YOL149W
YAL005C	YNL007C
YKR009C	YOL147C
YHR205W	YMR196W
YCR086W	YDL089W
YBR188C	YLR117C
YKL203C	YNL183C
YGL203C	YOR104W
YBL032W	YNL183C
YBR127C	YNR051C
YGL059W	YOR083W
YBL032W	YGL237C
YBR102C	YBR200W
YMR165C	YPL031C
YNL197C	YPR129W
YER112W	YNL288W
YGL225W	YIR038C
YLL039C	YPL094C
YKL173W	YLL036C
YDL053C	YIL106W
YPL031C	YPR019W
YBR044C	YDL093W
YBR295W	YIL030C
YBL032W	YCL068C
YBR233W	YHR082C
YLR312C	YOL088C
YGL059W	YKR100C
YDL207W	YKL057C
YGR268C	YHL002W
YHR074W	YPL031C
YBL007C	YNL152W
YJL164C	YOR134W
YDL037C	YNL197C
YLR423C	YPR185W
YAL032C	YGR071C
YHR079C	YKR105C
YJL122W	YLR074C
YLR028C	YNR034W
YBR049C	YPR152C
YER125W	YJL140W
YJL092W	YKR048C
YMR059W	YNL135C
YKR054C	YNL118C
YCR016W	YGL120C
YAL009W	YJL176C
YMR008C	YNL197C
YAL005C	YOL111C
YDL025C	YHR082C
YBR194W	YOL016C
YDL028C	YJL084C
YGL137W	YJL153C
YKR041W	YLL039C
YBL101C	YOR124C
YLL039C	YNL180C
YDR381W	YNL088W
YJR059W	YML031W
YHR200W	YIR026C
YDR422C	YOR027W
YBL032W	YBR289W
YDR477W	YNL257C
YJR091C	YKL204W
YDR384C	YNR060W
YJR066W	YMR183C
YGR184C	YJL092W
YDR150W	YDR247W
YDR456W	YNR056C
YBR168W	YDL065C
YNL124W	YOL149W
YCR088W	YPL008W
YDL207W	YER107C
YLR170C	YPR029C
YLR385C	YOL012C
YGR200C	YMR236W
YIL159W	YMR032W
YER029C	YKL173W
YGL099W	YGL120C
YCR028C-A	YOR147W
YBL007C	YCR088W
YLR006C	YNR031C
YBR133C	YKL101W
YIR026C	YJL122W
YDR145W	YHR023W
YNL135C	YPL049C
YHR083W	YMR203W
YIL109C	YML012W
YML001W	YMR231W
YDL019C	YJL207C
YGL137W	YLR100W
YER120W	YGR086C
YBL030C	YER182W
