YMR207C	YNR016C
YDR212W	YLL019C
YHR165C	YNR053C
YHR037W	YPL240C
YNL301C	YOR096W
YMR004W	YPL031C
YKL104C	YKL211C
YDL126C	YER012W
YBL032W	YCL028W
YEL039C	YJL164C
YGR252W	YOR290C
YGR281W	YHR114W
YDL028C	YMR114C
YDR356W	YPL255W
YJL164C	YKL079W
YGL191W	YLL039C
YGR238C	YHR158C
YCL028W	YNL288W
Q0085	YDL004W
YLL023C	YPR028W
YER159C	YOL012C
YGR105W	YML012W
YDR424C	YGL153W
YIL075C	YOL117W
YGL207W	YGR116W
YER177W	YPR030W
YHL003C	YJR010C-A
YML123C	YNR041C
YBL007C	YDL206W
YML048W	YML123C
YCR012W	YGL137W
YHR135C	YLR410W
YGR026W	YPL031C
YOR275C	YPL031C
YJL154C	YKL171W
YLR097C	YMR303C
YBR212W	YPL037C
YDR194C	YML065W
YGL073W	YKL062W
YER177W	YPR152C
YBR122C	YOL027C
YHR198C	YML064C
YBL032W	YKL198C
YGR198W	YKL049C
YDL140C	YNL251C
YDR381W	YER063W
YDL140C	YMR125W
YDL116W	YDR113C
YDR388W	YOR117W
YDR406W	YLR055C
YCL043C	YIR001C
YDR363W-A	YNL047C
YMR081C	YPL203W
YEL048C	YKR068C
YLR423C	YPR105C
YDR510W	YER047C
YJL164C	YJL218W
YER012W	YGL048C
YBR049C	YDR510W
YGL075C	YMR111C
YEL039C	YLL039C
YAL001C	YDR510W
YEL002C	YML075C
YDR510W	YMR190C
YFL045C	YJL092W
YML064C	YOR373W
YGL244W	YOR123C
YPL070W	YPR152C
YBR183W	YOL132W
YDL087C	YML049C
YIR005W	YMR240C
YDR124W	YPR049C
YKL104C	YMR213W
YJL187C	YNL272C
YDR145W	YMR227C
YKL161C	YPL089C
YDR189W	YPR105C
YGR059W	YLR314C
YER177W	YOR220W
YDL200C	YGL137W
YJL164C	YKL171W
YDR130C	YLR340W
YLR208W	YNL307C
YHR114W	YLR078C
YHR016C	YPL249C
YDL029W	YDR143C
YDL015C	YJL117W
Q0085	YKL016C
YGL106W	YMR304W
YDR032C	YHR135C
YBR069C	YPR198W
YDR244W	YML042W
YCL009C	YKL010C
YLR275W	YPR082C
YBL032W	YIL023C
YGR116W	YLL039C
YKR027W	YLL039C
YEL011W	YLL039C
YGR284C	YNL197C
YBL051C	YNL288W
YHR050W	YMR149W
YBL007C	YLR337C
YDR252W	YJR011C
YJL164C	YKR094C
YOR117W	YPL031C
YCR030C	YHR107C
YBR194W	YPR152C
YDR342C	YKL203C
YBL032W	YGL035C
YBR010W	YNL030W
YDR246W	YKR068C
YDR392W	YLR055C
YDR130C	YGL093W
YKL214C	YMR004W
YAL028W	YLR233C
YBR274W	YLR258W
YGL207W	YGR163W
YDR381W	YML065W
YHR200W	YPL240C
YDR247W	YKL193C
YDR309C	YNL298W
YKL064W	YPL203W
YBR035C	YLL039C
YGL130W	YNL030W
YDL239C	YGL075C
YBR298C	YMR279C
YBR109C	YDL028C
YDR283C	YKL173W
