YAL003W	YGR285C
YAL035W	YDR091C
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YOR361C
YAL035W	YPR041W
YAL053W	YOR153W
YAR002W	YLR347C
YAR007C	YML032C
YAR007C	YNL312W
YBL003C	YBR245C
YBL003C	YDR224C
YBL003C	YGL241W
YBL018C	YHR062C
YBL018C	YNL282W
YBL027W	YBL092W
YBL027W	YBR048W
YBL027W	YBR191W
YBL027W	YDL075W
YBL027W	YDR382W
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YFR032C-A
YBL027W	YGL014W
YBL027W	YGL030W
YBL027W	YGL103W
YBL027W	YGL123W
YBL027W	YHL001W
YBL027W	YIL133C
YBL027W	YLR029C
YBL027W	YLR150W
YBL027W	YLR287C-A
YBL027W	YLR344W
YBL027W	YLR448W
YBL027W	YML063W
YBL027W	YMR242C
YBL027W	YNL069C
YBL027W	YNL301C
YBL027W	YOL040C
YBL027W	YOL127W
YBL027W	YPL249C-A
YBL038W	YCR071C
YBL038W	YGR220C
YBL038W	YKR006C
YBL038W	YLR312W-A
YBL038W	YNL005C
YBL046W	YDR075W
YBL072C	YBR048W
YBL072C	YCL037C
YBL072C	YDL060W
YBL072C	YDR324C
YBL072C	YDR449C
YBL072C	YDR471W
YBL072C	YER074W
YBL072C	YGL076C
YBL072C	YGL103W
YBL072C	YGL120C
YBL072C	YHL001W
YBL072C	YHL034C
YBL072C	YJL190C
YBL072C	YJR145C
YBL072C	YLL011W
YBL072C	YLR029C
YBL072C	YLR129W
YBL072C	YLR186W
YBL072C	YLR287C-A
YBL072C	YLR340W
YBL072C	YLR448W
YBL072C	YML063W
YBL072C	YMR146C
YBL072C	YMR229C
YBL072C	YMR242C
YBL072C	YMR290C
YBL072C	YNL308C
YBL072C	YOL127W
YBL072C	YOR361C
YBL072C	YPL131W
YBL072C	YPR144C
YBL074C	YBR055C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YOR308C
YBL087C	YDR361C
YBL087C	YGL111W
YBL087C	YMR290C
YBL087C	YPL093W
YBL087C	YPL208W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR041W
YBL090W	YGR084C
YBL090W	YHL004W
YBL090W	YMR188C
YBL090W	YNL137C
YBL090W	YNL306W
YBL092W	YBR191W
YBL092W	YDL075W
YBL092W	YDR382W
YBL092W	YDR471W
YBL092W	YER074W
YBL092W	YFR032C-A
YBL092W	YGL014W
YBL092W	YGL030W
YBL092W	YGL103W
YBL092W	YGR118W
YBL092W	YHL001W
YBL092W	YLR029C
YBL092W	YLR287C-A
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YNL069C
YBL092W	YNL301C
YBL092W	YOL040C
YBL092W	YOL127W
YBL097W	YFR031C
YBL099W	YJR121W
YBR017C	YEL022W
YBR017C	YGL122C
YBR017C	YJR077C
YBR025C	YJR121W
YBR048W	YDL060W
YBR048W	YDR299W
YBR048W	YDR471W
YBR048W	YER025W
YBR048W	YER074W
YBR048W	YGL030W
YBR048W	YGL076C
YBR048W	YHL001W
YBR048W	YIL133C
YBR048W	YJL190C
YBR048W	YJR145C
YBR048W	YLR029C
YBR048W	YLR287C-A
YBR048W	YLR340W
YBR048W	YLR448W
YBR048W	YML063W
YBR048W	YMR229C
YBR048W	YMR242C
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOL127W
YBR048W	YPL131W
YBR055C	YDL043C
YBR055C	YDR473C
YBR055C	YER146W
YBR055C	YGR074W
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YLL036C
YBR055C	YLR147C
YBR055C	YLR424W
YBR055C	YML046W
YBR055C	YNL147W
YBR055C	YOR159C
YBR055C	YOR308C
YBR055C	YPR082C
YBR081C	YBR198C
YBR081C	YDR167W
YBR081C	YDR392W
YBR081C	YGL112C
YBR081C	YGR252W
YBR081C	YGR274C
YBR081C	YHR099W
YBR081C	YMR223W
YBR081C	YPL011C
YBR084W	YDR471W
YBR084W	YHR010W
YBR084W	YLR340W
YBR095C	YDL076C
YBR095C	YIL084C
YBR095C	YMR075W
YBR095C	YNL330C
YBR095C	YPR023C
YBR107C	YBR211C
YBR107C	YDR318W
YBR142W	YDR060W
YBR142W	YGL076C
YBR142W	YJR145C
YBR142W	YLL008W
YBR142W	YLR029C
YBR142W	YMR049C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YPL131W
YBR142W	YPL211W
YBR142W	YPL249C-A
YBR171W	YPL094C
YBR175W	YKL018W
YBR175W	YPL138C
YBR191W	YDL075W
YBR191W	YDR471W
YBR191W	YER074W
YBR191W	YFR032C-A
YBR191W	YGL014W
YBR191W	YGL030W
YBR191W	YGL103W
YBR191W	YGL123W
YBR191W	YHL001W
