YAL001C	YDR362C
YAL003W	YEL034W
YAL003W	YGR285C
YAL003W	YPL048W
YAL011W	YBR231C
YAL011W	YDR190C
YAL011W	YDR334W
YAL011W	YJL081C
YAL011W	YPL235W
YAL013W	YBR095C
YAL013W	YDL076C
YAL013W	YMR263W
YAL013W	YNL330C
YAL013W	YPL139C
YAL013W	YPL181W
YAL016W	YDL188C
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YOR014W
YAL021C	YCR093W
YAL021C	YNR052C
YAL027W	YML095C
YAL027W	YPL022W
YAL035W	YBR031W
YAL035W	YDL014W
YAL035W	YDR496C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YOR063W
YAL043C	YDR301W
YAL043C	YER133W
YAL043C	YGR156W
YAL043C	YKL059C
YAL043C	YKR002W
YAL043C	YNL222W
YAL043C	YNL317W
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YNL126W
YAL062W	YOR375C
YAR002W	YLR347C
YAR002W	YNL189W
YAR003W	YBR175W
YAR003W	YBR258C
YAR003W	YDR469W
YAR003W	YPL138C
YAR014C	YER133W
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YML069W
YBL002W	YMR072W
YBL002W	YOL012C
YBL003C	YBR245C
YBL003C	YDR224C
YBL003C	YGL241W
YBL003C	YMR072W
YBL003C	YNL030W
YBL003C	YPL082C
YBL004W	YBR247C
YBL004W	YCL059C
YBL004W	YCR057C
YBL004W	YDL014W
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YHR148W
YBL004W	YJL109C
YBL004W	YJR002W
YBL004W	YKR060W
YBL004W	YLR197W
YBL004W	YLR222C
YBL004W	YMR093W
YBL004W	YMR128W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL043W
YBL004W	YPL126W
YBL004W	YPR137W
YBL004W	YPR144C
YBL008W	YBR215W
YBL008W	YOR038C
YBL018C	YGR030C
YBL018C	YHR062C
YBL018C	YNL221C
YBL018C	YNL282W
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YDR322W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKR006C
YBL038W	YLR312W-A
YBL038W	YLR439W
YBL038W	YOR150W
YBL041W	YER094C
YBL041W	YFL007W
YBL041W	YFR050C
YBL041W	YGR135W
YBL041W	YGR253C
YBL041W	YJL001W
YBL041W	YML092C
YBL041W	YOR157C
YBL041W	YOR362C
YBL041W	YPR103W
YBL046W	YDR075W
YBL046W	YML010W
YBL046W	YNL201C
YBL052C	YPR031W
YBL067C	YOL087C
YBL074C	YBR055C
YBL074C	YER172C
YBL074C	YGR074W
YBL074C	YLR275W
YBL074C	YOR308C
YBL074C	YPR178W
