YAL002W	YPL045W
YAL003W	YEL034W
YAL003W	YGR285C
YAL003W	YHR064C
YAL003W	YPL048W
YAL007C	YGL200C
YAL007C	YML012W
YAL011W	YBR231C
YAL011W	YDR190C
YAL011W	YDR485C
YAL011W	YLR085C
YAL013W	YBR095C
YAL013W	YDL076C
YAL013W	YIL084C
YAL013W	YNL097C
YAL013W	YNL330C
YAL013W	YOL004W
YAL013W	YPL181W
YAL016W	YDL134C
YAL016W	YMR273C
YAL016W	YOR014W
YAL024C	YHR158C
YAL027W	YML095C
YAL029C	YBR109C
YAL029C	YBR130C
YAL029C	YFL039C
YAL029C	YGL106W
YAL029C	YHR023W
YAL032C	YDL209C
YAL032C	YGL128C
YAL032C	YGR278W
YAL032C	YJR050W
YAL032C	YLL036C
YAL032C	YLR117C
YAL032C	YML049C
YAL032C	YMR213W
YAL032C	YMR288W
YAL032C	YPL151C
YAL032C	YPR101W
YAL033W	YBR167C
YAL033W	YBR257W
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL034C	YER110C
YAL034W-A	YIR010W
YAL035W	YBR031W
YAL035W	YBR079C
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR091C
YAL035W	YDR429C
YAL035W	YDR496C
YAL035W	YGL076C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YPL198W
YAL042W	YML067C
YAL053W	YOR153W
YAL062W	YOR375C
YAR003W	YBR258C
YAR003W	YKL018W
YAR003W	YLR015W
YAR003W	YPL138C
YAR075W	YML056C
YBL002W	YBL003C
YBL002W	YKR048C
YBL002W	YML069W
YBL002W	YMR072W
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YBR245C
YBL003C	YKR048C
YBL003C	YMR072W
YBL003C	YPL082C
YBL004W	YBR189W
YBL004W	YBR247C
YBL004W	YDL014W
YBL004W	YDL148C
YBL004W	YDR064W
YBL004W	YDR299W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YER082C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YHR196W
YBL004W	YJL109C
YBL004W	YKR060W
YBL004W	YLL011W
YBL004W	YLR186W
YBL004W	YLR197W
YBL004W	YLR367W
YBL004W	YLR409C
YBL004W	YMR093W
YBL004W	YMR128W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL012W
YBL004W	YPL126W
YBL004W	YPL217C
YBL004W	YPL266W
YBL004W	YPR137W
YBL004W	YPR144C
YBL021C	YGL237C
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDL160C
YBL026W	YDR378C
YBL026W	YDR473C
YBL026W	YGL173C
YBL026W	YGR074W
YBL026W	YGR075C
YBL026W	YGR091W
YBL026W	YJL124C
YBL026W	YJR022W
YBL026W	YLR147C
YBL026W	YMR268C
YBL026W	YNL147W
YBL026W	YOR308C
YBL026W	YPR082C
YBL027W	YBR031W
