YAL007C	YML012W
YAL021C	YCR093W
YAL021C	YNR052C
YAL027W	YPL022W
YAL029C	YGL106W
YAL029C	YOR326W
YAL032C	YDR364C
YAL032C	YHR165C
YAL032C	YLR117C
YAL032C	YPR101W
YAL033W	YHR062C
YAL033W	YNL221C
YAL035W	YBR031W
YAL035W	YDL082W
YAL035W	YDR091C
YAL035W	YDR418W
YAL035W	YDR429C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL042W	YML067C
YAL043C	YDR301W
YAL043C	YGR156W
YAL043C	YJR093C
YAL043C	YLR277C
YAL043C	YNL317W
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YHR172W
YAL047C	YNL126W
YAR002W	YLR335W
YAR007C	YJL173C
YAR007C	YNL312W
YAR007C	YOL090W
YAR075W	YML056C
YBL002W	YBL003C
YBL002W	YML069W
YBL003C	YBR010W
YBL003C	YBR245C
YBL004W	YBL072C
YBL004W	YCL059C
YBL004W	YCR057C
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YGR090W
YBL004W	YHR148W
YBL004W	YJL109C
YBL004W	YLR197W
YBL004W	YLR367W
YBL004W	YMR128W
YBL004W	YMR229C
YBL004W	YNL132W
YBL004W	YOR145C
YBL004W	YPR137W
YBL007C	YOR181W
YBL021C	YGL237C
YBL021C	YOR358W
YBL026W	YCR077C
YBL026W	YDL160C
YBL026W	YDR378C
YBL026W	YER029C
YBL026W	YER112W
YBL026W	YGR074W
YBL026W	YGR075C
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YLR147C
YBL026W	YLR438C-A
YBL026W	YPR082C
YBL027W	YBR031W
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDR064W
YBL027W	YDR382W
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YFR031C-A
YBL027W	YFR032C-A
YBL027W	YGL030W
YBL027W	YGL031C
YBL027W	YGL103W
YBL027W	YGL123W
YBL027W	YHL033C
YBL027W	YJL177W
YBL027W	YLR029C
YBL027W	YLR075W
YBL027W	YLR150W
YBL027W	YLR287C-A
YBL027W	YLR344W
YBL027W	YLR448W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YNL178W
YBL027W	YOL040C
YBL027W	YOR063W
YBL027W	YPL090C
YBL035C	YIR008C
YBL035C	YKL045W
YBL035C	YNL102W
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YCR071C
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKL167C
YBL038W	YKR006C
YBL038W	YKR085C
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YMR193W
YBL038W	YNL005C
YBL038W	YNL252C
YBL038W	YNL284C
YBL038W	YOR150W
YBL072C	YBR031W
YBL072C	YCL037C
YBL072C	YCL059C
YBL072C	YDL060W
YBL072C	YDL082W
YBL072C	YDL148C
YBL072C	YDR064W
YBL072C	YDR418W
YBL072C	YDR471W
YBL072C	YER074W
YBL072C	YFR031C-A
YBL072C	YGL076C
YBL072C	YGL103W
YBL072C	YGL120C
YBL072C	YGR054W
YBL072C	YGR090W
YBL072C	YHL033C
YBL072C	YJL177W
YBL072C	YJL190C
YBL072C	YJR145C
YBL072C	YLR029C
YBL072C	YLR075W
YBL072C	YLR197W
YBL072C	YLR287C-A
YBL072C	YLR340W
YBL072C	YLR448W
YBL072C	YML073C
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR194W
YBL072C	YMR229C
YBL072C	YMR290C
YBL072C	YNL132W
YBL072C	YNL178W
YBL072C	YOR063W
YBL072C	YOR361C
YBL072C	YPL090C
YBL072C	YPL131W
YBL072C	YPL198W
YBL087C	YMR290C
YBL090W	YBR146W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR175C
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGR084C
YBL090W	YGR165W
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YJR101W
YBL090W	YKL155C
YBL090W	YMR158W
YBL090W	YMR188C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YPL013C
YBL090W	YPL118W
YBR010W	YEL056W
YBR031W	YBR142W
YBR031W	YDL075W
YBR031W	YDL082W
YBR031W	YDR382W
YBR031W	YDR418W
YBR031W	YDR471W
YBR031W	YER074W
YBR031W	YFR031C-A
YBR031W	YGL030W
YBR031W	YGL031C
YBR031W	YGL103W
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR145C
YBR031W	YLR029C
YBR031W	YLR075W
YBR031W	YLR287C-A
YBR031W	YLR448W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR290C
YBR031W	YNL112W
YBR031W	YNL132W
YBR031W	YNL178W
YBR031W	YOL120C
YBR031W	YOR063W
YBR031W	YPL090C
YBR031W	YPL198W
YBR031W	YPL220W
YBR060C	YML065W
YBR060C	YNL261W
YBR060C	YPR162C
YBR105C	YDL082W
YBR105C	YIL017C
YBR122C	YCR046C
YBR122C	YCR071C
YBR122C	YDR322W
YBR122C	YDR405W
YBR122C	YDR462W
YBR122C	YGR220C
YBR122C	YJL063C
YBR122C	YKL167C
