YAL029C	YBR130C
YAL035W	YBR031W
YAL035W	YDR418W
YAL035W	YDR496C
YAL035W	YJR145C
YAL035W	YLR192C
YAL035W	YNL178W
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL035W	YPR041W
YAL047C	YHR172W
YAR002C-A	YGL200C
YAR002C-A	YML012W
YAR002W	YLR335W
YAR002W	YLR347C
YAR003W	YKL018W
YAR007C	YML032C
YAR073W	YGR085C
YAR073W	YML056C
YAR073W	YOR096W
YAR073W	YPL198W
YBL002W	YML069W
YBL021C	YOR358W
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDR378C
YBL026W	YDR473C
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YER172C
YBL026W	YJL124C
YBL026W	YLR438C-A
YBL026W	YOR308C
YBL026W	YPR178W
YBL035C	YIR008C
YBL037W	YOL062C
YBL038W	YCR046C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YDR462W
YBL038W	YKL167C
YBL038W	YLR312W-A
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YOR150W
YBL072C	YBR031W
YBL072C	YBR048W
YBL072C	YBR189W
YBL072C	YCL011C
YBL072C	YCL059C
YBL072C	YCR031C
YBL072C	YDL060W
YBL072C	YDL083C
YBL072C	YDL148C
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YGL120C
YBL072C	YGR085C
YBL072C	YGR090W
YBL072C	YHL001W
YBL072C	YJR145C
YBL072C	YKL180W
YBL072C	YLL011W
YBL072C	YLR075W
YBL072C	YLR129W
YBL072C	YMR093W
YBL072C	YMR290C
YBL072C	YNL132W
YBL072C	YNL178W
YBL072C	YOL127W
YBL072C	YOR063W
YBL072C	YOR096W
YBL072C	YOR361C
YBL072C	YPL090C
YBL072C	YPL126W
YBL072C	YPL131W
YBL072C	YPL198W
YBL072C	YPR144C
YBL074C	YBR055C
YBL074C	YER172C
YBL074C	YOR308C
YBL074C	YPR178W
YBL087C	YGL111W
YBL087C	YMR290C
YBL087C	YPL093W
YBL090W	YBR251W
YBL090W	YDR041W
YBL090W	YGR084C
YBL090W	YHL004W
YBL090W	YMR158W
YBL090W	YNL306W
YBL090W	YOR158W
YBL090W	YPL013C
YBR031W	YBR048W
YBR031W	YBR142W
YBR031W	YBR189W
YBR031W	YBR191W
YBR031W	YCR031C
YBR031W	YDL083C
YBR031W	YDR012W
YBR031W	YDR418W
YBR031W	YDR496C
YBR031W	YGL030W
YBR031W	YGR085C
YBR031W	YHL001W
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLR075W
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL112W
YBR031W	YNL132W
YBR031W	YNL178W
YBR031W	YOL127W
YBR031W	YOR063W
YBR031W	YOR096W
YBR031W	YPL090C
YBR031W	YPL198W
YBR031W	YPL220W
YBR048W	YBR189W
YBR048W	YCL011C
YBR048W	YCL059C
YBR048W	YCR031C
YBR048W	YDL060W
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR012W
YBR048W	YDR299W
YBR048W	YDR418W
YBR048W	YGL030W
YBR048W	YGR085C
YBR048W	YGR090W
YBR048W	YHL001W
YBR048W	YJR145C
YBR048W	YKL180W
YBR048W	YLR075W
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL132W
YBR048W	YNL178W
YBR048W	YNR054C
YBR048W	YOL127W
YBR048W	YOR063W
YBR048W	YOR096W
YBR048W	YPL090C
YBR048W	YPL131W
YBR048W	YPL198W
YBR055C	YBR152W
YBR055C	YCR077C
YBR055C	YDL043C
YBR055C	YDR378C
YBR055C	YDR473C
YBR055C	YER112W
YBR055C	YER146W
YBR055C	YER172C
YBR055C	YJL124C
YBR055C	YLL036C
YBR055C	YML049C
YBR055C	YMR240C
YBR055C	YMR288W
YBR055C	YOR308C
YBR055C	YPR178W
YBR060C	YLL004W
YBR060C	YPR162C
YBR065C	YER172C
YBR065C	YLL036C
