YAL001C	YPL007C
YAL002W	YLR148W
YAL002W	YLR396C
YAL003W	YGR285C
YAL003W	YPL048W
YAL007C	YGL200C
YAL007C	YML012W
YAL013W	YDL076C
YAL013W	YIL084C
YAL013W	YMR263W
YAL013W	YPL139C
YAL013W	YPL181W
YAL027W	YML095C
YAL027W	YPL022W
YAL033W	YBL018C
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR418W
YAL035W	YDR496C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YPL198W
YAL035W	YPR041W
YAL042W	YML067C
YAL043C	YDR195W
YAL043C	YDR301W
YAL043C	YER133W
YAL043C	YJR093C
YAL043C	YLR277C
YAL043C	YNL222W
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YHR172W
YAL047C	YNL126W
YAL053W	YOR153W
YAR003W	YBR258C
YAR003W	YHR119W
YAR007C	YHR164C
YAR007C	YML032C
YAR007C	YNL312W
YAR007C	YOL090W
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YKR048C
YBL002W	YMR072W
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YDR224C
YBL003C	YGL241W
YBL003C	YKR048C
YBL003C	YMR072W
YBL003C	YNL030W
YBL004W	YDL014W
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YDR064W
YBL004W	YDR324C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YGR145W
YBL004W	YHR148W
YBL004W	YJL109C
YBL004W	YJR002W
YBL004W	YKR060W
YBL004W	YLR197W
YBL004W	YLR222C
YBL004W	YMR093W
YBL004W	YMR229C
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL012W
YBL004W	YPL043W
YBL004W	YPL126W
YBL004W	YPL266W
YBL004W	YPR137W
YBL008W	YBR215W
YBL008W	YOR038C
YBL018C	YHR062C
YBL018C	YNL221C
YBL018C	YNL282W
YBL021C	YGL237C
YBL021C	YOR358W
YBL026W	YBR055C
YBL026W	YCR077C
YBL026W	YDL098C
YBL026W	YDR378C
YBL026W	YER146W
YBL026W	YGR074W
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJR022W
YBL026W	YKL173W
YBL026W	YMR268C
YBL026W	YPR178W
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR064W
YBL027W	YDR471W
YBL027W	YGL014W
YBL027W	YGR085C
YBL027W	YHL001W
YBL027W	YHL033C
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YJR123W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR150W
YBL027W	YLR441C
YBL027W	YLR448W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YMR242C
YBL027W	YNL069C
YBL027W	YNL096C
YBL027W	YNL178W
YBL027W	YNL301C
YBL027W	YOL127W
YBL027W	YOR096W
YBL027W	YPL090C
YBL035C	YKL045W
YBL035C	YNL102W
YBL038W	YCR046C
YBL038W	YCR071C
YBL038W	YDR116C
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YKR006C
YBL038W	YLR312W-A
YBL038W	YML025C
YBL038W	YNL005C
YBL038W	YNL284C
YBL041W	YER012W
YBL041W	YGL011C
YBL041W	YGR135W
YBL041W	YJL001W
YBL041W	YOR157C
YBL045C	YPR191W
YBL047C	YCR030C
YBL058W	YDL126C
YBL074C	YBR055C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YKL173W
YBL074C	YPR178W
YBL084C	YKL022C
YBL084C	YLR127C
YBL084C	YOR249C
YBL087C	YMR290C
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YGL129C
YBL090W	YGR084C
YBL090W	YGR165W
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YJR101W
YBL090W	YKL155C
YBL090W	YMR188C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YPL118W
YBL097W	YLR272C
YBR010W	YEL056W
YBR010W	YLL022C
YBR011C	YDL203C
YBR011C	YLR425W
YBR025C	YDL185W
YBR025C	YGL195W
YBR055C	YBR152W
YBR055C	YCR077C
YBR055C	YDL043C
YBR055C	YDL098C
YBR055C	YDR378C
YBR055C	YER146W
YBR055C	YGR013W
YBR055C	YGR074W
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YKL173W
YBR055C	YLL036C
YBR055C	YLR424W
YBR055C	YML046W
YBR055C	YMR240C
YBR055C	YMR268C
YBR055C	YMR288W
YBR055C	YOR159C
YBR055C	YPL213W
YBR055C	YPR178W
YBR060C	YLL004W
YBR061C	YMR259C
YBR087W	YJR068W
YBR087W	YNL290W
YBR087W	YOL094C
YBR087W	YOR217W
YBR102C	YLR166C
YBR103W	YCR033W
YBR103W	YIL112W
YBR103W	YOL068C
YBR109C	YGL106W
YBR109C	YGL242C
YBR109C	YKL129C
YBR109C	YLL040C
YBR109C	YLR429W
YBR109C	YLR433C
YBR109C	YML057W
YBR109C	YOR326W
YBR117C	YPR074C
YBR136W	YNL312W
YBR137W	YOR007C
YBR143C	YDR172W
YBR143C	YPL237W
YBR146W	YBR251W
YBR146W	YDR041W
YBR146W	YDR175C
YBR146W	YER050C
YBR146W	YGL129C
YBR146W	YGR084C
YBR146W	YGR165W
YBR146W	YGR215W
YBR146W	YHL004W
YBR146W	YJR101W
YBR146W	YKL003C
YBR146W	YKL155C
YBR146W	YMR188C
YBR146W	YNL306W
YBR146W	YNR037C
YBR146W	YOR204W
YBR146W	YPL118W
YBR152W	YDL098C
YBR152W	YGR091W
YBR152W	YPR178W
YBR195C	YML102W
YBR195C	YPR018W
YBR211C	YDR254W
YBR211C	YGR179C
YBR211C	YJR135C
YBR211C	YLR381W
YBR211C	YPL018W
YBR215W	YJR140C
YBR215W	YOR038C
YBR221C	YER178W
YBR221C	YNL071W
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YGL129C
YBR251W	YGR084C
YBR251W	YGR165W
YBR251W	YGR215W
YBR251W	YHL004W
YBR251W	YJR101W
YBR251W	YKL003C
YBR251W	YKL155C
YBR251W	YMR188C
YBR251W	YNL306W
YBR251W	YNR037C
YBR251W	YPL118W
YBR253W	YCR081W
YBR253W	YDL005C
YBR253W	YDR308C
YBR253W	YER022W
YBR253W	YGL151W
YBR253W	YHR041C
YBR253W	YLR071C
YBR253W	YNL236W
YBR253W	YNR010W
YBR253W	YOL135C
YBR253W	YPL042C
YBR253W	YPR070W
YBR258C	YHR119W
YBR260C	YGR196C
YBR267W	YDR101C
YBR267W	YGL099W
YBR288C	YPL195W
YCL011C	YDL014W
YCL011C	YDR064W
YCL011C	YDR138W
YCL011C	YGL049C
YCL011C	YGL120C
YCL011C	YJR145C
YCL011C	YLL045C
YCL011C	YLR432W
YCL011C	YOR204W
YCL011C	YPL081W
YCL016C	YHR191C
YCL017C	YER048W-A
YCL024W	YDR507C
YCL024W	YKR048C
YCL043C	YHR204W
YCL048W	YCR024C
YCL054W	YER006W
YCL054W	YKL172W
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YPL211W
