YAL007C	YML012W
YAL016W	YML109W
YAL021C	YCR093W
YAL021C	YGR134W
YAL021C	YNR052C
YAL024C	YHR158C
YAL026C	YLR447C
YAL027W	YPL022W
YAL033W	YGR030C
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL034C	YER110C
YAL034W-A	YIR010W
YAL034W-A	YPL233W
YAL035W	YBR079C
YAL035W	YDL082W
YAL035W	YDR429C
YAL035W	YDR496C
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL042W	YML067C
YAL053W	YOR153W
YAR003W	YBR175W
YAR003W	YDR469W
YAR003W	YHR119W
YAR014C	YER133W
YAR073W	YHR216W
YAR073W	YJR123W
YAR073W	YLR432W
YAR073W	YPL198W
YBL007C	YOR181W
YBL021C	YGL237C
YBL021C	YOR358W
YBL026W	YCR077C
YBL026W	YER112W
YBL026W	YER146W
YBL026W	YER172C
YBL026W	YGL173C
YBL026W	YGR074W
YBL026W	YGR075C
YBL026W	YHR165C
YBL026W	YJR022W
YBL026W	YKL173W
YBL026W	YLR438C-A
YBL026W	YOR308C
YBL026W	YPR178W
YBL027W	YBR048W
YBL027W	YCR031C
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YGL014W
YBL027W	YGL030W
YBL027W	YGL123W
YBL027W	YHL001W
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YJR123W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR150W
YBL027W	YLR344W
YBL027W	YLR441C
YBL027W	YLR448W
YBL027W	YML073C
YBL027W	YNL069C
YBL027W	YNL301C
YBL027W	YOL040C
YBL027W	YOR063W
YBL035C	YIR008C
YBL035C	YKL045W
YBL038W	YBR122C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKR085C
YBL038W	YLR439W
YBL038W	YMR024W
YBL038W	YMR193W
YBL038W	YNL284C
YBL045C	YPR191W
YBL046W	YDR075W
YBL074C	YER172C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YKL173W
YBL074C	YOR308C
YBL074C	YPR178W
YBL079W	YMR153W
YBL087C	YMR290C
YBL087C	YPL093W
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YHL004W
YBL090W	YJR113C
YBL090W	YMR158W
YBL090W	YMR188C
YBL090W	YNL137C
YBL090W	YNL306W
YBL090W	YPL118W
YBL093C	YBR253W
YBL093C	YDR308C
YBL093C	YER022W
YBL093C	YGL025C
YBL093C	YGL127C
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YMR112C
YBL093C	YNL236W
YBL093C	YOL135C
YBL093C	YOR174W
YBL093C	YPR070W
YBL099W	YJR121W
YBR011C	YPL066W
YBR017C	YEL022W
YBR017C	YER110C
YBR017C	YGL122C
YBR025C	YGL195W
YBR025C	YJR121W
YBR025C	YKL081W
YBR048W	YBR189W
YBR048W	YBR247C
YBR048W	YCL011C
YBR048W	YCR031C
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR299W
YBR048W	YDR365C
YBR048W	YDR471W
YBR048W	YER074W
YBR048W	YGL030W
YBR048W	YGL076C
YBR048W	YGR090W
YBR048W	YHL001W
YBR048W	YIL133C
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YJR123W
YBR048W	YJR145C
YBR048W	YKL180W
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR340W
YBR048W	YLR367W
YBR048W	YLR441C
YBR048W	YLR448W
YBR048W	YML073C
YBR048W	YMR229C
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL132W
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOR063W
YBR048W	YOR204W
YBR048W	YPL012W
YBR048W	YPL081W
YBR048W	YPL198W
YBR060C	YLL004W
YBR060C	YPR162C
YBR061C	YMR259C
YBR079C	YDR429C
YBR079C	YOR361C
YBR079C	YPL081W
YBR087W	YOR144C
YBR087W	YOR217W
YBR094W	YEL015W
YBR095C	YDL076C
YBR095C	YIL084C
YBR095C	YNL097C
YBR095C	YPL139C
YBR097W	YLR360W
YBR102C	YER008C
YBR102C	YIL068C
YBR103W	YGL194C
YBR103W	YKR029C
YBR103W	YLR347C
YBR105C	YDL082W
YBR122C	YDR116C
YBR122C	YDR237W
YBR122C	YDR405W
YBR122C	YGR220C
YBR122C	YJL063C
YBR122C	YKR085C
YBR122C	YLR439W
YBR122C	YMR024W
YBR122C	YMR193W
YBR123C	YGR047C
YBR123C	YOR110W
YBR123C	YPL007C
YBR127C	YGR020C
YBR136W	YNL312W
YBR142W	YDR496C
YBR142W	YGL076C
YBR142W	YJR145C
YBR142W	YLL045C
YBR142W	YLR029C
YBR142W	YML073C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOL041C
YBR142W	YOR063W
YBR142W	YPL043W
YBR142W	YPL198W
YBR146W	YBR251W
YBR146W	YDR041W
YBR146W	YDR175C
YBR146W	YDR347W
YBR146W	YHL004W
YBR146W	YJR113C
YBR146W	YMR158W
YBR146W	YMR188C
YBR146W	YNL081C
YBR146W	YNL137C
YBR146W	YNL306W
YBR146W	YOR204W
YBR146W	YPL118W
YBR170C	YGR048W
YBR189W	YBR247C
YBR189W	YCL011C
YBR189W	YCR031C
YBR189W	YDL083C
YBR189W	YDL148C
YBR189W	YDR449C
YBR189W	YDR471W
YBR189W	YER074W
YBR189W	YGL030W
YBR189W	YGL173C
YBR189W	YGR090W
YBR189W	YGR214W
YBR189W	YIL133C
YBR189W	YJL190C
YBR189W	YJR002W
YBR189W	YJR123W
YBR189W	YJR145C
YBR189W	YKL180W
YBR189W	YLL045C
YBR189W	YLR029C
YBR189W	YLR186W
YBR189W	YLR264W
YBR189W	YLR340W
YBR189W	YLR367W
YBR189W	YLR441C
YBR189W	YML073C
YBR189W	YNL069C
YBR189W	YNL132W
YBR189W	YNL207W
YBR189W	YNL301C
YBR189W	YOL040C
YBR189W	YOR063W
YBR189W	YOR204W
YBR189W	YPL012W
YBR189W	YPL081W
YBR195C	YPR018W
YBR211C	YDR383C
YBR211C	YJR135C
YBR215W	YJR140C
YBR245C	YDR190C
YBR245C	YFR013W
YBR245C	YGL133W
YBR245C	YKR001C
YBR245C	YLR033W
YBR245C	YLR357W
YBR245C	YNL030W
YBR247C	YDL148C
YBR247C	YDR449C
YBR247C	YGR145W
YBR247C	YHR148W
YBR247C	YJR002W
YBR247C	YJR145C
YBR247C	YLR186W
YBR247C	YMR093W
YBR247C	YMR128W
YBR247C	YNL132W
YBR247C	YNL207W
YBR247C	YPL012W
YBR247C	YPL204W
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YDR347W
YBR251W	YHL004W
YBR251W	YJR113C
YBR251W	YMR158W
YBR251W	YMR188C
YBR251W	YNL137C
YBR251W	YNL306W
YBR251W	YPL118W
YBR253W	YCR081W
YBR253W	YDR308C
YBR253W	YDR448W
YBR253W	YER022W
YBR253W	YGL025C
YBR253W	YGL127C
YBR253W	YHR041C
YBR253W	YHR058C
YBR253W	YMR112C
YBR253W	YNL236W
YBR253W	YOL135C
YBR253W	YOR174W
YBR253W	YPR070W
YBR254C	YDR472W
YBR254C	YKR068C
YBR254C	YML077W
YBR267W	YDR101C
YBR267W	YHR170W
YBR279W	YGL019W
YBR279W	YGL207W
YBR279W	YGL244W
YBR279W	YLR418C
YBR279W	YML069W
YBR279W	YOR039W
YBR279W	YOR061W
YBR279W	YOR123C
YCL011C	YDL084W
YCL011C	YDR381W
YCL011C	YDR432W
YCL011C	YGL049C
YCL011C	YGL120C
YCL011C	YGL173C
YCL011C	YGR162W
YCL011C	YJR145C
YCL011C	YLL045C
YCL011C	YLR432W
YCL011C	YOR204W
YCL011C	YPL081W
YCL017C	YER048W-A
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YPL093W
YCR002C	YDL225W
YCR002C	YHR107C
YCR002C	YJR076C
YCR002C	YLR314C
YCR012W	YKL060C
YCR020C-A	YEL053C
YCR020C-A	YPR051W
YCR020W-B	YLR033W
YCR020W-B	YLR357W
YCR020W-B	YML127W
YCR020W-B	YMR033W
YCR031C	YDL082W
YCR031C	YDL083C
YCR031C	YDL148C
YCR031C	YDR471W
YCR031C	YER074W
YCR031C	YGL030W
YCR031C	YGL076C
YCR031C	YGL123W
YCR031C	YHL001W
YCR031C	YIL133C
YCR031C	YJL177W
YCR031C	YJL190C
YCR031C	YJR123W
YCR031C	YKL180W
YCR031C	YLL045C
YCR031C	YLR029C
YCR031C	YLR150W
YCR031C	YLR340W
YCR031C	YLR441C
YCR031C	YLR448W
YCR031C	YML073C
YCR031C	YNL069C
YCR031C	YNL132W
YCR031C	YNL301C
YCR031C	YOR063W
YCR031C	YOR204W
YCR031C	YOR234C
YCR031C	YPL143W
YCR035C	YDR280W
YCR035C	YGR095C
YCR035C	YGR158C
YCR035C	YGR195W
YCR035C	YHR081W
YCR035C	YNL232W
YCR035C	YOL021C
YCR035C	YOL142W
YCR035C	YOR001W
YCR057C	YDL148C
YCR057C	YDR324C
YCR057C	YDR449C
YCR057C	YGR090W
YCR057C	YHR148W
YCR057C	YHR196W
YCR057C	YJL069C
YCR057C	YJR002W
YCR057C	YJR145C
YCR057C	YKR060W
YCR057C	YLR129W
YCR057C	YLR186W
YCR057C	YLR409C
YCR057C	YMR093W
YCR057C	YMR128W
YCR057C	YNL075W
YCR057C	YNL132W
YCR057C	YPL126W
YCR057C	YPR137W
YCR060W	YPL235W
YCR063W	YHR165C
YCR063W	YLL036C
YCR063W	YLR117C
YCR063W	YPR101W
YCR077C	YER112W
YCR077C	YER146W
YCR077C	YER172C
YCR077C	YGL173C
YCR077C	YHR165C
YCR077C	YKL173W
YCR077C	YLR438C-A
YCR077C	YOR308C
YCR077C	YPR178W
YCR081W	YDR308C
YCR081W	YER022W
YCR081W	YGL025C
YCR081W	YGL127C
YCR081W	YHR041C
YCR081W	YHR058C
YCR081W	YMR112C
YCR081W	YNL236W
YCR081W	YOL135C
YCR081W	YOR174W
YCR081W	YPR070W
YCR093W	YGR134W
YCR093W	YNR052C
YCR095C	YHL029C
YDL003W	YFL008W
YDL003W	YJL074C
YDL018C	YML012W
YDL040C	YPL198W
YDL051W	YGR162W
YDL051W	YKL122C
YDL051W	YML105C
YDL051W	YPL243W
YDL056W	YLR182W
YDL076C	YIL084C
YDL076C	YNL097C
YDL076C	YPL139C
YDL082W	YDL083C
YDL082W	YDR471W
YDL082W	YEL054C
YDL082W	YER074W
YDL082W	YGL014W
YDL082W	YGL030W
YDL082W	YGL076C
YDL082W	YGR103W
YDL082W	YHL001W
YDL082W	YHR010W
YDL082W	YHR216W
YDL082W	YIL133C
YDL082W	YJL177W
YDL082W	YJL190C
YDL082W	YJR123W
YDL082W	YJR145C
YDL082W	YKL180W
YDL082W	YLL045C
YDL082W	YLR029C
YDL082W	YLR340W
YDL082W	YLR441C
YDL082W	YLR448W
YDL082W	YML073C
YDL082W	YMR290C
YDL082W	YNL069C
YDL082W	YNL301C
YDL082W	YOL041C
YDL082W	YOL077C
YDL082W	YOL120C
YDL082W	YOR063W
YDL082W	YOR234C
YDL082W	YPL093W
YDL082W	YPL198W
YDL083C	YDR471W
YDL083C	YEL026W
YDL083C	YER074W
YDL083C	YGL030W
YDL083C	YGL076C
YDL083C	YGL120C
YDL083C	YGL123W
YDL083C	YGR118W
YDL083C	YHL001W
YDL083C	YIL133C
YDL083C	YJL177W
YDL083C	YJL190C
YDL083C	YJR123W
YDL083C	YJR145C
YDL083C	YKL180W
YDL083C	YLL045C
YDL083C	YLR029C
YDL083C	YLR340W
YDL083C	YLR441C
YDL083C	YLR448W
YDL083C	YML073C
YDL083C	YMR230W
YDL083C	YNL069C
YDL083C	YNL301C
YDL083C	YOL040C
YDL083C	YOR063W
YDL083C	YOR204W
YDL083C	YPL081W
YDL084W	YDR381W
YDL087C	YGR074W
YDL087C	YHR165C
YDL087C	YIL061C
YDL087C	YKL173W
YDL087C	YML046W
YDL097C	YDL147W
YDL097C	YDR427W
YDL097C	YFR010W
YDL097C	YFR052W
YDL097C	YHR027C
YDL097C	YIL075C
YDL116W	YGL092W
YDL116W	YJR042W
YDL116W	YLR208W
YDL132W	YDR328C
YDL132W	YJL047C
YDL140C	YDR404C
YDL140C	YGL043W
YDL140C	YGR005C
YDL140C	YIL021W
YDL140C	YOL005C
YDL140C	YOR151C
YDL140C	YOR210W
YDL140C	YPR093C
