YAL016W	YML109W
YAL021C	YCR093W
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YNR052C
YAL024C	YHR158C
YAL033W	YGR030C
YAL033W	YHR062C
YAL033W	YNL221C
YAL034C	YER110C
YAL034W-A	YIR010W
YAL034W-A	YJR112W
YAL034W-A	YPL233W
YAL035W	YBR079C
YAL035W	YDL082W
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YOR361C
YAL035W	YPL198W
YAL043C	YGR156W
YAL043C	YJR093C
YAL043C	YKL018W
YAL043C	YKR002W
YAL043C	YLR115W
YAL043C	YLR277C
YAL043C	YOR179C
YAL053W	YOR153W
YAR003W	YDR469W
YAR003W	YHR119W
YAR003W	YKL018W
YAR003W	YLR015W
YAR003W	YPL138C
YAR073W	YJR123W
YAR073W	YPL198W
YBL002W	YGL241W
YBL002W	YML069W
YBL002W	YOL012C
YBL007C	YOR181W
YBL014C	YCR024C
YBL021C	YGL237C
YBL021C	YOR358W
YBL026W	YER146W
YBL026W	YGL173C
YBL026W	YGR074W
YBL026W	YGR075C
YBL026W	YJL124C
YBL026W	YKL173W
YBL026W	YLR275W
YBL026W	YLR438C-A
YBL026W	YMR268C
YBL026W	YOR308C
YBL026W	YPR178W
YBL027W	YBR048W
YBL027W	YCR031C
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YFR032C-A
YBL027W	YGL014W
YBL027W	YGL103W
YBL027W	YGL123W
YBL027W	YHL001W
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YJR123W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR150W
YBL027W	YLR448W
YBL027W	YML073C
YBL027W	YNL069C
YBL027W	YNL301C
YBL027W	YPL090C
YBL035C	YIR008C
YBL035C	YKL045W
YBL037W	YOL062C
YBL045C	YPR191W
YBL046W	YDR075W
YBL046W	YML010W
YBL074C	YGR074W
YBL074C	YKL173W
YBL074C	YLR275W
YBL074C	YOR308C
YBL074C	YPR178W
YBL087C	YMR290C
YBL087C	YPL093W
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGL129C
YBL090W	YGR084C
YBL090W	YGR165W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YJR113C
YBL090W	YMR158W
YBL090W	YMR188C
YBL090W	YNL137C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YPL118W
YBL093C	YBR253W
YBL093C	YER022W
YBL093C	YGL025C
YBL093C	YGL127C
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YLR071C
YBL093C	YMR112C
YBL093C	YOL135C
YBL093C	YOR174W
YBL093C	YPL042C
YBL099W	YJR121W
YBR010W	YEL056W
YBR011C	YLR371W
YBR011C	YPL066W
YBR017C	YEL022W
YBR017C	YER110C
YBR025C	YGL195W
YBR025C	YJR121W
YBR025C	YKL081W
YBR048W	YBR189W
YBR048W	YBR247C
YBR048W	YCL011C
YBR048W	YCR031C
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR299W
YBR048W	YDR365C
YBR048W	YDR471W
YBR048W	YER074W
YBR048W	YGL076C
YBR048W	YGR090W
YBR048W	YHL001W
YBR048W	YIL133C
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YJR123W
YBR048W	YJR145C
YBR048W	YKL180W
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR340W
YBR048W	YLR367W
YBR048W	YLR448W
YBR048W	YML073C
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL132W
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOR204W
YBR048W	YPL012W
YBR048W	YPL081W
YBR048W	YPL090C
YBR048W	YPL198W
YBR060C	YLL004W
YBR060C	YPR162C
YBR079C	YJR007W
YBR079C	YNL244C
YBR079C	YOR361C
YBR079C	YPL081W
YBR087W	YJR068W
YBR087W	YOR144C
YBR095C	YDL076C
YBR095C	YIL084C
YBR095C	YMR075W
YBR095C	YNL097C
YBR095C	YOL004W
YBR095C	YPL139C
YBR095C	YPR023C
YBR097W	YLR360W
YBR102C	YER008C
YBR102C	YIL068C
YBR102C	YJL085W
YBR103W	YGL194C
YBR103W	YLR347C
YBR105C	YDL082W
YBR105C	YIL097W
YBR107C	YBR211C
YBR122C	YDR237W
YBR122C	YDR405W
YBR122C	YGR220C
YBR122C	YJL063C
YBR122C	YKL167C
YBR122C	YKR085C
YBR122C	YLR439W
YBR122C	YMR024W
YBR122C	YMR193W
YBR122C	YOR150W
YBR126C	YDR074W
YBR126C	YML100W
YBR127C	YGR020C
YBR127C	YKL080W
YBR142W	YGL076C
YBR142W	YJR145C
YBR142W	YLL045C
YBR142W	YLR029C
YBR142W	YML073C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOL041C
YBR142W	YPL198W
YBR146W	YBR251W
YBR146W	YDR041W
YBR146W	YDR175C
YBR146W	YDR337W
YBR146W	YDR347W
YBR146W	YGL129C
YBR146W	YGR084C
YBR146W	YGR165W
YBR146W	YHL004W
YBR146W	YIL093C
YBR146W	YJR113C
YBR146W	YKL003C
YBR146W	YMR158W
YBR146W	YMR188C
YBR146W	YNL081C
YBR146W	YNL137C
YBR146W	YNL306W
YBR146W	YNR037C
YBR146W	YOR204W
YBR146W	YPL118W
YBR154C	YDL140C
YBR154C	YDL150W
YBR154C	YDR404C
YBR154C	YGL070C
YBR154C	YGR005C
YBR154C	YIL021W
YBR154C	YJL011C
YBR154C	YJL148W
YBR154C	YJR063W
YBR154C	YKR025W
YBR154C	YML010W
YBR154C	YNL113W
YBR154C	YNL248C
YBR154C	YOL005C
YBR154C	YOR116C
YBR154C	YOR151C
YBR154C	YOR210W
YBR154C	YPR110C
YBR154C	YPR187W
YBR170C	YGR048W
YBR189W	YBR247C
YBR189W	YCL011C
YBR189W	YCL037C
YBR189W	YCR031C
YBR189W	YDL083C
YBR189W	YDL148C
YBR189W	YDR449C
YBR189W	YDR471W
YBR189W	YER074W
YBR189W	YGL103W
YBR189W	YGL173C
YBR189W	YGR081C
YBR189W	YGR090W
YBR189W	YGR214W
YBR189W	YHL015W
YBR189W	YIL133C
YBR189W	YJL190C
YBR189W	YJR002W
YBR189W	YJR123W
YBR189W	YJR145C
YBR189W	YKL180W
YBR189W	YLL045C
YBR189W	YLR029C
YBR189W	YLR186W
YBR189W	YLR340W
YBR189W	YLR367W
YBR189W	YML073C
YBR189W	YNL069C
YBR189W	YNL132W
YBR189W	YNL207W
YBR189W	YNL301C
YBR189W	YOR204W
YBR189W	YPL012W
YBR189W	YPL081W
YBR189W	YPL090C
YBR195C	YPR018W
YBR211C	YDR383C
YBR211C	YLR381W
YBR245C	YCR052W
YBR245C	YDR190C
YBR245C	YFR013W
YBR245C	YGL133W
YBR245C	YLR357W
YBR245C	YNL030W
YBR247C	YDL148C
YBR247C	YDR449C
YBR247C	YGR145W
YBR247C	YHR148W
YBR247C	YJR002W
YBR247C	YJR145C
YBR247C	YLR186W
YBR247C	YMR093W
YBR247C	YMR128W
YBR247C	YNL132W
YBR247C	YNL207W
YBR247C	YPL012W
YBR247C	YPL204W
YBR251W	YDR041W
YBR251W	YDR175C
YBR251W	YDR337W
YBR251W	YDR347W
YBR251W	YGL129C
YBR251W	YGR084C
YBR251W	YGR165W
YBR251W	YHL004W
YBR251W	YIL093C
YBR251W	YJR113C
YBR251W	YKL003C
YBR251W	YMR158W
YBR251W	YMR188C
YBR251W	YNL137C
YBR251W	YNL306W
YBR251W	YNR037C
YBR251W	YPL118W
YBR253W	YCR081W
YBR253W	YDR448W
YBR253W	YER022W
YBR253W	YGL025C
YBR253W	YGL127C
YBR253W	YHR041C
YBR253W	YHR058C
YBR253W	YLR071C
YBR253W	YMR112C
YBR253W	YOL135C
YBR253W	YOR174W
YBR253W	YPL042C
YBR254C	YDR246W
YBR254C	YDR472W
YBR254C	YKR068C
YBR254C	YOR115C
YBR267W	YDR101C
YBR267W	YHR170W
YCL008C	YLR119W
YCL011C	YCL037C
YCL011C	YDL084W
YCL011C	YDR381W
YCL011C	YDR432W
YCL011C	YGL049C
YCL011C	YGL120C
YCL011C	YGL173C
YCL011C	YHR167W
YCL011C	YJR145C
YCL011C	YLL045C
YCL011C	YOR204W
YCL011C	YPL081W
YCL017C	YER048W-A
YCL031C	YGR090W
YCL037C	YDL083C
YCL037C	YGL049C
YCL037C	YGL120C
YCL037C	YGL173C
YCL037C	YJL190C
YCL037C	YJR145C
YCL037C	YMR290C
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YPL093W
YCR002C	YDL225W
YCR002C	YJR076C
YCR002C	YJR092W
YCR002C	YLR314C
YCR012W	YKL060C
YCR012W	YOL086C
YCR031C	YDL082W
YCR031C	YDL083C
YCR031C	YDL148C
YCR031C	YDR471W
YCR031C	YER074W
YCR031C	YGL076C
YCR031C	YGL103W
YCR031C	YGL123W
YCR031C	YHL001W
YCR031C	YHL015W
YCR031C	YIL133C
YCR031C	YJL177W
YCR031C	YJL190C
YCR031C	YJR123W
YCR031C	YKL180W
YCR031C	YLL045C
YCR031C	YLR029C
YCR031C	YLR150W
YCR031C	YLR340W
YCR031C	YLR448W
YCR031C	YML073C
YCR031C	YNL069C
YCR031C	YNL132W
YCR031C	YNL301C
YCR031C	YOR204W
YCR031C	YOR234C
YCR031C	YPL090C
YCR031C	YPL143W
YCR042C	YML114C
YCR052W	YGR056W
YCR052W	YGR275W
YCR052W	YLR357W
YCR052W	YML127W
YCR052W	YMR033W
YCR060W	YPL235W
YCR063W	YLL036C
YCR063W	YLR117C
YCR063W	YMR213W
YCR063W	YPR101W
YCR072C	YDR101C
YCR072C	YKL009W
YCR072C	YPL093W
YCR081W	YER022W
YCR081W	YGL025C
YCR081W	YGL127C
YCR081W	YHR041C
YCR081W	YHR058C
YCR081W	YLR071C
YCR081W	YML007W
