YAL007C	YAR002C-A
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YML109W
YAL024C	YHR158C
YAL026C	YLR447C
YAL029C	YBR130C
YAL029C	YGL106W
YAL029C	YHR023W
YAL032C	YDR364C
YAL032C	YGR278W
YAL032C	YHR165C
YAL032C	YJR050W
YAL032C	YKL173W
YAL032C	YML049C
YAL032C	YMR213W
YAL032C	YPL213W
YAL032C	YPR101W
YAL033W	YBR167C
YAL033W	YNL282W
YAL034W-A	YIR010W
YAL034W-A	YPL233W
YAL035W	YBR031W
YAL035W	YBR079C
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR418W
YAL035W	YDR429C
YAL035W	YDR496C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJR123W
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPL198W
YAL035W	YPR041W
YAL042W	YML067C
YAL043C	YGR156W
YAL043C	YJR093C
YAL043C	YKL018W
YAL043C	YLR115W
YAL043C	YNL222W
YAL043C	YOR179C
YAL043C	YPR107C
YAL053W	YOR153W
YAR003W	YBR175W
YAR003W	YBR258C
YAR003W	YHR119W
YAR003W	YKL018W
YAR003W	YLR015W
YAR003W	YPL138C
YAR073W	YGR085C
YAR073W	YJR123W
YAR073W	YLR432W
YAR073W	YMR242C
YAR073W	YOR096W
YAR073W	YPL198W
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YDR224C
YBL003C	YGL241W
YBL008W	YBR215W
YBL014C	YCL048W
YBL021C	YGL237C
YBL021C	YOR358W
YBL026W	YER029C
YBL026W	YGL173C
YBL026W	YGR075C
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJR022W
YBL026W	YKL173W
YBL026W	YMR268C
YBL026W	YNL147W
YBL027W	YBL092W
YBL027W	YBR031W
YBL027W	YBR048W
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDL083C
YBL027W	YDR064W
YBL027W	YER074W
YBL027W	YFR031C-A
YBL027W	YGL030W
YBL027W	YGL147C
YBL027W	YGR085C
YBL027W	YHL033C
YBL027W	YJL177W
YBL027W	YJR123W
YBL027W	YKL180W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR150W
YBL027W	YLR287C-A
YBL027W	YLR441C
YBL027W	YLR448W
YBL027W	YMR242C
YBL027W	YNL069C
YBL027W	YNL178W
YBL027W	YNL301C
YBL027W	YOR063W
YBL027W	YOR096W
YBL027W	YPL090C
YBL038W	YCR046C
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YGR220C
YBL038W	YKL167C
YBL038W	YML025C
YBL038W	YNL252C
YBL041W	YER094C
YBL041W	YFR050C
YBL041W	YMR314W
YBL041W	YOL038W
YBL041W	YOR362C
YBL041W	YPR103W
YBL046W	YDR075W
YBL046W	YML010W
YBL056W	YDR071C
YBL072C	YBR031W
YBL072C	YBR048W
YBL072C	YBR079C
YBL072C	YBR189W
YBL072C	YBR247C
YBL072C	YCL037C
YBL072C	YCL059C
YBL072C	YDL014W
YBL072C	YDL082W
YBL072C	YDL083C
YBL072C	YDR064W
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YER074W
YBL072C	YFR031C-A
YBL072C	YGL076C
YBL072C	YGL120C
YBL072C	YGL147C
YBL072C	YGR054W
YBL072C	YGR085C
YBL072C	YGR090W
YBL072C	YGR145W
YBL072C	YHL015W
YBL072C	YHL033C
YBL072C	YHL034C
YBL072C	YJL177W
YBL072C	YJR002W
YBL072C	YJR123W
YBL072C	YKL180W
YBL072C	YLL011W
YBL072C	YLL045C
YBL072C	YLR029C
YBL072C	YLR197W
YBL072C	YLR287C-A
YBL072C	YLR340W
YBL072C	YLR441C
YBL072C	YLR448W
YBL072C	YMR093W
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR229C
YBL072C	YMR242C
YBL072C	YMR290C
YBL072C	YNL132W
YBL072C	YNL178W
YBL072C	YNL308C
YBL072C	YOR063W
YBL072C	YOR096W
YBL072C	YOR361C
YBL072C	YPL090C
YBL072C	YPL126W
YBL072C	YPL131W
YBL072C	YPL198W
YBL072C	YPR144C
YBL074C	YER029C
YBL074C	YHR165C
YBL074C	YKL173W
YBL079W	YMR153W
YBL087C	YGL111W
YBL087C	YMR290C
YBL087C	YPL093W
YBL087C	YPL208W
YBL090W	YBR146W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YGR084C
YBL090W	YJR101W
YBL090W	YKL155C
YBL090W	YMR158W
YBL090W	YNL137C
YBL090W	YPL118W
YBL092W	YBR031W
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDL083C
YBL092W	YDR064W
YBL092W	YER074W
YBL092W	YFR031C-A
YBL092W	YGL030W
YBL092W	YGL147C
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YJL177W
YBL092W	YJR123W
YBL092W	YKL180W
YBL092W	YLR029C
YBL092W	YLR287C-A
YBL092W	YLR441C
YBL092W	YLR448W
YBL092W	YNL069C
YBL092W	YNL301C
YBL092W	YOR063W
YBL092W	YOR096W
YBL097W	YLR272C
YBR011C	YDL203C
YBR017C	YEL022W
YBR017C	YER110C
YBR017C	YGL122C
YBR017C	YJR077C
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YBR142W
YBR031W	YBR189W
YBR031W	YDL075W
YBR031W	YDL082W
YBR031W	YDL083C
YBR031W	YDR418W
YBR031W	YDR496C
YBR031W	YER074W
YBR031W	YFR031C-A
YBR031W	YGL030W
YBR031W	YGL147C
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YJR123W
YBR031W	YKL180W
YBR031W	YLL045C
YBR031W	YLR029C
YBR031W	YLR287C-A
