YAL002W	YLR396C
YAL003W	YPL048W
YAL007C	YAR002C-A
YAL007C	YML012W
YAL011W	YDR190C
YAL011W	YDR485C
YAL011W	YPL235W
YAL021C	YNR052C
YAL027W	YML095C
YAL027W	YPL022W
YAL033W	YNL221C
YAL033W	YNL282W
YAL034W-A	YIR010W
YAR002C-A	YML012W
YAR002W	YLR347C
YAR003W	YBR258C
YAR003W	YHR119W
YAR003W	YKL018W
YAR003W	YPL138C
YAR073W	YGR085C
YAR073W	YLR432W
YAR073W	YML056C
YAR073W	YML063W
YAR073W	YOR096W
YBL002W	YBL003C
YBL002W	YGL241W
YBL002W	YKR048C
YBL002W	YMR072W
YBL002W	YOL012C
YBL003C	YBR010W
YBL003C	YBR245C
YBL003C	YGL241W
YBL003C	YKR048C
YBL003C	YMR072W
YBL003C	YNL030W
YBL008W	YBR215W
YBL027W	YBL092W
YBL027W	YBR048W
YBL027W	YBR191W
YBL027W	YCR031C
YBL027W	YDL075W
YBL027W	YDL082W
YBL027W	YDR064W
YBL027W	YDR382W
YBL027W	YDR471W
YBL027W	YER074W
YBL027W	YGL014W
YBL027W	YGL123W
YBL027W	YGL147C
YBL027W	YGR085C
YBL027W	YHL001W
YBL027W	YHL033C
YBL027W	YIL133C
YBL027W	YJL177W
YBL027W	YLL045C
YBL027W	YLR029C
YBL027W	YLR075W
YBL027W	YLR150W
YBL027W	YLR344W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YNL069C
YBL027W	YNL178W
YBL027W	YOL040C
YBL027W	YOR063W
YBL027W	YOR096W
YBL027W	YPL090C
YBL027W	YPL249C-A
YBL041W	YER012W
YBL041W	YER094C
YBL041W	YFR050C
YBL041W	YGL011C
YBL041W	YML092C
YBL041W	YOL038W
YBL045C	YPR191W
YBL046W	YML010W
YBL046W	YNL201C
YBL047C	YCR030C
YBL074C	YBR055C
YBL074C	YGR074W
YBL074C	YHR165C
YBL074C	YOR308C
YBL090W	YBR146W
YBL090W	YDR041W
YBL090W	YDR347W
YBL090W	YGR215W
YBL090W	YHL004W
YBL090W	YIL093C
YBL090W	YKL155C
YBL090W	YMR188C
YBL090W	YNL306W
YBL090W	YPL013C
YBL090W	YPL118W
YBL092W	YBR191W
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDR064W
YBL092W	YDR382W
YBL092W	YDR471W
YBL092W	YER074W
YBL092W	YGL014W
YBL092W	YGL147C
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YHL001W
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YLR029C
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YNL069C
YBL092W	YOL040C
YBL092W	YOR063W
YBL092W	YOR096W
YBL093C	YDR308C
YBL093C	YER022W
YBL093C	YGL151W
YBL093C	YHR041C
YBL093C	YHR058C
YBL093C	YMR112C
YBL093C	YNR010W
YBL093C	YOR174W
YBL093C	YPL042C
YBL093C	YPR070W
YBR010W	YEL056W
YBR011C	YDL203C
YBR025C	YDL185W
YBR025C	YGL195W
YBR025C	YJR121W
YBR048W	YCL011C
YBR048W	YCL059C
YBR048W	YCR031C
YBR048W	YDL014W
YBR048W	YDL060W
YBR048W	YDL148C
YBR048W	YDR064W
YBR048W	YDR365C
YBR048W	YDR471W
YBR048W	YER025W
YBR048W	YER074W
YBR048W	YGR085C
YBR048W	YHL001W
YBR048W	YHL033C
YBR048W	YIL133C
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YJR145C
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR075W
YBR048W	YML063W
YBR048W	YML073C
YBR048W	YMR194W
YBR048W	YMR229C
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL178W
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOR063W
YBR048W	YOR096W
YBR048W	YOR204W
YBR048W	YPL012W
YBR048W	YPL081W
YBR048W	YPL090C
YBR048W	YPL217C
YBR052C	YCR004C
YBR055C	YCR077C
YBR055C	YDR378C
YBR055C	YDR473C
YBR055C	YGR074W
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YJL203W
YBR055C	YLR147C
YBR055C	YMR240C
YBR055C	YOR159C
YBR055C	YOR308C
YBR055C	YPL213W
YBR055C	YPR082C
YBR061C	YMR259C
YBR065C	YDL209C
YBR065C	YHR165C
YBR065C	YPL151C
YBR065C	YPR101W
YBR087W	YOL094C
YBR087W	YOR144C
YBR087W	YOR217W
YBR094W	YEL015W
YBR095C	YMR263W
YBR095C	YNL330C
YBR095C	YOL004W
YBR095C	YPL139C
YBR095C	YPL181W
YBR102C	YER008C
YBR105C	YDL082W
YBR105C	YIL017C
YBR105C	YIL097W
YBR109C	YFL039C
YBR109C	YKL007W
YBR109C	YMR109W
YBR109C	YOR326W
YBR117C	YPR074C
YBR126C	YDR074W
YBR126C	YMR261C
YBR135W	YDL155W
YBR135W	YKR091W
YBR135W	YLR079W
YBR135W	YPL256C
YBR137W	YOR007C
YBR142W	YDL014W
YBR142W	YDR060W
YBR142W	YDR496C
YBR142W	YGR085C
YBR142W	YJR145C
YBR142W	YLL045C
YBR142W	YLR029C
YBR142W	YML073C
YBR142W	YMR049C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YOR063W
YBR142W	YOR272W
YBR142W	YPL211W
YBR142W	YPL249C-A
YBR146W	YDR041W
YBR146W	YDR347W
YBR146W	YER050C
YBR146W	YGR215W
YBR146W	YHL004W
YBR146W	YIL093C
YBR146W	YKL003C
YBR146W	YKL155C
YBR146W	YMR188C
YBR146W	YNL081C
YBR146W	YNL306W
YBR146W	YOR204W
YBR146W	YPL013C
YBR146W	YPL118W
YBR169C	YDR349C
YBR191W	YCR031C
YBR191W	YDL075W
YBR191W	YDL082W
YBR191W	YDR471W
YBR191W	YER074W
YBR191W	YGL014W
YBR191W	YGL123W
YBR191W	YGL147C
YBR191W	YGR085C
YBR191W	YHL001W
YBR191W	YHL033C
YBR191W	YJL177W
YBR191W	YML073C
YBR191W	YMR194W
YBR191W	YNL069C
YBR191W	YNL178W
YBR191W	YOR063W
YBR195C	YML102W
YBR195C	YPR018W
YBR211C	YDR254W
YBR211C	YDR383C
YBR211C	YGR179C
YBR211C	YJR135C
YBR211C	YLR381W
YBR245C	YCR052W
YBR245C	YDR190C
YBR245C	YFL039C
YBR245C	YKR008W
YBR245C	YLR033W
YBR245C	YLR357W
YBR245C	YMR072W
YBR245C	YNL030W
YBR245C	YOR207C
YBR245C	YOR304W
YBR254C	YGR166W
YBR254C	YKR068C
YBR254C	YMR218C
YBR254C	YOR115C
YBR258C	YHR119W
YBR258C	YKL018W
YBR258C	YPL138C
YBR288C	YGR261C
YBR288C	YPL195W
YBR289W	YFL049W
YBR289W	YJL176C
YBR289W	YMR033W
YBR289W	YNR023W
YCL008C	YGR206W
YCL011C	YCL037C
YCL011C	YDL014W
YCL011C	YDL084W
YCL011C	YDR064W
YCL011C	YDR138W
YCL011C	YDR432W
YCL011C	YGL049C
YCL011C	YGL173C
YCL011C	YGR162W
YCL011C	YJR145C
YCL011C	YLL045C
YCL011C	YLR432W
YCL011C	YOR204W
YCL011C	YPL081W
YCL017C	YER048W-A
YCL024W	YKR048C
YCL037C	YDL014W
YCL037C	YGL049C
YCL037C	YGL173C
YCL037C	YGR162W
YCL037C	YJL190C
YCL037C	YJR145C
YCL037C	YML056C
YCL037C	YMR290C
YCL037C	YOR096W
YCL054W	YDL031W
YCL054W	YER006W
YCL054W	YKL172W
YCL054W	YMR290C
YCL054W	YNL061W
YCL054W	YPL093W
YCL054W	YPL211W
YCL059C	YDL014W
YCL059C	YDL148C
YCL059C	YDL213C
YCL059C	YER082C
YCL059C	YGR145W
YCL059C	YHR148W
YCL059C	YJR002W
YCL059C	YJR145C
YCL059C	YLL011W
