YAL001C	YGR047C
YAL002W	YLR148W
YAL024C	YHR158C
YAL032C	YDL209C
YAL032C	YDR364C
YAL032C	YER172C
YAL032C	YGL128C
YAL032C	YHR165C
YAL032C	YJR050W
YAL032C	YML049C
YAL032C	YMR288W
YAL032C	YPL213W
YAL033W	YBL018C
YAL033W	YBR257W
YAL033W	YHR062C
YAL033W	YNL282W
YAL034C	YER110C
YAL034W-A	YJR112W
YAL035W	YBR031W
YAL035W	YDL014W
YAL035W	YDL082W
YAL035W	YDR091C
YAL035W	YDR496C
YAL035W	YFR031C-A
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR123W
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YNL178W
YAL035W	YPR041W
YAL047C	YHR172W
YAL047C	YNL126W
YAR007C	YHR164C
YAR007C	YNL312W
YAR014C	YER133W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YJR123W
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YBL003C	YDR224C
YBL003C	YNL030W
YBL003C	YPL082C
YBL018C	YBR257W
YBL018C	YHR062C
YBL018C	YNL282W
YBL021C	YOR358W
YBL035C	YKL045W
YBL035C	YNL102W
YBL041W	YER012W
YBL041W	YER021W
YBL041W	YFR050C
YBL041W	YGR135W
YBL041W	YJL001W
YBL041W	YMR314W
YBL041W	YPR103W
YBL067C	YOL087C
YBL074C	YBR055C
YBL074C	YER172C
YBL074C	YHR165C
YBL074C	YOR308C
YBL074C	YPR178W
YBL087C	YDR361C
YBL087C	YGL111W
YBL087C	YMR290C
YBL087C	YPL093W
YBL092W	YBR031W
YBL092W	YDL082W
YBL092W	YDL083C
YBL092W	YDR471W
YBL092W	YFR031C-A
YBL092W	YGL031C
YBL092W	YGL147C
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YHR029C
YBL092W	YJL177W
YBL092W	YJR123W
YBL092W	YKL180W
YBL092W	YLR029C
YBL092W	YLR287C-A
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YNL069C
YBL092W	YOL040C
YBL092W	YOR096W
YBL097W	YFR031C
YBL097W	YLR272C
YBL105C	YGR254W
YBR017C	YEL022W
YBR017C	YER110C
YBR017C	YJR077C
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YDL082W
YBR031W	YDL083C
YBR031W	YDR471W
YBR031W	YDR496C
YBR031W	YFR031C-A
YBR031W	YGL031C
YBR031W	YGL147C
YBR031W	YGR085C
YBR031W	YIL133C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR123W
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLL045C
YBR031W	YLR029C
YBR031W	YLR287C-A
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR242C
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL132W
YBR031W	YNL178W
YBR031W	YOL120C
YBR031W	YOR096W
YBR031W	YPL220W
YBR048W	YBR247C
YBR048W	YDL014W
YBR048W	YDL060W
YBR048W	YDL083C
YBR048W	YDR299W
YBR048W	YDR471W
YBR048W	YFR031C-A
YBR048W	YGL076C
YBR048W	YGR085C
YBR048W	YGR090W
YBR048W	YIL133C
YBR048W	YJL177W
YBR048W	YJL190C
YBR048W	YJR123W
YBR048W	YJR145C
YBR048W	YKL180W
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR287C-A
YBR048W	YLR340W
YBR048W	YLR367W
YBR048W	YLR448W
YBR048W	YML063W
YBR048W	YML073C
YBR048W	YMR194W
YBR048W	YMR229C
YBR048W	YMR242C
YBR048W	YMR290C
YBR048W	YNL069C
YBR048W	YNL132W
YBR048W	YNL178W
YBR048W	YNL308C
YBR048W	YNR054C
YBR048W	YOR096W
YBR055C	YBR152W
YBR055C	YDL043C
YBR055C	YDL098C
YBR055C	YER146W
YBR055C	YER172C
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YLR147C
YBR055C	YML046W
YBR055C	YML049C
YBR055C	YMR268C
YBR055C	YMR288W
YBR055C	YOR308C
YBR055C	YPL213W
YBR055C	YPR178W
YBR061C	YMR259C
YBR065C	YDL209C
YBR065C	YER172C
YBR065C	YHR165C
YBR084W	YDR471W
YBR084W	YFR031C-A
YBR084W	YLR340W
YBR087W	YJR068W
YBR087W	YOL094C
YBR102C	YGL233W
YBR103W	YIL112W
YBR103W	YOL068C
YBR105C	YDL082W
YBR105C	YIL017C
YBR107C	YBR211C
YBR107C	YJR135C
YBR122C	YCR046C
YBR122C	YCR071C
YBR122C	YDR116C
YBR122C	YDR405W
YBR122C	YHR147C
YBR122C	YJL063C
YBR122C	YKR006C
YBR122C	YMR024W
YBR122C	YNL005C
YBR122C	YNL252C
YBR128C	YPL120W
YBR135W	YBR160W
YBR135W	YLR079W
YBR135W	YPL256C
YBR146W	YBR251W
YBR146W	YDR036C
YBR146W	YDR175C
YBR146W	YER050C
YBR146W	YGR165W
YBR146W	YHL004W
YBR146W	YJR101W
YBR146W	YKL155C
YBR146W	YNL137C
YBR146W	YNL306W
YBR146W	YPL013C
YBR146W	YPL118W
YBR152W	YDL098C
YBR152W	YOR308C
YBR152W	YPR178W
YBR160W	YLR079W
YBR160W	YPL256C
YBR169C	YDR349C
YBR171W	YLR292C
YBR195C	YML102W
YBR195C	YPR018W
YBR211C	YDR383C
YBR211C	YJR135C
YBR211C	YPL018W
YBR215W	YJR140C
YBR215W	YOR038C
YBR231C	YDR334W
YBR231C	YDR485C
YBR231C	YFL039C
YBR231C	YLR399C
YBR231C	YNL107W
YBR231C	YPL235W
YBR234C	YIL062C
YBR234C	YKL013C
YBR234C	YLR370C
YBR234C	YNR035C
YBR247C	YDL014W
YBR247C	YDL060W
YBR247C	YJR002W
YBR247C	YJR145C
YBR247C	YKL143W
YBR247C	YMR093W
YBR247C	YMR128W
YBR247C	YNL132W
YBR247C	YNL178W
YBR247C	YNL207W
YBR247C	YOR096W
YBR247C	YPR144C
YBR251W	YDR175C
YBR251W	YGR165W
YBR251W	YHL004W
YBR251W	YJR101W
YBR251W	YKL155C
YBR251W	YNL137C
YBR251W	YNL306W
YBR251W	YPL013C
YBR251W	YPL118W
YBR254C	YDR108W
YBR254C	YDR407C
YBR254C	YKR068C
YBR254C	YML077W
YBR254C	YMR218C
YBR254C	YOR115C
YBR257W	YHR062C
YBR258C	YDR469W
YBR258C	YKL018W
YBR258C	YPL138C
YBR267W	YDR101C
YBR282W	YCR046C
YBR282W	YDR116C
YBR282W	YMR024W
YBR282W	YNL005C
YBR282W	YNL252C
YCL016C	YHR191C
YCL024W	YDR507C
