YAL002W	YMR231W
YAL007C	YAR002C-A
YAL007C	YGL200C
YAL007C	YML012W
YAL021C	YCR093W
YAL021C	YGR134W
YAL021C	YNL288W
YAL021C	YNR052C
YAL026C	YLR447C
YAL033W	YBL018C
YAL033W	YNL221C
YAL033W	YNL282W
YAL034W-A	YIR010W
YAL034W-A	YPL233W
YAL035W	YBR031W
YAL035W	YDL014W
YAL035W	YDR418W
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YMR309C
YAL035W	YPR041W
YAL047C	YHR172W
YAL047C	YNL126W
YAR002C-A	YGL200C
YAR002C-A	YML012W
YAR003W	YHR119W
YAR003W	YLR015W
YAR003W	YPL138C
YAR014C	YER133W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YLR432W
YAR073W	YML056C
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YAR075W	YML056C
YBL014C	YCL048W
YBL014C	YCR024C
YBL018C	YNL221C
YBL018C	YNL282W
YBL026W	YBR055C
YBL026W	YDL160C
YBL026W	YER146W
YBL026W	YGR091W
YBL026W	YHR165C
YBL026W	YJL124C
YBL026W	YLR275W
YBL026W	YMR268C
YBL026W	YNL147W
YBL035C	YNL102W
YBL038W	YBR122C
YBL038W	YCR071C
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKR006C
YBL038W	YKR085C
YBL038W	YLR439W
YBL038W	YMR193W
YBL038W	YNL005C
YBL038W	YNL252C
YBL038W	YNL284C
YBL041W	YER012W
YBL041W	YFL007W
YBL041W	YGR135W
YBL041W	YGR253C
YBL041W	YML092C
YBL041W	YOR157C
YBL041W	YPR103W
YBL056W	YDR071C
YBL074C	YBR055C
YBL074C	YHR165C
YBL074C	YLR275W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YJR101W
YBL090W	YJR113C
YBL090W	YMR188C
YBL090W	YNL137C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YOR158W
YBL090W	YPL013C
YBL092W	YBR031W
YBL092W	YDR064W
YBL092W	YDR471W
YBL092W	YER074W
YBL092W	YFR032C-A
YBL092W	YGL030W
YBL092W	YGR085C
YBL092W	YGR118W
YBL092W	YHR029C
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YLR441C
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YNL069C
YBL092W	YNL096C
YBL092W	YOL040C
YBL092W	YOL127W
YBL092W	YOR096W
YBL093C	YBR193C
YBL093C	YBR253W
YBL093C	YGL127C
YBL093C	YGL151W
YBL093C	YMR112C
YBL093C	YNL236W
YBL093C	YNR010W
YBL093C	YOL135C
YBL093C	YOR174W
YBL093C	YPL042C
YBL093C	YPR168W
YBL097W	YFR031C
YBL097W	YLR272C
YBL103C	YOL067C
YBL105C	YGR254W
YBR010W	YEL056W
YBR011C	YDL203C
YBR011C	YLR371W
YBR011C	YPL066W
YBR031W	YBR142W
YBR031W	YBR189W
YBR031W	YCR031C
YBR031W	YDR418W
YBR031W	YDR471W
YBR031W	YER074W
YBR031W	YGL030W
YBR031W	YGR085C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR145C
YBR031W	YKR081C
YBR031W	YLL045C
YBR031W	YLR075W
YBR031W	YLR441C
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
YBR031W	YMR242C
YBR031W	YMR290C
YBR031W	YNL069C
YBR031W	YNL096C
YBR031W	YNL132W
YBR031W	YOL127W
YBR031W	YOR096W
YBR031W	YPL012W
YBR031W	YPL090C
YBR031W	YPL249C-A
YBR055C	YDL043C
YBR055C	YDL160C
YBR055C	YER146W
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YJL203W
YBR055C	YLR275W
YBR055C	YML046W
YBR055C	YML049C
YBR055C	YMR240C
YBR055C	YMR268C
YBR055C	YNL147W
YBR055C	YOR159C
YBR061C	YMR259C
YBR081C	YCL010C
YBR081C	YDR176W
YBR081C	YDR392W
YBR081C	YDR448W
YBR081C	YGR252W
YBR081C	YHR099W
YBR081C	YLR055C
YBR081C	YML007W
YBR081C	YMR223W
YBR081C	YMR236W
YBR081C	YOL148C
YBR081C	YPL011C
YBR081C	YPL254W
YBR084W	YDR471W
YBR084W	YHR010W
YBR084W	YLR075W
YBR087W	YJR068W
YBR087W	YNL290W
YBR087W	YOL094C
YBR087W	YOR144C
YBR095C	YDL076C
YBR095C	YIL084C
YBR095C	YMR075W
YBR095C	YMR263W
YBR095C	YNL330C
YBR095C	YPL181W
YBR097W	YLR360W
YBR103W	YGL194C
YBR103W	YKR029C
YBR103W	YLR347C
YBR122C	YCR071C
YBR122C	YDR116C
YBR122C	YDR237W
YBR122C	YDR405W
YBR122C	YGR220C
YBR122C	YHR147C
YBR122C	YJL063C
YBR122C	YKR006C
YBR122C	YKR085C
YBR122C	YLR439W
YBR122C	YMR193W
YBR122C	YNL005C
YBR122C	YNL252C
YBR123C	YDR362C
YBR123C	YPL007C
YBR136W	YNL312W
YBR142W	YDL014W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YHR052W
YBR142W	YJR145C
YBR142W	YLL045C
YBR142W	YML073C
YBR142W	YMR229C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOR272W
