YAL002W	YLR396C
YAL003W	YGR285C
YAL003W	YHR064C
YAL003W	YKL081W
YAL033W	YGR030C
YAL033W	YHR062C
YAL033W	YNL282W
YAL034C	YER110C
YAL035W	YBR031W
YAL035W	YDL082W
YAL035W	YDR496C
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YLL045C
YAL035W	YLR192C
YAL035W	YMR146C
YAL035W	YNL178W
YAL035W	YOR361C
YAL035W	YPR041W
YAL043C	YDR195W
YAL043C	YER133W
YAL043C	YGR156W
YAL043C	YJR093C
YAL043C	YKL018W
YAL043C	YKR002W
YAL043C	YLR277C
YAL043C	YMR061W
YAL043C	YNL317W
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YNL126W
YAL053W	YOR153W
YAL062W	YOR375C
YAR002C-A	YGL200C
YAR002W	YLR347C
YAR002W	YNL189W
YAR014C	YER133W
YAR073W	YHR216W
YAR073W	YML056C
YAR073W	YML063W
YAR073W	YOR096W
YAR075W	YML056C
YBL002W	YBL003C
YBL002W	YKR048C
YBL002W	YML069W
YBL003C	YBR245C
YBL003C	YKR048C
YBL003C	YNL030W
YBL003C	YPL082C
YBL008W	YOR038C
YBL014C	YCL048W
YBL014C	YCR024C
YBL021C	YOR358W
YBL035C	YIR008C
YBL037W	YOL062C
YBL038W	YBR122C
YBL038W	YCR046C
YBL038W	YDR237W
YBL038W	YDR462W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKR006C
YBL038W	YLR439W
YBL038W	YMR024W
YBL046W	YDR075W
YBL046W	YML010W
YBL046W	YNL201C
YBL072C	YBR031W
YBL072C	YBR048W
YBL072C	YCL037C
YBL072C	YDL060W
YBL072C	YDL082W
YBL072C	YDL148C
YBL072C	YDR324C
YBL072C	YDR449C
YBL072C	YER074W
YBL072C	YGL076C
YBL072C	YGR090W
YBL072C	YHL015W
YBL072C	YHL034C
YBL072C	YJL177W
YBL072C	YJL190C
YBL072C	YJR002W
YBL072C	YJR145C
YBL072C	YKL180W
YBL072C	YLL045C
YBL072C	YLR287C-A
YBL072C	YLR340W
YBL072C	YLR441C
YBL072C	YLR448W
YBL072C	YML063W
YBL072C	YML073C
YBL072C	YMR116C
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR229C
YBL072C	YNL096C
YBL072C	YNL178W
YBL072C	YNL308C
YBL072C	YOR096W
YBL072C	YOR361C
YBL072C	YPL090C
YBL072C	YPL126W
YBL074C	YBR055C
YBL074C	YPR178W
YBL087C	YGL111W
YBL087C	YPL093W
YBL087C	YPL208W
YBL090W	YBR146W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YDR175C
YBL090W	YDR347W
YBL090W	YGR165W
YBL090W	YHL004W
YBL090W	YJR101W
YBL090W	YKL155C
YBL090W	YOR158W
YBL090W	YPL013C
YBL090W	YPL118W
YBL093C	YBR193C
YBL093C	YBR253W
YBL093C	YDR308C
YBL093C	YER022W
YBL093C	YGL127C
YBL093C	YGL151W
YBL093C	YGR104C
YBL093C	YHR041C
YBL093C	YLR071C
YBL093C	YNR010W
YBL093C	YOL135C
YBL093C	YPR070W
YBL093C	YPR168W
YBL105C	YGR254W
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR048W
YBR031W	YBR191W
YBR031W	YDL082W
YBR031W	YDR496C
YBR031W	YER074W
YBR031W	YGL030W
YBR031W	YGL031C
YBR031W	YIL133C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YLL045C
YBR031W	YLR287C-A
YBR031W	YLR441C
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
