YAL007C	YGL200C
YAL016W	YMR273C
YAL027W	YML095C
YAL027W	YPL022W
YAL032C	YDL209C
YAL032C	YDR416W
YAL032C	YER172C
YAL032C	YGL128C
YAL032C	YGR278W
YAL032C	YHR165C
YAL032C	YJR050W
YAL032C	YLL036C
YAL032C	YML049C
YAL032C	YMR213W
YAL032C	YPL213W
YAL032C	YPR101W
YAL034W-A	YIR010W
YAL034W-A	YPL233W
YAL047C	YHR172W
YAL047C	YNL126W
YAR014C	YER133W
YAR075W	YML056C
YBL003C	YBR010W
YBL003C	YBR245C
YBL003C	YDR224C
YBL003C	YNL030W
YBL003C	YPL082C
YBL008W	YBR215W
YBL008W	YOR038C
YBL014C	YCL048W
YBL014C	YCR024C
YBL021C	YOR358W
YBL035C	YIR008C
YBL035C	YKL045W
YBL035C	YNL102W
YBL038W	YDR116C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YDR322W
YBL038W	YDR462W
YBL038W	YGR220C
YBL038W	YJL063C
YBL038W	YKR006C
YBL038W	YML025C
YBL038W	YMR024W
YBL038W	YNL005C
YBL038W	YNL252C
YBL038W	YNL284C
YBL046W	YML010W
YBL058W	YDL126C
YBL074C	YER172C
YBL074C	YHR165C
YBL074C	YLR275W
YBL084C	YLR127C
YBL084C	YNL172W
YBL090W	YBR251W
YBL090W	YDL045W-A
YBL090W	YDR036C
YBL090W	YDR041W
YBL090W	YDR347W
YBL090W	YGR084C
YBL090W	YIL093C
YBL090W	YJR101W
YBL090W	YMR188C
YBL090W	YNL306W
YBL090W	YNR037C
YBL090W	YPL013C
YBL092W	YDL075W
YBL092W	YDL082W
YBL092W	YDL083C
YBL092W	YDR471W
YBL092W	YER074W
YBL092W	YGL030W
YBL092W	YGR118W
YBL092W	YHR029C
YBL092W	YJL177W
YBL092W	YJR094W-A
YBL092W	YJR123W
YBL092W	YKL180W
YBL092W	YLR029C
YBL092W	YLR441C
YBL092W	YLR448W
YBL092W	YMR194W
YBL092W	YNL069C
YBL092W	YNL301C
YBL092W	YOL040C
YBL092W	YOL127W
YBL092W	YOR063W
YBL092W	YOR096W
YBL093C	YBR193C
YBL093C	YDL005C
YBL093C	YDR308C
YBL093C	YGL151W
YBL093C	YHR041C
YBL093C	YNL236W
YBL093C	YOR174W
YBL093C	YPR168W
YBL097W	YFR031C
YBL097W	YLR272C
YBR010W	YEL056W
YBR011C	YDL203C
YBR011C	YLR425W
YBR048W	YBR247C
YBR048W	YCL011C
YBR048W	YDL014W
YBR048W	YDL083C
YBR048W	YDL148C
YBR048W	YDR365C
YBR048W	YDR418W
YBR048W	YDR471W
YBR048W	YER074W
YBR048W	YGL030W
YBR048W	YGL076C
YBR048W	YGR090W
YBR048W	YJL177W
YBR048W	YJR123W
YBR048W	YKL180W
YBR048W	YLL045C
YBR048W	YLR029C
YBR048W	YLR075W
YBR048W	YLR340W
YBR048W	YLR367W
YBR048W	YLR441C
YBR048W	YLR448W
YBR048W	YMR194W
YBR048W	YMR229C
YBR048W	YNL069C
YBR048W	YNL132W
YBR048W	YNL178W
YBR048W	YNR054C
YBR048W	YOL127W
YBR048W	YOR063W
YBR048W	YOR096W
YBR048W	YPL012W
YBR048W	YPL081W
YBR048W	YPL090C
YBR048W	YPL131W
YBR048W	YPL198W
YBR048W	YPL217C
YBR052C	YCR004C
YBR060C	YLL004W
YBR060C	YNL261W
YBR060C	YPR162C
YBR061C	YMR259C
YBR065C	YDL209C
YBR065C	YER172C
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPR101W
YBR087W	YNL290W
YBR087W	YOR217W
YBR094W	YEL015W
YBR097W	YLR360W
YBR097W	YPL120W
YBR102C	YJL085W
YBR103W	YDR155C
YBR103W	YGL194C
YBR103W	YIL112W
YBR103W	YKR029C
YBR103W	YOL068C
YBR123C	YGR047C
YBR123C	YOR110W
YBR135W	YBR160W
YBR135W	YKR091W
YBR135W	YPL256C
YBR136W	YJL173C
YBR143C	YDR172W
YBR143C	YPL237W
YBR160W	YPL256C
YBR169C	YDR349C
YBR171W	YLR292C
YBR171W	YOR254C
YBR175W	YKL018W
YBR175W	YLR015W
YBR193C	YDL005C
YBR193C	YDR308C
YBR193C	YGL151W
YBR193C	YHR041C
YBR193C	YML007W
YBR193C	YNL236W
YBR193C	YOR174W
YBR193C	YPR168W
YBR215W	YJR140C
YBR215W	YOR038C
YBR234C	YKL013C
YBR234C	YLR370C
YBR234C	YNR035C
YBR245C	YCR052W
YBR245C	YDR190C
YBR245C	YGL133W
YBR245C	YIL126W
YBR245C	YKR001C
YBR245C	YLR357W
YBR245C	YMR091C
YBR245C	YNL030W
YBR245C	YOL017W
YBR245C	YOR207C
YBR245C	YOR304W
YBR245C	YPL082C
YBR247C	YDL014W
YBR247C	YDL148C
YBR247C	YDR449C
YBR247C	YHR148W
YBR247C	YJR002W
YBR247C	YNL132W
YBR247C	YNL178W
YBR247C	YNL207W
YBR247C	YOR096W
YBR247C	YPL012W
YBR247C	YPL217C
YBR247C	YPR144C
YBR251W	YDR041W
YBR251W	YDR347W
YBR251W	YGR084C
YBR251W	YIL093C
YBR251W	YJR101W
YBR251W	YKL003C
YBR251W	YMR188C
YBR251W	YNL306W
YBR251W	YNR037C
YBR251W	YPL013C
YBR254C	YDR407C
YBR254C	YDR472W
YBR254C	YKR068C
YBR258C	YDR469W
YBR258C	YKL018W
YBR258C	YLR015W
YBR260C	YGR196C
YBR267W	YDR101C
YBR279W	YGL244W
YBR279W	YIL035C
YBR279W	YLR418C
YBR279W	YML069W
YBR279W	YOL145C
YBR279W	YOR061W
YBR282W	YDR116C
YBR282W	YDR237W
YBR282W	YDR296W
YBR282W	YDR322W
YBR282W	YMR024W
YBR282W	YNL005C
YBR282W	YNL252C
YBR289W	YDR073W
YBR289W	YMR033W
YBR289W	YOR290C
YBR289W	YPR034W
YCL011C	YCL037C
YCL011C	YDL014W
YCL011C	YDL084W
YCL011C	YDR432W
YCL011C	YGL120C
YCL011C	YGR162W
YCL011C	YLL045C
YCL011C	YLR432W
YCL011C	YML062C
YCL011C	YMR125W
YCL011C	YOL139C
YCL011C	YPL081W
YCL024W	YDR507C
YCL037C	YDL014W
YCL037C	YDL083C
YCL037C	YGL120C
YCL037C	YGR162W
YCL037C	YML056C
YCL037C	YMR125W
YCL037C	YMR230W
YCL037C	YOL139C
YCL037C	YOR096W
YCL037C	YPL131W
YCL048W	YCR024C
YCR020W-B	YCR052W
YCR020W-B	YIL126W
YCR020W-B	YLR321C
YCR020W-B	YLR357W
YCR020W-B	YMR033W
YCR020W-B	YMR091C
YCR020W-B	YPR034W
YCR035C	YDL111C
YCR035C	YGR195W
YCR035C	YNL189W
