YAL003W	YGR285C
YAL029C	YBR130C
YAL034W-A	YIR010W
YAR075W	YML056C
YBL002W	YGL241W
YBL002W	YML069W
YBL004W	YBL072C
YBL004W	YCL059C
YBL004W	YCR057C
YBL004W	YDL014W
YBL004W	YDR064W
YBL004W	YDR324C
YBL004W	YDR449C
YBL004W	YGR145W
YBL004W	YLL011W
YBL004W	YLR129W
YBL004W	YLR186W
YBL004W	YLR222C
YBL004W	YMR093W
YBL004W	YMR128W
YBL004W	YNL132W
YBL004W	YOL010W
YBL004W	YOR096W
YBL004W	YPL043W
YBL004W	YPL217C
YBL004W	YPL266W
YBL004W	YPR137W
YBL004W	YPR144C
YBL018C	YHR062C
YBL018C	YNL221C
YBL021C	YOR358W
YBL035C	YKL045W
YBL038W	YCR046C
YBL038W	YDR237W
YBL038W	YDR296W
YBL038W	YJL063C
YBL038W	YKR006C
YBL038W	YKR085C
YBL038W	YML025C
YBL038W	YMR193W
YBL038W	YNL252C
YBL038W	YOR150W
YBL072C	YBR031W
YBL072C	YCL037C
YBL072C	YCL059C
YBL072C	YCR031C
YBL072C	YDL014W
YBL072C	YDL060W
YBL072C	YDR064W
YBL072C	YDR324C
YBL072C	YDR418W
YBL072C	YDR449C
YBL072C	YER074W
YBL072C	YGL076C
YBL072C	YGL120C
YBL072C	YGL147C
YBL072C	YGR054W
YBL072C	YGR085C
YBL072C	YGR145W
YBL072C	YHL015W
YBL072C	YJL190C
YBL072C	YKL180W
YBL072C	YLL011W
YBL072C	YLR129W
YBL072C	YLR186W
YBL072C	YLR448W
YBL072C	YML063W
YBL072C	YML073C
YBL072C	YMR093W
YBL072C	YMR116C
YBL072C	YMR128W
YBL072C	YMR146C
YBL072C	YMR194W
YBL072C	YMR290C
YBL072C	YNL096C
YBL072C	YNL132W
YBL072C	YOL127W
YBL072C	YOR096W
YBL072C	YPL090C
YBL072C	YPL131W
YBL072C	YPL198W
YBL072C	YPR144C
YBL087C	YDR361C
YBL087C	YMR290C
YBL087C	YPL093W
YBL090W	YDR041W
YBL090W	YDR337W
YBL090W	YDR347W
YBL090W	YGL129C
YBL090W	YGR165W
YBL090W	YHL004W
YBL090W	YJR101W
YBL090W	YNL137C
YBL090W	YOR158W
YBL090W	YPL118W
YBL092W	YBR031W
YBL092W	YBR191W
YBL092W	YDR064W
YBL092W	YER074W
YBL092W	YGL030W
YBL092W	YGL031C
YBL092W	YGL147C
YBL092W	YGR085C
YBL092W	YJR094W-A
YBL092W	YKL180W
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YNL096C
YBL092W	YNL301C
YBL092W	YOL040C
YBL092W	YOL127W
YBL092W	YOR096W
YBR031W	YBR142W
YBR031W	YBR191W
YBR031W	YCR031C
YBR031W	YDR418W
YBR031W	YER074W
YBR031W	YGL030W
YBR031W	YGL031C
YBR031W	YGL147C
YBR031W	YGR085C
YBR031W	YIL133C
YBR031W	YJL190C
YBR031W	YKL180W
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR290C
YBR031W	YNL096C
YBR031W	YNL112W
YBR031W	YNL132W
YBR031W	YNL301C
YBR031W	YOL077C
YBR031W	YOL120C
YBR031W	YOL127W
YBR031W	YOR096W
YBR031W	YPL090C
YBR031W	YPL198W
YBR031W	YPL249C-A
YBR055C	YDL098C
YBR055C	YDR378C
YBR055C	YGR013W
YBR055C	YGR091W
YBR055C	YHR165C
YBR055C	YJL124C
YBR055C	YLL036C
YBR055C	YOR159C
YBR055C	YPL213W
YBR065C	YHR165C
YBR065C	YLL036C
YBR065C	YPR101W
YBR081C	YGR274C
YBR081C	YHR099W
YBR142W	YDL014W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YLL008W
YBR142W	YML073C
YBR142W	YMR049C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YNL061W
YBR142W	YOL041C
YBR142W	YPL043W
YBR142W	YPL131W
YBR142W	YPL198W
YBR142W	YPL211W
YBR142W	YPL249C-A
YBR191W	YCR031C
YBR191W	YDR418W
YBR191W	YER074W
YBR191W	YGL030W
YBR191W	YGL123W
YBR191W	YGL147C
YBR191W	YGR085C
YBR191W	YKL180W
YBR191W	YLR448W
YBR191W	YML073C
YBR191W	YMR194W
YBR191W	YNL096C
YBR191W	YOL127W
YBR195C	YPR018W
YBR245C	YCR052W
YBR245C	YDR303C
YBR245C	YFR013W
YBR245C	YMR091C
YBR245C	YOR207C
YBR258C	YHR119W
YBR282W	YCR046C
YBR282W	YDR237W
YBR282W	YDR296W
YBR282W	YMR193W
YBR282W	YNL252C
YCL037C	YDL014W
YCL037C	YGL120C
YCL037C	YJL190C
YCL037C	YML056C
YCL037C	YMR230W
YCL037C	YMR290C
YCL037C	YOL139C
YCL037C	YOR096W
YCL037C	YPL131W
YCL054W	YKL172W
YCL054W	YLL008W
YCL054W	YMR290C
YCL054W	YNL002C
YCL054W	YNL061W
YCL054W	YNL110C
YCL054W	YPL093W
YCL054W	YPL211W
YCL059C	YDL014W
YCL059C	YGR145W
YCL059C	YLL011W
YCL059C	YLR186W
YCL059C	YMR128W
YCL059C	YMR290C
YCL059C	YNL132W
YCL059C	YPL217C
YCL059C	YPR144C
YCR020W-B	YCR052W
YCR020W-B	YDR303C
YCR020W-B	YMR091C
YCR031C	YDL014W
YCR031C	YDR064W
YCR031C	YDR418W
YCR031C	YER074W
YCR031C	YGL030W
YCR031C	YGL031C
YCR031C	YGL076C
YCR031C	YGL123W
YCR031C	YGL147C
YCR031C	YGR085C
YCR031C	YHL015W
YCR031C	YIL133C
YCR031C	YJL190C
YCR031C	YKL180W
YCR031C	YLR150W
YCR031C	YLR448W
YCR031C	YML063W
YCR031C	YML073C
YCR031C	YMR142C
YCR031C	YMR194W
YCR031C	YNL096C
YCR031C	YNL132W
YCR031C	YNL301C
YCR031C	YNL302C
YCR031C	YOL127W
YCR031C	YOR096W
YCR031C	YOR204W
YCR031C	YOR234C
YCR031C	YPL090C
YCR031C	YPL249C-A
YCR046C	YDR237W
YCR046C	YDR296W
YCR046C	YJL063C
YCR046C	YKR006C
YCR046C	YKR085C
YCR046C	YML025C
YCR046C	YMR193W
YCR046C	YNL252C
YCR046C	YOR150W
YCR052W	YDR303C
YCR052W	YMR091C
YCR057C	YDL014W
YCR057C	YDR064W
YCR057C	YDR324C
YCR057C	YDR449C
YCR057C	YLL011W
YCR057C	YLR129W
YCR057C	YLR186W
YCR057C	YLR222C
YCR057C	YMR093W
YCR057C	YMR128W
