YAL007C	YAR002C-A
YAL024C	YHR158C
YAL033W	YBL018C
YAL033W	YHR062C
YAL033W	YNL221C
YAL033W	YNL282W
YAL034W-A	YIR010W
YAL035W	YBR031W
YAL035W	YDR418W
YAL035W	YGL076C
YAL035W	YJL190C
YAL035W	YJR145C
YAL035W	YMR309C
YAL035W	YOR063W
YAL035W	YOR361C
YAL035W	YPR041W
YAL047C	YHR172W
YAR003W	YBR258C
YAR003W	YDR469W
YAR003W	YHR119W
YAR073W	YGR085C
YAR073W	YHR216W
YAR073W	YLR432W
YAR073W	YML063W
YAR073W	YMR242C
YAR073W	YOR096W
YBL002W	YGL241W
YBL002W	YML069W
YBL004W	YBR189W
YBL004W	YCL059C
YBL004W	YDL148C
YBL004W	YDL213C
YBL004W	YER082C
YBL004W	YGR090W
YBL004W	YGR128C
YBL004W	YGR145W
YBL004W	YJL109C
YBL004W	YKR060W
YBL004W	YLL011W
YBL004W	YLR129W
YBL004W	YLR186W
YBL004W	YLR197W
YBL004W	YLR222C
YBL004W	YLR409C
YBL004W	YMR093W
YBL004W	YMR128W
YBL004W	YOR096W
YBL004W	YOR145C
YBL004W	YPL126W
YBL004W	YPL217C
YBL004W	YPR144C
YBL018C	YHR062C
YBL018C	YNL221C
YBL018C	YNL282W
YBL021C	YOR358W
YBL027W	YBL092W
YBL027W	YBR031W
YBL027W	YDL083C
YBL027W	YDR382W
YBL027W	YFR032C-A
YBL027W	YGL123W
YBL027W	YGR085C
YBL027W	YHL033C
YBL027W	YJL177W
YBL027W	YKL180W
YBL027W	YLR448W
YBL027W	YML063W
YBL027W	YML073C
YBL027W	YMR194W
YBL027W	YMR242C
YBL027W	YOL127W
YBL027W	YOR063W
YBL027W	YOR096W
YBL027W	YPL090C
YBL045C	YPR191W
YBL046W	YNL201C
YBL092W	YBR031W
YBL092W	YDL083C
YBL092W	YDR382W
YBL092W	YFR032C-A
YBL092W	YGR085C
YBL092W	YJL177W
YBL092W	YKL180W
YBL092W	YLR448W
YBL092W	YML063W
YBL092W	YML073C
YBL092W	YMR194W
YBL092W	YOL127W
YBL092W	YOR063W
YBL092W	YOR096W
YBR025C	YGL195W
YBR025C	YKL081W
YBR031W	YBR142W
YBR031W	YBR189W
YBR031W	YDL083C
YBR031W	YDR382W
YBR031W	YDR418W
YBR031W	YGR085C
YBR031W	YHL033C
YBR031W	YJL177W
YBR031W	YJL190C
YBR031W	YJR145C
YBR031W	YKL180W
YBR031W	YKR081C
YBR031W	YLR448W
YBR031W	YML063W
YBR031W	YML073C
YBR031W	YMR194W
YBR031W	YMR242C
YBR031W	YMR290C
YBR031W	YNL112W
YBR031W	YOL127W
YBR031W	YOR063W
YBR031W	YOR096W
YBR031W	YPL090C
YBR081C	YDR167W
YBR081C	YGR252W
YBR081C	YGR274C
YBR081C	YPL254W
YBR084W	YHR010W
YBR084W	YOR063W
YBR142W	YDR060W
YBR142W	YGL076C
YBR142W	YGR085C
YBR142W	YJR145C
YBR142W	YLL008W
YBR142W	YML073C
YBR142W	YMR049C
YBR142W	YMR290C
YBR142W	YNL002C
YBR142W	YOL041C
YBR142W	YOR063W
YBR142W	YPL131W
YBR142W	YPL211W
YBR154C	YDL150W
YBR154C	YGR005C
YBR154C	YGR063C
YBR154C	YJL148W
YBR154C	YJR063W
YBR154C	YNL248C
YBR154C	YOR116C
YBR154C	YOR207C
YBR154C	YOR340C
YBR154C	YPR110C
YBR154C	YPR187W
YBR154C	YPR190C
YBR171W	YLR292C
YBR171W	YOR254C
YBR189W	YCL037C
YBR189W	YDL083C
YBR189W	YDL148C
YBR189W	YDR382W
YBR189W	YDR418W
YBR189W	YGR081C
YBR189W	YGR085C
YBR189W	YGR090W
YBR189W	YGR214W
YBR189W	YJL190C
YBR189W	YJR145C
YBR189W	YKL180W
YBR189W	YLR186W
YBR189W	YLR197W
YBR189W	YML063W
YBR189W	YML073C
YBR189W	YMR194W
YBR189W	YMR242C
YBR189W	YOL127W
YBR189W	YOR063W
YBR189W	YOR096W
YBR189W	YOR145C
YBR189W	YPL090C
YBR189W	YPL131W
YBR195C	YML102W
YBR245C	YCR052W
YBR245C	YFR013W
YBR245C	YKR001C
YBR245C	YKR008W
YBR245C	YLR357W
YBR245C	YMR091C
YBR245C	YOL017W
YBR245C	YOR207C
YBR245C	YOR304W
YBR253W	YCR081W
YBR253W	YDR308C
YBR253W	YHR041C
YBR253W	YNL236W
YBR253W	YOR174W
YBR258C	YDR469W
YBR258C	YHR119W
YBR288C	YGR261C
YBR288C	YPL195W
YCL031C	YGR090W
YCL037C	YDL083C
YCL037C	YGL049C
YCL037C	YGL120C
YCL037C	YGR162W
YCL037C	YJL190C
YCL037C	YJR145C
YCL037C	YLR175W
YCL037C	YMR230W
YCL037C	YMR290C
YCL037C	YOR096W
YCL037C	YPL131W
YCL059C	YDL148C
YCL059C	YDL213C
YCL059C	YER082C
YCL059C	YGR145W
YCL059C	YJR145C
YCL059C	YLL011W
YCL059C	YLR175W
YCL059C	YLR186W
YCL059C	YLR197W
YCL059C	YMR128W
YCL059C	YMR290C
YCL059C	YNL308C
YCL059C	YPL217C
YCL059C	YPR144C
YCR002C	YDL225W
