YFL056C	YOL018C
YBL074C	YDR283C
YBL074C	YDL208W
YBL074C	YHR165C
YMR072W	YOL004W
YMR072W	YGL127C
YOR239W	YKL093W
YOR239W	YOR172W
YCR088W	YNL020C
YCR088W	YDL029W
YCR088W	YNL298W
YCR088W	YDR342C
YCR088W	YNL106C
YCR088W	YMR109W
YCR088W	YIL095W
YCR088W	YOR367W
YCR088W	YNL243W
YCR088W	YDR523C
YCR088W	YCR084C
YCR088W	YHR199C
YCR088W	YIR003W
YNR016C	YDL225W
YNR016C	YDL047W
YNR016C	YLR386W
YNR016C	YMR106C
YLR131C	YGR218W
YLR131C	YDR295C
YLR131C	YPR086W
YLR131C	YMR304W
YBL015W	YJR068W
YLR304C	YDR480W
YLR304C	YAR007C
YLR304C	YOL094C
YLR304C	YOL006C
YLR304C	YIL007C
YLR304C	YLR262C
YAL054C	YHR041C
YAL054C	YLR049C
YLR153C	YJR091C
YLR153C	YPR165W
YNL220W	YEL046C
YLR028C	YLR373C
YGR061C	YLR386W
YMR303C	YLR074C
YMR303C	YLR216C
YMR303C	YNL068C
YMR303C	YLR097C
YMR303C	YKL189W
YMR303C	YDR499W
YMR303C	YOL094C
YMR303C	YKL108W
YMR303C	YHR135C
YCR011C	YGL098W
YCR011C	YBR159W
YCR011C	YNL154C
YDR216W	YDL029W
YDR216W	YER177W
YDR216W	YDL145C
YDR216W	YOL133W
YDR216W	YER148W
YDR216W	YPR086W
YDR216W	YDR167W
YDR216W	YMR106C
YDL239C	YLR423C
YDL239C	YPL255W
YDL239C	YNL225C
YDL239C	YPL049C
YDL239C	YBR072W
YDL239C	YDR148C
YDL239C	YAR018C
YDL239C	YKL103C
YDL239C	YDR176W
YDL239C	YOR373W
YDL239C	YDL030W
YDL239C	YPL124W
YDL239C	YKL042W
YDL239C	YOL091W
YDL239C	YHR184W
YDL239C	YAL028W
YDL239C	YGR268C
YDL239C	YLR072W
YDL239C	YMR124W
YDL239C	YOR324C
YER017C	YKR066C
YER017C	YBR247C
YER017C	YBR034C
YER017C	YFL018C
YER017C	YMR089C
YBR132C	YHR042W
YDR214W	YBR217W
YDR214W	YDL101C
YDR214W	YJL030W
YDR214W	YDL200C
YDR214W	YOL094C
YDR214W	YHR030C
YDR214W	YDR523C
YDR214W	YOR212W
YOR023C	YNL118C
YOR023C	YDL030W
YBR059C	YPR033C
YBR059C	YIL095W
YBR059C	YGL213C
YBR059C	YML014W
YBR059C	YMR144W
YDR264C	YPL242C
YDR264C	YOR101W
YDR264C	YJR086W
YDR264C	YOR212W
YDR264C	YOR043W
YDR264C	YHR135C
YDR264C	YNL154C
YOR034C	YHR105W
YOR374W	YHR026W
YNL148C	YML124C
YGL065C	YER103W
YBR243C	YML075C
YBR243C	YER081W
YGR225W	YKL022C
YML035C	YLR191W
YBR158W	YHR064C
YBR158W	YGR285C
YEL036C	YDR245W
YEL036C	YPL050C
YEL036C	YPL094C
YEL036C	YHR080C
YPR128C	YMR306W
YPR128C	YAR027W
YPR180W	YER136W
YPR180W	YDR510W
YPR180W	YDR390C
YPR180W	YLR249W
YLR127C	YKL022C
YLR127C	YFR036W
YLR127C	YBL084C
YLR127C	YOL133W
YLR127C	YGR052W
YKL157W	YPR168W
YBR286W	YGL100W
YBR286W	YDR311W
YBR217W	YMR159C
YBR217W	YDL029W
YBR217W	YPR049C
YBR217W	YLR423C
YBR217W	YNR007C
YBR217W	YLR216C
YBR217W	YGR218W
YBR217W	YGL078C
YBR217W	YER025W
YBR217W	YBR011C
YBR217W	YGL016W
YBR217W	YIL125W
YBR217W	YGR240C
YBR217W	YEL060C
YBR217W	YAR031W
YBR217W	YHR076W
YBR217W	YLR059C
YBR217W	YER021W
YBR217W	YDL147W
YBR217W	YPR108W
YBR217W	YKL145W
YBR217W	YDR394W
YBR217W	YML055W
YBR217W	YJL138C
YBR217W	YLR031W
YBR217W	YNL208W
YMR159C	YLR288C
YMR159C	YOR098C
YMR159C	YDR510W
YMR159C	YOR212W
YMR159C	YFL040W
YMR159C	YFL068W
YBL037W	YOL062C
YBL037W	YNL118C
YPR029C	YPL259C
YPR029C	YHL019C
YPR029C	YLR170C
YPR029C	YFR043C
YGR261C	YBR288C
YGR261C	YHR174W
YGR261C	YOR106W
YPL259C	YLR170C
YPL259C	YOL077C
YPL259C	YNL132W
YPL259C	YNL308C
YPL259C	YCL059C
YPL259C	YPL093W
YPL259C	YPL043W
YPL259C	YLR196W
YPL259C	YLR329W
YPL259C	YOR187W
YHL019C	YLR170C
YHL019C	YFR045W
YBR288C	YPL016W
YOL062C	YFL045C
YIL040W	YER149C
YML022W	YER022W
YML022W	YMR106C
YPR192W	YCR034W
YPR192W	YDR331W
YPR192W	YKL065C
YPR192W	YHR140W
YIL062C	YKL013C
YIL062C	YNR035C
YIL062C	YBR234C
YIL062C	YDL029W
YKL013C	YNR035C
YKL013C	YBR234C
YKL013C	YDL029W
YKL013C	YKL129C
YKL013C	YMR109W
YNR035C	YBR234C
YNR035C	YDL029W
YNR035C	YBR109C
YNR035C	YDL225W
YNR035C	YGL208W
YBR234C	YDL029W
YBR234C	YKL129C
YBR234C	YMR109W
YBR234C	YMR309C
YBR234C	YPL043W
YBR234C	YER022W
YBR234C	YHR064C
YBR234C	YLR241W
