YAL013W	YBR095C
YAL016W	YBR023C
YAL016W	YDL134C
YAL016W	YGL190C
YAL016W	YGR161C
YAL016W	YJL203W
YAL016W	YKL191W
YAL016W	YLR435W
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YOR014W
YAL016W	YOR162C
YAL016W	YPL152W
YAL026C	YDL019C
YAL026C	YKL010C
YAL026C	YML069W
YAL031C	YNL317W
YAL031C	YOR141C
YAL034C	YFR004W
YAL034C	YNL041C
YAL051W	YDL019C
YAL051W	YIL036W
YAL051W	YPL146C
YAL053W	YFR004W
YAL053W	YKL028W
YAL059W	YMR124W
YAL059W	YNR053C
YAL061W	YLR015W
YAL061W	YPL022W
YAL062W	YGL070C
YAL062W	YKL028W
YAL062W	YNR051C
YAL062W	YOR362C
YAL062W	YPL160W
YAL063C	YDL055C
YAL067C	YNL162W
YAR007C	YDL022W
YAR007C	YDL140C
YAR007C	YDL233W
YAR007C	YDR129C
YAR007C	YDR499W
YAR007C	YDR513W
YAR007C	YFL014W
YAR007C	YGR008C
YAR007C	YGR080W
YAR007C	YGR086C
YAR007C	YHR164C
YAR007C	YML010W
YAR007C	YNL031C
YAR007C	YPL004C
YAR007C	YPL084W
YAR007C	YPL240C
YAR007C	YPR161C
YAR015W	YLR231C
YAR015W	YPL240C
YAR019C	YDL220C
YAR053W	YGR104C
YAR062W	YMR108W
YBL005W	YBR149W
YBL007C	YLR435W
YBL007C	YOR181W
YBL007C	YPL001W
YBL022C	YDL115C
YBL022C	YER062C
YBL023C	YDR022C
YBL023C	YER062C
YBL023C	YJL163C
YBL023C	YKL028W
YBL023C	YLR274W
YBL023C	YOR048C
YBL023C	YPR046W
YBL039C	YKR101W
YBL039C	YLR347C
YBL039C	YLR387C
YBL039C	YMR025W
YBL039C	YMR205C
YBL045C	YHR114W
YBL045C	YLR095C
YBL045C	YLR454W
YBL047C	YJL148W
YBL047C	YKL216W
YBL052C	YGR068C
YBL052C	YPR031W
YBL055C	YNL051W
YBL055C	YOR052C
YBL056W	YDL126C
YBL056W	YDR071C
YBL056W	YLR240W
YBL056W	YPL061W
YBL056W	YPR160W
YBL058W	YDL126C
YBL058W	YDR283C
YBL058W	YDR388W
YBL058W	YFL044C
YBL058W	YJL138C
YBL058W	YLR377C
YBL058W	YML064C
YBL058W	YOR342C
YBL058W	YPR135W
YBL060W	YER144C
YBL060W	YJL047C
YBL060W	YNL216W
YBL062W	YLR231C
YBL062W	YLR435W
YBL075C	YBR101C
YBL075C	YBR247C
YBL075C	YDL019C
YBL075C	YDR128W
YBL075C	YJL047C
YBL075C	YJL109C
YBL075C	YMR123W
YBL076C	YER086W
YBL076C	YKL171W
YBL076C	YKL210W
YBL084C	YBR054W
YBL084C	YDR118W
YBL084C	YHR166C
YBL084C	YJL047C
YBL084C	YKL022C
YBL084C	YKL028W
YBL084C	YNL172W
YBL086C	YLR022C
YBL091C	YDR388W
YBL091C	YJL033W
YBL091C	YKL028W
YBL093C	YBR193C
