YAL013W	YPL139C
YAL017W	YCR020W-B
YAL017W	YDL100C
YAL017W	YIL071C
YAL021C	YCR093W
YAL021C	YDL081C
YAL021C	YER068W
YAL021C	YKL054C
YAL021C	YNR052C
YAL021C	YOR157C
YAL027W	YDL147W
YAL027W	YDR060W
YAL027W	YDR381W
YAL027W	YER049W
YAL027W	YGR086C
YAL027W	YGR237C
YAL027W	YIL105C
YAL027W	YML095C
YAL027W	YNL106C
YAL027W	YPL004C
YAL027W	YPL146C
YAL027W	YPR171W
YAL042W	YDL147W
YAL043C	YDL147W
YAL043C	YDL199C
YAL043C	YDR046C
YAL043C	YDR301W
YAL043C	YER133W
YAL043C	YJL052W
YAL043C	YLR358C
YAL043C	YLR442C
YAL043C	YPR107C
YAL051W	YDL019C
YAL051W	YDR060W
YAL051W	YIL036W
YAL051W	YKL157W
YAL051W	YNL325C
YAL051W	YPL146C
YAL053W	YFR004W
YAL054C	YLR153C
YAL062W	YCR020W-B
YAL062W	YIL033C
YAL062W	YKL091C
YAL062W	YOR362C
YAR003W	YER062C
YAR003W	YJR070C
YAR003W	YLR015W
YAR014C	YER133W
YAR014C	YER155C
YAR014C	YHR158C
YAR014C	YML131W
YAR042W	YDL019C
YAR042W	YDR099W
YAR042W	YHR205W
YAR042W	YKR089C
YAR042W	YML069W
YAR042W	YNL329C
YAR042W	YOL122C
YAR042W	YPR080W
YAR053W	YGR104C
YAR060C	YDR495C
YBL004W	YLR015W
YBL004W	YOL005C
YBL013W	YMR109W
YBL023C	YER062C
YBL023C	YER069W
YBL023C	YJL163C
YBL023C	YLR274W
YBL023C	YPR046W
YBL037W	YLL029W
YBL037W	YNL265C
YBL039C	YBR173C
YBL039C	YGR170W
YBL039C	YKR101W
YBL039C	YLR387C
YBL039C	YOR113W
YBL041W	YER012W
YBL041W	YNL168C
YBL041W	YOR157C
YBL041W	YOR362C
YBL047C	YCR030C
YBL056W	YBL079W
YBL056W	YDL126C
YBL056W	YIL063C
YBL056W	YPR160W
YBL058W	YBR155W
YBL058W	YDL126C
YBL058W	YDR283C
YBL058W	YFL044C
YBL058W	YHR205W
YBL058W	YJR098C
YBL058W	YLR377C
YBL058W	YML064C
YBL058W	YNL155W
YBL058W	YPR135W
YBL060W	YJL047C
YBL060W	YNL216W
YBL067C	YOL087C
YBL079W	YDR129C
YBL079W	YGR037C
YBL079W	YGR104C
YBL079W	YLR192C
YBL079W	YPL146C
YBL084C	YDR118W
YBL084C	YJL047C
YBL084C	YNL172W
YBL084C	YOR242C
YBL087C	YGL227W
YBL087C	YJR010C-A
YBL088C	YJL047C
YBL093C	YDR381W
YBL093C	YGR104C
YBL093C	YNR010W
YBL093C	YOL051W
YBR001C	YBR127C
YBR001C	YDR001C
YBR001C	YNL106C
YBR001C	YOL016C
YBR001C	YPR171W
YBR006W	YGR086C
YBR019C	YKL135C
YBR023C	YDR129C
YBR044C	YJR010C-A
YBR044C	YLR435W
YBR069C	YDL100C
YBR080C	YDL147W
YBR080C	YDR363W-A
YBR080C	YHR027C
YBR080C	YIL075C
YBR080C	YOR261C
YBR098W	YDR386W
YBR101C	YER129W
YBR101C	YGL099W
YBR103W	YJR009C
YBR105C	YGL227W
YBR105C	YMR135C
YBR126C	YDL147W
YBR126C	YDR074W
YBR126C	YMR261C
YBR127C	YDR328C
