# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008380	BP	e	RNA splicing	12/12	155/6920	1.040340703677379e-20	5	12	4.7710024670644604e-17	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0000398	BP	e	mRNA splicing, via spliceosome	11/12	107/6920	8.476267024306641e-20	9	11	1.4424842444543067e-16	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP21, PRP9, RDS3, RSE1
GO:0000377	BP	e	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	11/12	108/6920	9.436224887402792e-20	7	11	1.4424842444543067e-16	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP21, PRP9, RDS3, RSE1
GO:0000375	BP	e	RNA splicing, via transesterification reactions	11/12	119/6920	2.8794780700169023e-19	6	11	3.3013216072743784e-16	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP21, PRP9, RDS3, RSE1
GO:0006397	BP	e	mRNA processing	12/12	228/6920	1.2308470582979356e-18	8	12	1.1289329218708667e-15	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0016071	BP	e	mRNA metabolic process	12/12	340/6920	1.6419018582983676e-16	7	12	1.0909280029104641e-13	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0000245	BP	e	spliceosomal complex assembly	7/12	18/6920	1.6651757567320646e-16	7	7	1.0909280029104641e-13	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0006396	BP	e	RNA processing	12/12	687/6920	8.402233367394149e-13	4	12	4.816580277858696e-10	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0016070	BP	e	RNA metabolic process	12/12	1035/6920	1.186747132789707e-10	6	12	6.047135945526219e-08	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0022618	BP	e	protein-RNA complex assembly	7/12	172/6920	3.7024057139221016e-09	6	7	1.6979232604046759e-06	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0071826	BP	e	protein-RNA complex organization	7/12	182/6920	5.50130567069385e-09	5	7	2.2935443459819996e-06	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0090304	BP	e	nucleic acid metabolic process	12/12	1452/6920	7.025507358772045e-09	5	12	2.68491472894405e-06	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0006139	BP	e	nucleobase-containing compound metabolic process	12/12	1687/6920	4.277822450108596e-08	4	12	1.5090841350921554e-05	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0065003	BP	e	protein-containing complex assembly	7/12	488/6920	4.823097116641758e-06	5	7	0.0015799088126370786	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0043170	BP	e	macromolecule metabolic process	12/12	2675/6920	1.0965438988660582e-05	3	12	0.003352500213466495	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
GO:0043933	BP	e	protein-containing complex organization	7/12	583/6920	1.5822903028671688e-05	4	7	0.004535239580593022	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0022607	BP	e	cellular component assembly	7/12	737/6920	7.401324787659669e-05	4	7	0.01996616204482779	CUS1, CUS2, HSH155, IST3, PRP11, RDS3, RSE1
GO:0044238	BP	e	primary metabolic process	12/12	3320/6920	0.00014719217802061933	3	12	0.03750129602236446	CUS1, CUS2, HSH155, HSH49, IST3, LEA1, MSL1, PRP11, PRP21, PRP9, RDS3, RSE1
